"window","ecdet","p","T","m","gate_ok","gate_T_eff","gate_min_eff","runtime_ok","runtime_reason","reject_sequence_valid","r_trace_10pct","r_trace_5pct","r_trace_1pct","r_eigen_10pct","r_eigen_5pct","r_eigen_1pct"
"full","none",1,99,4,TRUE,97,45,TRUE,NA,TRUE,1,1,1,1,1,1
"full","none",2,99,4,TRUE,96,50,TRUE,NA,TRUE,1,1,1,1,1,1
"full","none",3,99,4,TRUE,95,55,TRUE,NA,TRUE,1,1,0,1,1,1
"full","none",4,99,4,TRUE,94,60,TRUE,NA,TRUE,1,1,0,1,1,1
"full","none",5,99,4,TRUE,93,65,TRUE,NA,TRUE,1,1,0,1,1,1
"full","none",6,99,4,TRUE,92,70,TRUE,NA,TRUE,1,0,0,1,1,0
"full","none",7,99,4,TRUE,91,75,TRUE,NA,TRUE,1,1,1,2,2,1
"full","const",1,99,4,TRUE,97,50,TRUE,NA,TRUE,2,2,1,2,2,1
"full","const",2,99,4,TRUE,96,55,TRUE,NA,TRUE,2,1,1,2,2,1
"full","const",3,99,4,TRUE,95,60,TRUE,NA,TRUE,1,1,1,1,1,1
"full","const",4,99,4,TRUE,94,65,TRUE,NA,TRUE,1,1,1,1,1,1
"full","const",5,99,4,TRUE,93,70,TRUE,NA,TRUE,1,1,1,1,1,1
"full","const",6,99,4,TRUE,92,75,TRUE,NA,TRUE,2,1,1,1,1,0
"full","const",7,99,4,TRUE,91,80,TRUE,NA,TRUE,2,2,2,2,2,2
"fordism","none",1,49,4,TRUE,47,45,TRUE,NA,TRUE,1,1,1,1,1,1
"fordism","none",2,49,4,FALSE,46,50,FALSE,"gate_fail: T_eff=46 <= min_eff=50",NA,NA,NA,NA,NA,NA,NA
"fordism","none",3,49,4,FALSE,45,55,FALSE,"gate_fail: T_eff=45 <= min_eff=55",NA,NA,NA,NA,NA,NA,NA
"fordism","none",4,49,4,FALSE,44,60,FALSE,"gate_fail: T_eff=44 <= min_eff=60",NA,NA,NA,NA,NA,NA,NA
"fordism","none",5,49,4,FALSE,43,65,FALSE,"gate_fail: T_eff=43 <= min_eff=65",NA,NA,NA,NA,NA,NA,NA
"fordism","none",6,49,4,FALSE,42,70,FALSE,"gate_fail: T_eff=42 <= min_eff=70",NA,NA,NA,NA,NA,NA,NA
"fordism","none",7,49,4,FALSE,41,75,FALSE,"gate_fail: T_eff=41 <= min_eff=75",NA,NA,NA,NA,NA,NA,NA
"fordism","const",1,49,4,FALSE,47,50,FALSE,"gate_fail: T_eff=47 <= min_eff=50",NA,NA,NA,NA,NA,NA,NA
"fordism","const",2,49,4,FALSE,46,55,FALSE,"gate_fail: T_eff=46 <= min_eff=55",NA,NA,NA,NA,NA,NA,NA
"fordism","const",3,49,4,FALSE,45,60,FALSE,"gate_fail: T_eff=45 <= min_eff=60",NA,NA,NA,NA,NA,NA,NA
"fordism","const",4,49,4,FALSE,44,65,FALSE,"gate_fail: T_eff=44 <= min_eff=65",NA,NA,NA,NA,NA,NA,NA
"fordism","const",5,49,4,FALSE,43,70,FALSE,"gate_fail: T_eff=43 <= min_eff=70",NA,NA,NA,NA,NA,NA,NA
"fordism","const",6,49,4,FALSE,42,75,FALSE,"gate_fail: T_eff=42 <= min_eff=75",NA,NA,NA,NA,NA,NA,NA
"fordism","const",7,49,4,FALSE,41,80,FALSE,"gate_fail: T_eff=41 <= min_eff=80",NA,NA,NA,NA,NA,NA,NA
"post_fordism","none",1,50,4,TRUE,48,45,TRUE,NA,TRUE,2,1,0,0,0,0
"post_fordism","none",2,50,4,FALSE,47,50,FALSE,"gate_fail: T_eff=47 <= min_eff=50",NA,NA,NA,NA,NA,NA,NA
"post_fordism","none",3,50,4,FALSE,46,55,FALSE,"gate_fail: T_eff=46 <= min_eff=55",NA,NA,NA,NA,NA,NA,NA
"post_fordism","none",4,50,4,FALSE,45,60,FALSE,"gate_fail: T_eff=45 <= min_eff=60",NA,NA,NA,NA,NA,NA,NA
"post_fordism","none",5,50,4,FALSE,44,65,FALSE,"gate_fail: T_eff=44 <= min_eff=65",NA,NA,NA,NA,NA,NA,NA
"post_fordism","none",6,50,4,FALSE,43,70,FALSE,"gate_fail: T_eff=43 <= min_eff=70",NA,NA,NA,NA,NA,NA,NA
"post_fordism","none",7,50,4,FALSE,42,75,FALSE,"gate_fail: T_eff=42 <= min_eff=75",NA,NA,NA,NA,NA,NA,NA
"post_fordism","const",1,50,4,FALSE,48,50,FALSE,"gate_fail: T_eff=48 <= min_eff=50",NA,NA,NA,NA,NA,NA,NA
"post_fordism","const",2,50,4,FALSE,47,55,FALSE,"gate_fail: T_eff=47 <= min_eff=55",NA,NA,NA,NA,NA,NA,NA
"post_fordism","const",3,50,4,FALSE,46,60,FALSE,"gate_fail: T_eff=46 <= min_eff=60",NA,NA,NA,NA,NA,NA,NA
"post_fordism","const",4,50,4,FALSE,45,65,FALSE,"gate_fail: T_eff=45 <= min_eff=65",NA,NA,NA,NA,NA,NA,NA
"post_fordism","const",5,50,4,FALSE,44,70,FALSE,"gate_fail: T_eff=44 <= min_eff=70",NA,NA,NA,NA,NA,NA,NA
"post_fordism","const",6,50,4,FALSE,43,75,FALSE,"gate_fail: T_eff=43 <= min_eff=75",NA,NA,NA,NA,NA,NA,NA
"post_fordism","const",7,50,4,FALSE,42,80,FALSE,"gate_fail: T_eff=42 <= min_eff=80",NA,NA,NA,NA,NA,NA,NA
