window,ecdet,T,m,p_max_feasible,run_tag
full,none,99,5,7,Q2_ortho
full,const,99,5,7,Q2_ortho
fordism,none,49,5,3,Q2_ortho
fordism,const,49,5,3,Q2_ortho
post_fordism,none,50,5,4,Q2_ortho
post_fordism,const,50,5,3,Q2_ortho
full,none,99,5,7,Q2_raw
full,const,99,5,7,Q2_raw
fordism,none,49,5,3,Q2_raw
fordism,const,49,5,3,Q2_raw
post_fordism,none,50,5,4,Q2_raw
post_fordism,const,50,5,3,Q2_raw
full,none,99,6,7,Q3_ortho
full,const,99,6,7,Q3_ortho
fordism,none,49,6,3,Q3_ortho
fordism,const,49,6,2,Q3_ortho
post_fordism,none,50,6,3,Q3_ortho
post_fordism,const,50,6,2,Q3_ortho
full,none,99,6,7,Q3_raw
full,const,99,6,7,Q3_raw
fordism,none,49,6,3,Q3_raw
fordism,const,49,6,2,Q3_raw
post_fordism,none,50,6,3,Q3_raw
post_fordism,const,50,6,2,Q3_raw
