"basis","window","ecdet","p","r","T","m","logdet","k_par","PIC","BIC"
"Q3","ford","none",1,2,49,5,-21.3088339535484,41,-18.0524128877824,138.255798268987
"Q3","ford","none",1,3,49,5,-21.5983607659642,46,-17.9448151799827,157.425372947125
"Q3","ford","none",1,4,49,5,-21.7930950118822,49,-17.9012747137716,168.906099595538
"Q3","ford","none",2,0,49,5,-20.5894202444203,50,-16.6181750422666,174.001594661111
"Q3","ford","none",2,1,49,5,-21.7212859966239,59,-17.0352166580826,207.896111591903
"Q3","ford","none",2,2,49,5,-22.4563855904716,66,-17.2143419236287,234.40375408483
"Q3","ford","none",2,3,49,5,-22.9484598735091,71,-17.3092916864509,253.370781292345
"Q3","ford","none",2,4,49,5,-23.0593165979492,74,-17.1818736987617,264.935385462237
"Q3","ford","none",3,0,49,5,-21.7673892987413,75,-15.8105214955108,270.119133059556
"Q3","ford","none",3,1,49,5,-23.0363708943893,84,-16.3646789547711,303.876534146903
"Q3","ford","none",3,2,49,5,-23.7938384804254,91,-16.5661722125057,330.361808647642
"Q3","ford","none",3,3,49,5,-24.3321929188728,96,-16.7074021307377,349.282555699747
"Q3","ford","none",3,4,49,5,-24.4082748582267,99,-16.5452093579623,360.881934654725
"Q3","ford","none",4,0,49,5,-23.3759615095738,100,-15.4334711052664,365.806068301489
"Q3","ford","none",4,1,49,5,-24.8054746216963,109,-16.1481600810013,399.402937872362
"Q3","ford","none",4,2,49,5,-25.7990027069381,116,-16.5857138379415,425.652151873895
"Q3","ford","none",4,3,49,5,-26.6018335770993,121,-16.9914201878873,444.308422494287
"Q3","ford","none",4,4,49,5,-26.6630604672363,124,-16.8143723658951,455.922656498481
"Q3","ford","none",5,0,49,5,-25.7643640519353,125,-15.836251046551,460.713173211893
"Q3","ford","none",5,1,49,5,-28.4111966132882,134,-17.7682594715163,493.092723333536
"Q3","ford","none",5,2,49,5,-29.6621524140273,141,-18.4632409439539,519.084509619571
"Q3","ford","none",5,3,49,5,-30.6087713130271,146,-19.0127353227383,537.596992211124
"Q3","ford","none",5,4,49,5,-30.9146916665289,149,-19.0803809641109,548.966532751954
"Q3","ford","const",1,0,49,5,-19.4467152506198,25,-17.4610926495429,77.8487922021459
"Q3","ford","const",1,1,49,5,-20.4505247637072,34,-17.7500780262427,111.871365372054
"Q3","ford","const",1,2,49,5,-21.2418413090177,41,-17.9854202432517,138.322790913518
"Q3","ford","const",1,3,49,5,-21.5476228887138,46,-17.8940773027324,157.476110824375
"Q3","ford","const",1,4,49,5,-21.7444638426087,49,-17.8526435444981,168.954730764812
"Q3","ford","const",2,0,49,5,-20.5894202444203,50,-16.6181750422666,174.001594661111
"Q3","ford","const",2,1,49,5,-21.6421455650012,59,-16.9560762264598,207.975252023526
"Q3","ford","const",2,2,49,5,-22.377751721875,66,-17.1357080550322,234.482387953426
"Q3","ford","const",2,3,49,5,-22.8919363639235,71,-17.2527681768653,253.427304801931
"Q3","ford","const",2,4,49,5,-23.0018595601323,74,-17.1244166609448,264.992842500054
"Q3","ford","const",3,0,49,5,-21.7673892987413,75,-15.8105214955108,270.119133059556
