window,ecdet,p,r,T,m,K,gate_ok,gate_T_eff,gate_min_eff,runtime_ok,runtime_reason,logLik,k_total,PIC,BIC,comparable_p,status,PIC_obs,BIC_obs,spec,basis,source_file,PIC_min,dPIC,in_ambiguity
full,none,1,1,99,4,2,TRUE,98,25,TRUE,NA,-288.0214656114361,8,632.1032036416271,612.803890023949,TRUE,computed,632.1032036416271,612.803890023949,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,632.1032036416271,0,TRUE
full,const,1,1,99,4,2,TRUE,98,30,TRUE,NA,-294.05606702267124,9,651.1799405164418,629.4682126965538,TRUE,computed,651.1799405164418,629.4682126965538,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,651.1799405164418,0,TRUE
fordism,none,1,1,49,4,2,TRUE,48,25,TRUE,NA,-79.73582743776059,8,201.779695329499,190.6062172604062,TRUE,computed,201.779695329499,190.6062172604062,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,201.779695329499,0,TRUE
fordism,const,1,1,49,4,2,TRUE,48,30,TRUE,NA,-82.50157986666638,9,212.5997052440578,200.0295424163284,TRUE,computed,212.5997052440578,200.0295424163284,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,212.5997052440578,0,TRUE
post_fordism,none,1,1,50,4,2,TRUE,49,25,TRUE,NA,-92.0637908254434,8,226.81728648705032,215.42376569431195,TRUE,computed,226.81728648705032,215.42376569431195,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,226.81728648705032,0,TRUE
post_fordism,const,1,1,50,4,2,TRUE,49,30,TRUE,NA,-95.70109724735066,9,239.4281124353853,226.61040154355464,TRUE,computed,239.4281124353853,226.61040154355464,Q2,raw,grid_pic_table_Q2_raw_unrestricted.csv,239.4281124353853,0,TRUE
full,none,1,1,99,4,2,TRUE,98,25,TRUE,NA,193.92023709264316,8,-331.7802017665314,-351.07951538420963,TRUE,computed,-331.7802017665314,-351.07951538420963,Q2,ortho,grid_pic_table_Q2_ortho_unrestricted.csv,-331.7802017665314,0,TRUE
full,const,1,1,99,4,2,TRUE,98,30,TRUE,NA,187.8856356814081,9,-312.7034648917169,-334.4151927116049,TRUE,computed,-312.7034648917169,-334.4151927116049,Q2,ortho,grid_pic_table_Q2_ortho_unrestricted.csv,-312.7034648917169,0,TRUE
fordism,none,1,1,49,4,2,TRUE,48,25,TRUE,NA,153.78231717143234,8,-265.25659388888687,-276.4300719579797,TRUE,computed,-265.25659388888687,-276.4300719579797,Q2,ortho,grid_pic_table_Q2_ortho_unrestricted.csv,-265.25659388888687,0,TRUE
fordism,const,1,1,49,4,2,TRUE,48,30,TRUE,NA,151.0165647425267,9,-254.43658397432836,-267.00674680205776,TRUE,computed,-254.43658397432836,-267.00674680205776,Q2,ortho,grid_pic_table_Q2_ortho_unrestricted.csv,-254.43658397432836,0,TRUE
post_fordism,none,1,1,50,4,2,TRUE,49,25,TRUE,NA,146.42282494564736,8,-250.1559450551312,-261.54946584786956,TRUE,computed,-250.1559450551312,-261.54946584786956,Q2,ortho,grid_pic_table_Q2_ortho_unrestricted.csv,-250.1559450551312,0,TRUE
post_fordism,const,1,1,50,4,2,TRUE,49,30,TRUE,NA,142.78551852374008,9,-237.54511910679616,-250.3628299986269,TRUE,computed,-237.54511910679616,-250.3628299986269,Q2,ortho,grid_pic_table_Q2_ortho_unrestricted.csv,-237.54511910679616,0,TRUE
full,none,1,1,99,5,2,TRUE,98,30,TRUE,NA,-617.0251454053856,10,1304.1256313342149,1280.0014893121172,TRUE,computed,1304.1256313342149,1280.0014893121172,Q3,raw,grid_pic_table_Q3_raw_unrestricted.csv,1304.1256313342149,0,TRUE
full,const,1,1,99,5,2,TRUE,98,35,TRUE,NA,-623.3113087899973,11,1323.7054921557826,1297.168935931475,TRUE,computed,1323.7054921557826,1297.168935931475,Q3,raw,grid_pic_table_Q3_raw_unrestricted.csv,1323.7054921557826,0,TRUE
fordism,none,1,1,49,5,2,TRUE,48,30,TRUE,NA,-228.4163962330532,10,509.7178430335786,495.75099544721263,TRUE,computed,509.7178430335786,495.75099544721263,Q3,raw,grid_pic_table_Q3_raw_unrestricted.csv,509.7178430335786,0,TRUE
