"variable_id","display_name","family_id","reporting_tier","window_id","window_start","window_end","first_value","last_value","absolute_change","relative_change","mean_annual_change","n_observed","descriptive_profile_class","testing_prohibited","estimation_prohibited","transition_label","eligibility_label"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","TIER_A_CORE","fordist_aftermath_1974_1978",1974,1978,33562535.6582078,33045743.3298366,-516792.328371197,-1.53978928658454,-129198.082092799,5,"LIMITED_DESCRIPTIVE_PROFILE","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","TIER_A_CORE","volcker_transition_1979_1982",1979,1982,32992478.6888798,32579850.4329869,-412628.255892899,-1.25067370591946,-137542.7519643,4,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","TIER_A_CORE","gfc_transition_2008_2009",2008,2009,25313159.6636956,24796841.8217936,-516317.841901999,-2.03972103349274,-516317.841901999,2,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","TIER_A_CORE","covid_transition_2020_2021",2020,2021,20731781.5349533,20233341.3618141,-498440.1731392,-2.40423222817991,-498440.1731392,2,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","TIER_A_CORE","fordist_aftermath_1974_1978",1974,1978,1763511.18158344,1803086.64189652,39575.4603130801,2.24412868635999,1672546.88281577,5,"LIMITED_DESCRIPTIVE_PROFILE","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","TIER_A_CORE","volcker_transition_1979_1982",1979,1982,1882974.2863846,1737933.57827129,-145040.70811331,-7.7027450221742,1818192.96708035,4,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","TIER_A_CORE","gfc_transition_2008_2009",2008,2009,1372420.1762314,1070047.47876566,-302372.69746574,-22.0320790019308,1221233.82749853,2,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","TIER_A_CORE","covid_transition_2020_2021",2020,2021,1009463.44913627,974740.538419145,-34722.9107171249,-3.43973927405049,992101.993777707,2,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"DELTA_G_TOT","DELTA_G_TOT","capital","TIER_A_CORE","fordist_aftermath_1974_1978",1974,1978,200168.967377596,-51571.3131906986,-251740.280568295,-125.763890310437,-63324.6721987202,5,"LIMITED_DESCRIPTIVE_PROFILE","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
"DELTA_G_TOT","DELTA_G_TOT","capital","TIER_A_CORE","volcker_transition_1979_1982",1979,1982,-53264.6409568004,-218160.213961001,-164895.573004201,309.577930203147,-116473.224212425,4,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","yes","DESCRIPTIVE TRANSITION WINDOW","NOT ELIGIBLE FOR TESTING OR ESTIMATION"
