"variable_id","display_name","family_id","concept","concept_group_id","unit","transformation","representation_type","S30_analytical_role","S30_contract_status","reporting_tier","window_id","window_type","parent_window","window_start","window_end","calendar_years_in_window","first_observed_year","last_observed_year","n_observed","n_missing","missing_share","coverage_share","leading_missing_count","trailing_missing_count","internal_missing_count","internal_gap_count","longest_internal_gap","mean","median","standard_deviation","variance","minimum","minimum_year","maximum","maximum_year","range","q01","q05","q10","q25","q75","q90","q95","q99","interquartile_range","median_absolute_deviation","coefficient_of_variation","skewness","excess_kurtosis","first_value","last_value","absolute_change","relative_change","annualized_change","endpoint_change_method","endpoint_change_valid","endpoint_change_reason","n_valid_annual_changes","mean_annual_change","median_annual_change","standard_deviation_annual_change","mean_absolute_annual_change","largest_annual_increase","largest_annual_increase_year","largest_annual_decrease","largest_annual_decrease_year","descriptive_profile_class","short_window_flag","distributional_interpretation_allowed","time_profile_interpretation_allowed","testing_prohibited","estimation_prohibited","diagnostic_note"
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA","CORP_NET_OPERATING_SURPLUS_SHARE_GVA","distribution","diagnostic_distribution_catalog","CORP_NET_OPERATING_SURPLUS_SHARE_GVA","ratio","ratio","SHARE_OR_RATIO","diagnostic_distribution_catalog","DIAGNOSTIC_ONLY","TIER_C_REFERENCE_ONLY","global_available_variable_specific_1901_2025","GLOBAL","",1929,2025,97,1929,2025,97,0,0,1,0,0,0,0,0,0.178423765845721,0.178626625764906,0.0325114574833317,0.00105699486769048,0.0520538770650394,1933,0.251048491525096,1943,0.198994614460057,0.059487129778413,0.134023272814594,0.144240388654692,0.157435689162369,0.197741851128305,0.216855091663927,0.22449085461995,0.249498717365113,0.040306161965936,0.019731278762573,0.182214837408171,-0.769891459489406,2.57149112307408,0.225103090902456,0.214587526191531,-1.0515564710925,,-0.0109537132405469,"PERCENTAGE_POINT_ENDPOINT_CHANGE",TRUE,"",96,-0.0109537132405469,-0.0610824467212501,1.91142766717769,1.35141690416025,7.51401527857066,1934,-6.92260335653678,1932,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA","CORP_NET_OPERATING_SURPLUS_SHARE_GVA","distribution","diagnostic_distribution_catalog","CORP_NET_OPERATING_SURPLUS_SHARE_GVA","ratio","ratio","SHARE_OR_RATIO","diagnostic_distribution_catalog","DIAGNOSTIC_ONLY","TIER_C_REFERENCE_ONLY","pre_1974_variable_start_1973","STRUCTURAL","global_available_variable_specific_1901_2025",1929,1973,45,1929,1973,45,0,0,1,0,0,0,0,0,0.184537810539477,0.188499120391617,0.0392782878621618,0.00154278389738285,0.0520538770650394,1933,0.251048491525096,1943,0.198994614460057,0.055460784558669,0.127559800321964,0.150388869738769,0.169193152699815,0.208108108108108,0.22228689371144,0.241066628832645,0.250338178368437,0.038914955408293,0.019608987716491,0.212846829315552,-1.31905754713043,2.96269314765359,0.225103090902456,0.168297553791233,-5.6805537111223,,-0.129103493434598,"PERCENTAGE_POINT_ENDPOINT_CHANGE",TRUE,"",44,-0.129103493434598,-0.1616620498746,2.56173472106992,1.87395722074685,7.51401527857066,1934,-6.92260335653678,1932,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA","CORP_NET_OPERATING_SURPLUS_SHARE_GVA","distribution","diagnostic_distribution_catalog","CORP_NET_OPERATING_SURPLUS_SHARE_GVA","ratio","ratio","SHARE_OR_RATIO","diagnostic_distribution_catalog","DIAGNOSTIC_ONLY","TIER_C_REFERENCE_ONLY","post_1974_1974_2025","STRUCTURAL_UMBRELLA","global_available_variable_specific_1901_2025",1974,2025,52,1974,2025,52,0,0,1,0,0,0,0,0,0.17313276562997,0.168182313847552,0.024435237682031,0.000597080840577349,0.133942046495716,2001,0.224337795549324,2021,0.090395749053608,0.133993828274,0.138036738060115,0.143212741286635,0.153282967655669,0.192107329559125,0.204868625360681,0.217771468068812,0.221451962658693,0.0388243619034567,0.016756812480482,0.141135836380362,0.350990025656236,-0.93398711172743,0.154672041493785,0.214587526191531,5.9915484697746,,0.1174813425446,"PERCENTAGE_POINT_ENDPOINT_CHANGE",TRUE,"",51,0.1174813425446,0.00353177354959766,1.11012293526096,0.900379487387796,2.7507209771962,2021,-2.4311590208837,2008,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA","CORP_NET_OPERATING_SURPLUS_SHARE_NVA","distribution","diagnostic_distribution_catalog","CORP_NET_OPERATING_SURPLUS_SHARE_NVA","ratio","ratio","SHARE_OR_RATIO","diagnostic_distribution_catalog","DIAGNOSTIC_ONLY","TIER_C_REFERENCE_ONLY","global_available_variable_specific_1901_2025","GLOBAL","",1929,2025,97,1929,2025,97,0,0,1,0,0,0,0,0,0.201996661868426,0.201773157775696,0.035425149090962,0.00125494118811689,0.0611771908343537,1933,0.26908373412258,1942,0.207906543288226,0.0701563294097595,0.15596037355683,0.165740999793279,0.183109652289353,0.227332810545544,0.244643370205862,0.257624132585566,0.268060780500774,0.044223158256191,0.024083219179444,0.175374923344213,-0.869958899107937,2.70908440006102,0.248840211384082,0.253456124724869,0.461591334078701,,0.0048082430633198,"PERCENTAGE_POINT_ENDPOINT_CHANGE",TRUE,"",96,0.00480824306331981,-0.105686242099351,2.06059956459087,1.45598856847226,8.37745032736883,1934,-7.70189445421972,1932,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA","CORP_NET_OPERATING_SURPLUS_SHARE_NVA","distribution","diagnostic_distribution_catalog","CORP_NET_OPERATING_SURPLUS_SHARE_NVA","ratio","ratio","SHARE_OR_RATIO","diagnostic_distribution_catalog","DIAGNOSTIC_ONLY","TIER_C_REFERENCE_ONLY","pre_1974_variable_start_1973","STRUCTURAL","global_available_variable_specific_1901_2025",1929,1973,45,1929,1973,45,0,0,1,0,0,0,0,0,0.20299221923981,0.206096737612827,0.0408351479323856,0.00166750930665982,0.0611771908343537,1933,0.26908373412258,1942,0.207906543288226,0.0652926293480814,0.14547123623162,0.168920900900099,0.187996615097533,0.228152181599604,0.244317094994614,0.259366788559287,0.268614880379252,0.040155566502071,0.019457051973165,0.201166074666852,-1.45984410260316,3.4179612403697,0.248840211384082,0.186986947122027,-6.1853264262055,,-0.14057560059558,"PERCENTAGE_POINT_ENDPOINT_CHANGE",TRUE,"",44,-0.14057560059558,-0.180449568430351,2.74266449053179,1.9759498086962,8.37745032736883,1934,-7.70189445421972,1932,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA","CORP_NET_OPERATING_SURPLUS_SHARE_NVA","distribution","diagnostic_distribution_catalog","CORP_NET_OPERATING_SURPLUS_SHARE_NVA","ratio","ratio","SHARE_OR_RATIO","diagnostic_distribution_catalog","DIAGNOSTIC_ONLY","TIER_C_REFERENCE_ONLY","post_1974_1974_2025","STRUCTURAL_UMBRELLA","global_available_variable_specific_1901_2025",1974,2025,52,1974,2025,52,0,0,1,0,0,0,0,0,0.201135121835497,0.196046865944653,0.0303640481590074,0.000921975420602518,0.15444500444425,1992,0.263869362880179,2021,0.109424358435929,0.15541105225352,0.159267413663484,0.165748115259024,0.176905053183483,0.226999968877986,0.241512436420104,0.256591711418741,0.260662557793907,0.0500949156945033,0.021896806391115,0.150963431358553,0.428727004345336,-1.00010612169943,0.173391603941331,0.253456124724869,8.0064520783538,,0.15698925643831,"PERCENTAGE_POINT_ENDPOINT_CHANGE",TRUE,"",51,0.15698925643831,0.0518744362807022,1.23247061505743,1.00928581711048,2.9938240735196,2010,-2.6345265088511,2008,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA","NFC_NET_OPERATING_SURPLUS_SHARE_GVA","distribution","diagnostic_distribution_catalog","NFC_NET_OPERATING_SURPLUS_SHARE_GVA","ratio","ratio","SHARE_OR_RATIO","diagnostic_distribution_catalog","DIAGNOSTIC_ONLY","TIER_C_REFERENCE_ONLY","global_available_variable_specific_1901_2025","GLOBAL","",1929,2025,97,1929,2025,97,0,0,1,0,0,0,0,0,0.171947211057758,0.171591274541333,0.0321361013174438,0.00103272900788502,0.0446028187059577,1933,0.248234349919743,1943,0.203631531213785,0.0510139249639376,0.131114131227149,0.139506092247543,0.153229269698617,0.192249963686835,0.207759173874238,0.213345765316542,0.248030120132236,0.039020693988218,0.018910632857833,0.186895158809229,-0.776625950812039,3.13145354683585,0.210703393999016,0.194402199202411,-1.6301194796605,,-0.0169804112464635,"PERCENTAGE_POINT_ENDPOINT_CHANGE",TRUE,"",96,-0.0169804112464635,-0.1253603849121,1.97698859042742,1.38119978662994,8.04765867063153,1934,-7.72222336897056,1932,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA","NFC_NET_OPERATING_SURPLUS_SHARE_GVA","distribution","diagnostic_distribution_catalog","NFC_NET_OPERATING_SURPLUS_SHARE_GVA","ratio","ratio","SHARE_OR_RATIO","diagnostic_distribution_catalog","DIAGNOSTIC_ONLY","TIER_C_REFERENCE_ONLY","pre_1974_variable_start_1973","STRUCTURAL","global_available_variable_specific_1901_2025",1929,1973,45,1929,1973,45,0,0,1,0,0,0,0,0,0.179808580248311,0.18323240875375,0.0400771673996023,0.00160617934677575,0.0446028187059577,1933,0.248234349919743,1943,0.203631531213785,0.0475412424075318,0.12576418194603,0.142964286111269,0.163528192329167,0.205162257877999,0.214081868491185,0.237696733560188,0.248140744600469,0.041634065548832,0.020021173096824,0.222887958651677,-1.31214226610303,3.02959329733331,0.210703393999016,0.163211235656926,-4.749215834209,,-0.10793672350475,"PERCENTAGE_POINT_ENDPOINT_CHANGE",TRUE,"",44,-0.10793672350475,-0.1855127296552,2.68866106716362,1.95984923465955,8.04765867063153,1934,-7.72222336897056,1932,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA","NFC_NET_OPERATING_SURPLUS_SHARE_GVA","distribution","diagnostic_distribution_catalog","NFC_NET_OPERATING_SURPLUS_SHARE_GVA","ratio","ratio","SHARE_OR_RATIO","diagnostic_distribution_catalog","DIAGNOSTIC_ONLY","TIER_C_REFERENCE_ONLY","post_1974_1974_2025","STRUCTURAL_UMBRELLA","global_available_variable_specific_1901_2025",1974,2025,52,1974,2025,52,0,0,1,0,0,0,0,0,0.165144103104396,0.162731505027709,0.0213662572544202,0.000456516949062065,0.121547699636409,2001,0.2117122034762,2021,0.090164503839791,0.126759462248813,0.13249220625477,0.139761446867674,0.15045204502397,0.179696308243705,0.194146132600902,0.200984413016044,0.207545274304001,0.0292442632197357,0.015539194604351,0.129379474366781,0.204457920282245,-0.810978782557384,0.146129102211942,0.194402199202411,4.8273096990469,,0.0946531313538608,"PERCENTAGE_POINT_ENDPOINT_CHANGE",TRUE,"",51,0.0946531313538608,-0.0360008884642021,1.06398771950198,0.875560781312849,2.953870365308,2021,-1.441700274695,1980,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA","NFC_NET_OPERATING_SURPLUS_SHARE_NVA","distribution","diagnostic_distribution_catalog","NFC_NET_OPERATING_SURPLUS_SHARE_NVA","ratio","ratio","SHARE_OR_RATIO","diagnostic_distribution_catalog","DIAGNOSTIC_ONLY","TIER_C_REFERENCE_ONLY","global_available_variable_specific_1901_2025","GLOBAL","",1929,2025,97,1929,2025,97,0,0,1,0,0,0,0,0,0.194745592808876,0.194004775132262,0.0345184458119531,0.00119152310127274,0.0527562038264823,1933,0.267517231642044,1942,0.214761027815562,0.0606105946534058,0.151196170124941,0.159835748639141,0.175508361077839,0.218068268718017,0.232770286116218,0.241540913128917,0.26509410941647,0.042559907640178,0.019058834445077,0.177248919033714,-1.01935589307649,3.44815847653734,0.233775022375516,0.229984423126808,-0.3790599248708,,-0.00394854088407084,"PERCENTAGE_POINT_ENDPOINT_CHANGE",TRUE,"",96,-0.00394854088407085,-0.1785599188233,2.13738250903999,1.48935648578122,9.02358077929807,1934,-8.65468334354991,1932,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
