"window_id","mean_output_growth","mean_capital_growth","mean_growth_difference","growth_rate_correlation","descriptive_growth_ratio","n_joint_growth_observations","structural_elasticity_interpretation_prohibited"
"global_available_variable_specific_1901_2025",3.83625159468864,-1.59117233293821,5.42742392762685,-0.157628150441596,-2.41095921244731,95,TRUE
"pre_1974_variable_start_1973",4.65828939189021,-2.20324274179333,6.86153213368354,-0.135640784099535,-2.11428786466742,44,TRUE
"pre_fordist_variable_start_1946",3.82014189353666,-2.83985538632284,6.6599972798595,-0.417518445604886,-1.34518888248149,17,TRUE
"pre_fordist_consolidation_1940_1946",7.04180489804715,-3.35213521444206,10.3939401124892,-0.44461762297906,,7,TRUE
"fordist_core_1947_1973",5.18601189085356,-1.80241255820067,6.98842444905424,0.137992266057976,-2.87726129473415,27,TRUE
"post_1974_1974_2025",3.12704251475003,-1.06311158804359,4.19015410279362,0.00511732747416061,-2.94140572816502,51,TRUE
"post_fordist_pre_gfc_1974_2008",3.52157693476365,-0.784414936306769,4.30599187107041,-0.227438888678352,-4.48943125859402,35,TRUE
"mature_post_volcker_pre_gfc_1983_2008",3.73556037680065,-0.965003004116467,4.70056338091712,-0.106669234141273,-3.8710349717728,26,TRUE
"post_gfc_2009_2025",2.26399847097024,-1.67276051371789,3.93675898468813,0.0158289154722575,-1.35345045055987,16,TRUE
"post_gfc_pre_covid_2009_2019",2.04265872127973,-1.61810046366114,3.66075918494087,0.314964814646121,-1.26238065383034,11,TRUE
"post_covid_configuration_2022_2025",2.72745461880208,-1.52328310458366,4.25073772338574,-0.627969734599307,,3,TRUE
