"source_variable_id","concept_group_id","year","previous_year","source_value","previous_source_value","growth_measure","growth_value","growth_method","consecutive_years","growth_valid","invalidity_reason","source_representation_type","noncanonical_diagnostic_derivative"
"G_TOT_GPIM_2017","TOTAL_GROSS_PRODUCTIVE_CAPITAL",1901,,1723395.05606458,,"PERCENT_CHANGE",,"DIRECT_LEVEL_PERCENT_CHANGE",FALSE,FALSE,"MISSING_OR_NONCONSECUTIVE_OBSERVATION","LEVEL",TRUE
"G_TOT_GPIM_2017","TOTAL_GROSS_PRODUCTIVE_CAPITAL",1902,1901,3854821.04896234,1723395.05606458,"PERCENT_CHANGE",123.675995552925,"DIRECT_LEVEL_PERCENT_CHANGE",TRUE,TRUE,"","LEVEL",TRUE
"G_TOT_GPIM_2017","TOTAL_GROSS_PRODUCTIVE_CAPITAL",1903,1902,6228524.7016034,3854821.04896234,"PERCENT_CHANGE",61.5775316802326,"DIRECT_LEVEL_PERCENT_CHANGE",TRUE,TRUE,"","LEVEL",TRUE
"G_TOT_GPIM_2017","TOTAL_GROSS_PRODUCTIVE_CAPITAL",1904,1903,8359013.02277446,6228524.7016034,"PERCENT_CHANGE",34.2053443349532,"DIRECT_LEVEL_PERCENT_CHANGE",TRUE,TRUE,"","LEVEL",TRUE
"G_TOT_GPIM_2017","TOTAL_GROSS_PRODUCTIVE_CAPITAL",1905,1904,10538642.875429,8359013.02277446,"PERCENT_CHANGE",26.0752058492558,"DIRECT_LEVEL_PERCENT_CHANGE",TRUE,TRUE,"","LEVEL",TRUE
"G_TOT_GPIM_2017","TOTAL_GROSS_PRODUCTIVE_CAPITAL",1906,1905,13079634.7187179,10538642.875429,"PERCENT_CHANGE",24.111186547684,"DIRECT_LEVEL_PERCENT_CHANGE",TRUE,TRUE,"","LEVEL",TRUE
"G_TOT_GPIM_2017","TOTAL_GROSS_PRODUCTIVE_CAPITAL",1907,1906,15872002.5081499,13079634.7187179,"PERCENT_CHANGE",21.3489738015078,"DIRECT_LEVEL_PERCENT_CHANGE",TRUE,TRUE,"","LEVEL",TRUE
"G_TOT_GPIM_2017","TOTAL_GROSS_PRODUCTIVE_CAPITAL",1908,1907,17972072.932577,15872002.5081499,"PERCENT_CHANGE",13.231288385626,"DIRECT_LEVEL_PERCENT_CHANGE",TRUE,TRUE,"","LEVEL",TRUE
"G_TOT_GPIM_2017","TOTAL_GROSS_PRODUCTIVE_CAPITAL",1909,1908,20395941.2939213,17972072.932577,"PERCENT_CHANGE",13.4868602550053,"DIRECT_LEVEL_PERCENT_CHANGE",TRUE,TRUE,"","LEVEL",TRUE
"G_TOT_GPIM_2017","TOTAL_GROSS_PRODUCTIVE_CAPITAL",1910,1909,23264146.1983352,20395941.2939213,"PERCENT_CHANGE",14.0626258091296,"DIRECT_LEVEL_PERCENT_CHANGE",TRUE,TRUE,"","LEVEL",TRUE
"G_TOT_GPIM_2017","TOTAL_GROSS_PRODUCTIVE_CAPITAL",1911,1910,25813047.1275128,23264146.1983352,"PERCENT_CHANGE",10.9563484834015,"DIRECT_LEVEL_PERCENT_CHANGE",TRUE,TRUE,"","LEVEL",TRUE
"G_TOT_GPIM_2017","TOTAL_GROSS_PRODUCTIVE_CAPITAL",1912,1911,28560396.8780332,25813047.1275128,"PERCENT_CHANGE",10.6432601193841,"DIRECT_LEVEL_PERCENT_CHANGE",TRUE,TRUE,"","LEVEL",TRUE
"G_TOT_GPIM_2017","TOTAL_GROSS_PRODUCTIVE_CAPITAL",1913,1912,31403652.3971646,28560396.8780332,"PERCENT_CHANGE",9.95523812667411,"DIRECT_LEVEL_PERCENT_CHANGE",TRUE,TRUE,"","LEVEL",TRUE
"G_TOT_GPIM_2017","TOTAL_GROSS_PRODUCTIVE_CAPITAL",1914,1913,33397595.2902495,31403652.3971646,"PERCENT_CHANGE",6.3493980504794,"DIRECT_LEVEL_PERCENT_CHANGE",TRUE,TRUE,"","LEVEL",TRUE
"G_TOT_GPIM_2017","TOTAL_GROSS_PRODUCTIVE_CAPITAL",1915,1914,34990141.0386579,33397595.2902495,"PERCENT_CHANGE",4.76844435824801,"DIRECT_LEVEL_PERCENT_CHANGE",TRUE,TRUE,"","LEVEL",TRUE
"G_TOT_GPIM_2017","TOTAL_GROSS_PRODUCTIVE_CAPITAL",1916,1915,37361114.1547218,34990141.0386579,"PERCENT_CHANGE",6.77611763109038,"DIRECT_LEVEL_PERCENT_CHANGE",TRUE,TRUE,"","LEVEL",TRUE
"G_TOT_GPIM_2017","TOTAL_GROSS_PRODUCTIVE_CAPITAL",1917,1916,40577394.2171122,37361114.1547218,"PERCENT_CHANGE",8.60862994896505,"DIRECT_LEVEL_PERCENT_CHANGE",TRUE,TRUE,"","LEVEL",TRUE
"G_TOT_GPIM_2017","TOTAL_GROSS_PRODUCTIVE_CAPITAL",1918,1917,44282943.5286081,40577394.2171122,"PERCENT_CHANGE",9.13205340803576,"DIRECT_LEVEL_PERCENT_CHANGE",TRUE,TRUE,"","LEVEL",TRUE
