"variable_id","display_name","family_id","pre_fordist_variable_start_1946","pre_fordist_consolidation_1940_1946","fordist_core_1947_1973"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","9.42 (21.25) [n=45]","-3.35 (0.87) [n=7]","-1.80 (1.97) [n=27]"
"NFC_COMPENSATION_SHARE_GVA","NFC_COMPENSATION_SHARE_GVA","distribution","0.18 (1.79) [n=17]","0.47 (1.70) [n=7]","-0.07 (1.06) [n=27]"
"Y_REAL_NFC_GVA_BASELINE","Y_REAL_NFC_GVA_BASELINE","output","3.82 (10.65) [n=17]","7.04 (10.05) [n=7]","5.19 (4.06) [n=27]"
