"source_variable_id","display_name","family_id","concept_group_id","growth_measure","growth_method","reporting_tier","window_id","window_type","window_start","window_end","n_valid_growth_observations","mean_growth","median_growth","standard_deviation_growth","variance_growth","minimum_growth","minimum_growth_year","maximum_growth","maximum_growth_year","q10_growth","q25_growth","q75_growth","q90_growth","interquartile_range_growth","mean_absolute_growth","positive_growth_years","negative_growth_years","zero_growth_years","first_valid_growth_year","last_valid_growth_year","cumulative_window_growth","compound_annual_growth_rate","cumulative_growth_valid","cumulative_growth_reason","descriptive_profile_class","short_window_flag","distributional_interpretation_allowed","testing_prohibited","estimation_prohibited"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","PERCENT_CHANGE","DIRECT_LEVEL_PERCENT_CHANGE","TIER_A_CORE","gfc_transition_2008_2009","TRANSITION",2008,2009,2,-1.32436044538519,-1.32436044538519,1.01167264568889,1.02348154203516,-2.03972103349274,2009,-0.608999857277637,2008,-1.89664891587123,-1.68204073943896,-0.966680151331412,-0.752071974899147,0.71536058810755,1.32436044538519,0,2,0,2008,2009,-2.63629899258754,-1.32695352457569,TRUE,"","EVENT_OR_TRANSITION_PROFILE_ONLY","yes","no","yes","yes"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","PERCENT_CHANGE","DIRECT_LEVEL_PERCENT_CHANGE","TIER_A_CORE","post_gfc_2009_2025","STRUCTURAL",2009,2025,16,-1.67276051371789,-1.77787553426432,0.464383148735222,0.215651708829239,-2.40423222817991,2021,-0.929570211913244,2018,-2.18026412400366,-2.04192643008608,-1.21211684390494,-1.08776028724866,0.829809586181141,1.67276051371789,0,16,0,2009,2024,-23.6675986166882,-1.67378812096115,TRUE,"","FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","PERCENT_CHANGE","DIRECT_LEVEL_PERCENT_CHANGE","TIER_A_CORE","post_gfc_pre_covid_2009_2019","NESTED",2009,2019,11,-1.61810046366114,-1.75760222463006,0.437964879738595,0.191813235884442,-2.25889290136096,2010,-0.929570211913244,2018,-2.04854261986612,-1.94525781798402,-1.2109949289823,-1.13977609505385,0.734262889001719,1.61810046366114,0,11,0,2009,2019,-16.4350369309669,-1.61898627795971,TRUE,"","FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","PERCENT_CHANGE","DIRECT_LEVEL_PERCENT_CHANGE","TIER_A_CORE","covid_transition_2020_2021","TRANSITION",2020,2021,2,-2.19760690273135,-2.19760690273135,0.292212337579111,0.0853880502334481,-2.40423222817991,2021,-1.99098157728279,2020,-2.3629071630902,-2.30091956545563,-2.09429424000707,-2.0323066423725,0.206625325448562,2.19760690273135,0,2,0,2020,2021,-4.34734598472455,-2.19782516974613,TRUE,"","EVENT_OR_TRANSITION_PROFILE_ONLY","yes","no","yes","yes"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","PERCENT_CHANGE","DIRECT_LEVEL_PERCENT_CHANGE","TIER_A_CORE","post_covid_configuration_2022_2025","NESTED",2022,2025,3,-1.52328310458366,-1.43246948766116,0.538717152094242,0.290216169960531,-2.10163534664635,2022,-1.03574447944348,2024,-1.96780217484931,-1.76705241715375,-1.23410698355232,-1.11508948108701,0.532945433601434,1.52328310458366,0,3,0,2022,2024,-4.50345154677755,-1.52426634578913,TRUE,"","EVENT_OR_TRANSITION_PROFILE_ONLY","yes","no","yes","yes"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","TOTAL_GROSS_PRODUCTIVE_CAPITAL","PERCENT_CHANGE","DIRECT_LEVEL_PERCENT_CHANGE","TIER_A_CORE","extended_fordist_bridge_1940_1978","BRIDGE",1940,1978,39,-1.87379240210929,-1.84328646556343,1.8907379500472,3.5748899957487,-5.37810966142562,1960,0.874623132330443,1973,-4.34988696629022,-3.35562186824463,-0.124659151299228,0.565466030121451,3.23096271694541,2.08621290749324,7,32,0,1940,1978,-52.5160879854065,-1.89157126195473,TRUE,"","FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","TOTAL_CAPITAL_ACCUMULATION","ABSOLUTE_ANNUAL_CHANGE","EXISTING_FROZEN_DIFFERENCE_SERIES","TIER_A_CORE","global_available_variable_specific_1901_2025","GLOBAL",1901,2025,124,2202019.61340135,1720095.09608437,1457585.73746057,2124556182048.48,974740.538419145,2021,7046818.84623792,1920,1204258.52809045,1378084.9590873,2152113.86990682,4733607.27056164,774028.91081952,2202019.61340135,124,0,0,1901,2024,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","TOTAL_CAPITAL_ACCUMULATION","ABSOLUTE_ANNUAL_CHANGE","EXISTING_FROZEN_DIFFERENCE_SERIES","TIER_A_CORE","pre_1974_variable_start_1973","STRUCTURAL",1901,1973,73,2773983.52098814,2016704.21156382,1667927.06085814,2781980680342.87,1037794.68114943,1943,7046818.84623792,1920,1516820.68506304,1723395.05606458,2994475.82459916,6127662.10140498,1271080.76853458,2773983.52098814,73,0,0,1901,1973,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","TOTAL_CAPITAL_ACCUMULATION","ABSOLUTE_ANNUAL_CHANGE","EXISTING_FROZEN_DIFFERENCE_SERIES","TIER_A_CORE","pre_fordist_variable_start_1946","NESTED",1901,1946,46,3320854.32933039,2663972.61438743,1897419.158494,3600199463020.08,1037794.68114943,1943,7046818.84623792,1920,1496742.06403738,1803864.49472074,4952797.2384456,6288069.84010533,3148932.74372486,3320854.32933039,46,0,0,1901,1946,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","TOTAL_CAPITAL_ACCUMULATION","ABSOLUTE_ANNUAL_CHANGE","EXISTING_FROZEN_DIFFERENCE_SERIES","TIER_A_CORE","pre_fordist_consolidation_1940_1946","NESTED",1940,1946,7,1562960.03218897,1591018.52005284,357854.843860341,128060089274.309,1037794.68114943,1943,1991026.13819632,1946,1194356.39288126,1304338.44114716,1856102.00181493,1932667.24003653,551763.56066778,1562960.03218897,7,0,0,1940,1946,,,FALSE,"INCOMPATIBLE_OR_INSUFFICIENT_GROWTH_MEASURE","LIMITED_DESCRIPTIVE_PROFILE","yes","yes","yes","yes"
