"variable_id","event_profile_id","event_name","year","event_position","observed_value","previous_year_value","absolute_annual_change","relative_annual_change","percentage_point_change","change_method","change_valid","invalidity_reason"
"G_TOT_GPIM_2017","volcker_event_profile_1978_1983","Volcker event",1978,0,33045743.3298366,33097314.6430273,-51571.3131906986,-0.155817212806908,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"G_TOT_GPIM_2017","volcker_event_profile_1978_1983","Volcker event",1979,1,32992478.6888798,33045743.3298366,-53264.6409568004,-0.161184575045425,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"G_TOT_GPIM_2017","volcker_event_profile_1978_1983","Volcker event",1980,2,32879117.9997239,32992478.6888798,-113360.689155899,-0.343595551655562,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"G_TOT_GPIM_2017","volcker_event_profile_1978_1983","Volcker event",1981,3,32798010.6469479,32879117.9997239,-81107.3527759984,-0.246683480915388,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"G_TOT_GPIM_2017","volcker_event_profile_1978_1983","Volcker event",1982,4,32579850.4329869,32798010.6469479,-218160.213961001,-0.665162946342612,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"G_TOT_GPIM_2017","volcker_event_profile_1978_1983","Volcker event",1983,5,32196061.8743313,32579850.4329869,-383788.558655601,-1.17799361738941,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"G_TOT_GPIM_2017","gfc_event_profile_2007_2010","Global financial crisis event",2007,0,25468261.3389006,25561385.7534797,-93124.4145791009,-0.364316768571216,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"G_TOT_GPIM_2017","gfc_event_profile_2007_2010","Global financial crisis event",2008,1,25313159.6636956,25468261.3389006,-155101.675205,-0.608999857277637,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"G_TOT_GPIM_2017","gfc_event_profile_2007_2010","Global financial crisis event",2009,2,24796841.8217936,25313159.6636956,-516317.841901999,-2.03972103349274,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"G_TOT_GPIM_2017","gfc_event_profile_2007_2010","Global financial crisis event",2010,3,24236707.7221194,24796841.8217936,-560134.099674203,-2.25889290136096,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"G_TOT_GPIM_2017","covid_event_profile_2019_2022","COVID-19 event",2019,0,21152932.5245726,21396808.2298813,-243875.705308702,-1.13977609505385,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"G_TOT_GPIM_2017","covid_event_profile_2019_2022","COVID-19 event",2020,1,20731781.5349533,21152932.5245726,-421150.9896193,-1.99098157728279,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"G_TOT_GPIM_2017","covid_event_profile_2019_2022","COVID-19 event",2021,2,20233341.3618141,20731781.5349533,-498440.1731392,-2.40423222817991,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"G_TOT_GPIM_2017","covid_event_profile_2019_2022","COVID-19 event",2022,3,19808110.3079466,20233341.3618141,-425231.0538675,-2.10163534664635,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"I_TOT_REAL_2017","volcker_event_profile_1978_1983","Volcker event",1978,0,1803086.64189652,1646565.48948887,156521.15240765,9.50591722022778,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"I_TOT_REAL_2017","volcker_event_profile_1978_1983","Volcker event",1979,1,1882974.2863846,1803086.64189652,79887.6444880799,4.43060486566818,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"I_TOT_REAL_2017","volcker_event_profile_1978_1983","Volcker event",1980,2,1811837.55876175,1882974.2863846,-71136.7276228499,-3.77789161207484,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"I_TOT_REAL_2017","volcker_event_profile_1978_1983","Volcker event",1981,3,1840026.44490376,1811837.55876175,28188.8861420099,1.55581751828098,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"I_TOT_REAL_2017","volcker_event_profile_1978_1983","Volcker event",1982,4,1737933.57827129,1840026.44490376,-102092.86663247,-5.54844561692208,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"I_TOT_REAL_2017","volcker_event_profile_1978_1983","Volcker event",1983,5,1555633.69521199,1737933.57827129,-182299.8830593,-10.4894620449553,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"I_TOT_REAL_2017","gfc_event_profile_2007_2010","Global financial crisis event",2007,0,1415761.19204913,1353575.12093851,62186.0711106202,4.59420907998833,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"I_TOT_REAL_2017","gfc_event_profile_2007_2010","Global financial crisis event",2008,1,1372420.1762314,1415761.19204913,-43341.01581773,-3.06132249288452,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"I_TOT_REAL_2017","gfc_event_profile_2007_2010","Global financial crisis event",2009,2,1070047.47876566,1372420.1762314,-302372.69746574,-22.0320790019308,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"I_TOT_REAL_2017","gfc_event_profile_2007_2010","Global financial crisis event",2010,3,1067780.07980769,1070047.47876566,-2267.39895796985,-0.211897042230813,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"I_TOT_REAL_2017","covid_event_profile_2019_2022","COVID-19 event",2019,0,1166406.42412687,1221537.25776901,-55130.83364214,-4.51323390191387,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"I_TOT_REAL_2017","covid_event_profile_2019_2022","COVID-19 event",2020,1,1009463.44913627,1166406.42412687,-156942.9749906,-13.4552563964213,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"I_TOT_REAL_2017","covid_event_profile_2019_2022","COVID-19 event",2021,2,974740.538419145,1009463.44913627,-34722.9107171249,-3.43973927405049,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"I_TOT_REAL_2017","covid_event_profile_2019_2022","COVID-19 event",2022,3,995397.322573427,974740.538419145,20656.784154282,2.11920848062639,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"LOG_I_TOT_REAL_2017","volcker_event_profile_1978_1983","Volcker event",1978,0,14.4050105553273,14.314202154978,0.0908084003492995,0.634393725658811,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"LOG_I_TOT_REAL_2017","volcker_event_profile_1978_1983","Volcker event",1979,1,14.448363151882,14.4050105553273,0.0433525965547013,0.300954979437118,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"LOG_I_TOT_REAL_2017","volcker_event_profile_1978_1983","Volcker event",1980,2,14.409852114084,14.448363151882,-0.0385110377980009,-0.266542565363082,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"LOG_I_TOT_REAL_2017","volcker_event_profile_1978_1983","Volcker event",1981,3,14.4252905017122,14.409852114084,0.0154383876281994,0.107137724287321,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"LOG_I_TOT_REAL_2017","volcker_event_profile_1978_1983","Volcker event",1982,4,14.3682073667419,14.4252905017122,-0.0570831349702985,-0.395715670083197,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"LOG_I_TOT_REAL_2017","volcker_event_profile_1978_1983","Volcker event",1983,5,14.257393541618,14.3682073667419,-0.1108138251239,-0.771243219807649,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"LOG_I_TOT_REAL_2017","gfc_event_profile_2007_2010","Global financial crisis event",2007,0,14.16317788933,14.1182598877439,0.044918001586101,0.318155367185824,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"LOG_I_TOT_REAL_2017","gfc_event_profile_2007_2010","Global financial crisis event",2008,1,14.1320862912803,14.16317788933,-0.0310915980497004,-0.219524165357854,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"LOG_I_TOT_REAL_2017","gfc_event_profile_2007_2010","Global financial crisis event",2009,2,13.8832135781318,14.1320862912803,-0.248872713148501,-1.76104722274487,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"LOG_I_TOT_REAL_2017","gfc_event_profile_2007_2010","Global financial crisis event",2010,3,13.8810923595152,13.8832135781318,-0.00212121861659931,-0.0152790173878814,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
"LOG_I_TOT_REAL_2017","covid_event_profile_2019_2022","COVID-19 event",2019,0,13.9694381478747,14.0156206708677,-0.046182522993,-0.329507512207383,,"ABSOLUTE_AND_RELATIVE_CHANGE",TRUE,""
