"variable_id","display_name","family_id","concept","concept_group_id","unit","transformation","representation_type","S30_analytical_role","S30_contract_status","reporting_tier","window_id","window_type","parent_window","window_start","window_end","calendar_years_in_window","first_observed_year","last_observed_year","n_observed","n_missing","missing_share","coverage_share","leading_missing_count","trailing_missing_count","internal_missing_count","internal_gap_count","longest_internal_gap","mean","median","standard_deviation","variance","minimum","minimum_year","maximum","maximum_year","range","q01","q05","q10","q25","q75","q90","q95","q99","interquartile_range","median_absolute_deviation","coefficient_of_variation","skewness","excess_kurtosis","first_value","last_value","absolute_change","relative_change","annualized_change","endpoint_change_method","endpoint_change_valid","endpoint_change_reason","n_valid_annual_changes","mean_annual_change","median_annual_change","standard_deviation_annual_change","mean_absolute_annual_change","largest_annual_increase","largest_annual_increase_year","largest_annual_decrease","largest_annual_decrease_year","descriptive_profile_class","short_window_flag","distributional_interpretation_allowed","time_profile_interpretation_allowed","testing_prohibited","estimation_prohibited","diagnostic_note"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","baseline_representation","TOTAL_GROSS_PRODUCTIVE_CAPITAL","millions_2017_dollars","level","LEVEL","baseline_representation","BASELINE_AUTHORIZED","TIER_A_CORE","gfc_transition_2008_2009","TRANSITION","post_1974_1974_2025",2008,2009,2,2008,2009,2,0,0,1,0,0,0,0,0,25055000.7427446,25055000.7427446,365091.847256507,133292056933.169,24796841.8217936,2009,25313159.6636956,2008,516317.841901999,24802005.0002126,24822657.7138887,24848473.6059838,24925921.2822691,25184080.2032201,25261527.8795054,25287343.7716005,25307996.4852766,258158.920950998,258158.920950999,0.0145716159023555,,,25313159.6636956,24796841.8217936,-516317.841901999,-2.03972103349274,-2.03972103349274,"COMPOUND_ANNUAL_PERCENT_CHANGE",TRUE,"",1,-516317.841901999,-516317.841901999,,516317.841901999,-516317.841901999,2009,-516317.841901999,2009,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","no","yes","yes","yes","DESCRIPTIVE TRANSITION WINDOW; NOT ELIGIBLE FOR TESTING OR ESTIMATION."
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","baseline_representation","TOTAL_GROSS_PRODUCTIVE_CAPITAL","millions_2017_dollars","level","LEVEL","baseline_representation","BASELINE_AUTHORIZED","TIER_A_CORE","post_gfc_2009_2025","STRUCTURAL","post_1974_1974_2025",2009,2025,17,2009,2024,16,1,0.0588235294117647,0.941176470588235,0,1,0,0,0,21843475.6667656,21730196.9428265,1684215.6324514,2836582296593.67,19322142.6372907,2024,24796841.8217936,2009,5474699.1845029,19352476.0174525,19473809.5380999,19666237.7398248,20607171.4916685,22999205.07835,23988458.0784494,24376741.247038,24712821.7068425,2392033.5866815,1328974.3707933,0.077103829909903,0.10855692600297,-1.26603886265564,24796841.8217936,19322142.6372907,-5474699.1845029,-22.0782115071253,-1.64934404714107,"COMPOUND_ANNUAL_PERCENT_CHANGE",TRUE,"",15,-364979.945633527,-400324.494259402,113720.56543004,364979.945633527,-200764.603555899,2018,-560134.099674203,2010,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","baseline_representation","TOTAL_GROSS_PRODUCTIVE_CAPITAL","millions_2017_dollars","level","LEVEL","baseline_representation","BASELINE_AUTHORIZED","TIER_A_CORE","post_gfc_pre_covid_2009_2019","NESTED","post_gfc_2009_2025",2009,2019,11,2009,2019,11,0,0,1,0,0,0,0,0,22715988.1504129,22614591.3826692,1202837.22394935,1446817387318.17,21152932.5245726,2019,24796841.8217936,2009,3643909.297221,21177320.0951035,21274870.3772269,21396808.2298813,21730196.9428265,23531579.2189886,24236707.7221194,24516774.7719565,24740828.4118262,1801382.27616215,1017018.549232,0.0529511292216219,0.292630987928338,-1.41624588734309,24796841.8217936,21152932.5245726,-3643909.297221,-14.6950540048952,-1.57681354323358,"COMPOUND_ANNUAL_PERCENT_CHANGE",TRUE,"",10,-364390.9297221,-375885.1652267,117077.175359276,364390.9297221,-200764.603555899,2018,-560134.099674203,2010,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","baseline_representation","TOTAL_GROSS_PRODUCTIVE_CAPITAL","millions_2017_dollars","level","LEVEL","baseline_representation","BASELINE_AUTHORIZED","TIER_A_CORE","covid_transition_2020_2021","TRANSITION","post_gfc_2009_2025",2020,2021,2,2020,2021,2,0,0,1,0,0,0,0,0,20482561.4483837,20482561.4483837,352450.426442525,124221303099.518,20233341.3618141,2021,20731781.5349533,2020,498440.1731392,20238325.7635455,20258263.3704711,20283185.379128,20357951.4050989,20607171.4916685,20681937.5176394,20706859.5262963,20726797.1332219,249220.0865696,249220.0865696,0.0172073413440357,,,20731781.5349533,20233341.3618141,-498440.1731392,-2.40423222817991,-2.40423222817991,"COMPOUND_ANNUAL_PERCENT_CHANGE",TRUE,"",1,-498440.1731392,-498440.1731392,,498440.1731392,-498440.1731392,2021,-498440.1731392,2021,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","no","yes","yes","yes","DESCRIPTIVE TRANSITION WINDOW; NOT ELIGIBLE FOR TESTING OR ESTIMATION."
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","baseline_representation","TOTAL_GROSS_PRODUCTIVE_CAPITAL","millions_2017_dollars","level","LEVEL","baseline_representation","BASELINE_AUTHORIZED","TIER_A_CORE","post_covid_configuration_2022_2025","NESTED","post_gfc_2009_2025",2022,2025,4,2022,2024,3,1,0.25,0.75,0,1,0,0,0,19551539.3723134,19524365.171703,244120.814587352,59594972114.7921,19322142.6372907,2024,19808110.3079466,2022,485967.670655899,19326187.0879789,19342364.8907319,19362587.1441732,19423253.9044968,19666237.7398248,19751361.2806979,19779735.7943222,19802435.4052217,242983.835327953,202222.534412298,0.0124860150363938,,,19808110.3079466,19322142.6372907,-485967.670655899,-2.45337724346647,-1.23430618046896,"COMPOUND_ANNUAL_PERCENT_CHANGE",TRUE,"",2,-242983.835327949,-242983.835327949,57645.1845748845,242983.835327949,-202222.534412298,2024,-283745.1362436,2023,"EVENT_OR_TRANSITION_PROFILE_ONLY","yes","no","yes","yes","yes","Short-window evidence; endpoint and annual-change reading only."
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","baseline_representation","TOTAL_GROSS_PRODUCTIVE_CAPITAL","millions_2017_dollars","level","LEVEL","baseline_representation","BASELINE_AUTHORIZED","TIER_A_CORE","extended_fordist_bridge_1940_1978","BRIDGE","global_available_variable_specific_1901_2025",1940,1978,39,1940,1978,39,0,0,1,0,0,0,0,0,42393824.8175911,36940245.1743644,11023637.6895451,121520587910360,32332790.5644253,1964,67267611.8466106,1940,34934821.2821853,32344289.2902436,32505816.69471,32772387.933195,33099399.6129934,51452195.7619745,57959128.4241261,62851971.9491183,66439970.6212681,18352796.1489811,4418565.5545989,0.260029325897741,0.72239502962785,-0.89944887036177,67267611.8466106,33045743.3298366,-34221868.516774,-50.8742135737027,-1.85310466050916,"COMPOUND_ANNUAL_PERCENT_CHANGE",TRUE,"",38,-900575.487283526,-887241.3644295,915372.725612626,972189.757101747,289264.9979848,1973,-2698456.50836629,1943,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","conditional_secondary","TOTAL_CAPITAL_ACCUMULATION","millions_2017_dollars","level_change","EXISTING_DIFFERENCE_OR_RATE","conditional_secondary","CONDITIONAL_SECONDARY","TIER_A_CORE","global_available_variable_specific_1901_2025","GLOBAL","",1901,2025,125,1901,2024,124,1,0.008,0.992,0,1,0,0,0,2202019.61340135,1720095.09608437,1457585.73746057,2124556182048.48,974740.538419145,2021,7046818.84623792,1920,6072078.30781878,998632.531682881,1068120.18965139,1204258.52809045,1378084.9590873,2152113.86990682,4733607.27056164,6248901.9926158,7007274.10993311,774028.91081952,370558.382399695,0.661931314594019,2.08790625646677,3.37810025147973,1723395.05606458,1059177.7122413,-664217.34382328,-38.5412120967806,-5400.14100669333,"ANNUALIZED_ABSOLUTE_ENDPOINT_CHANGE",TRUE,"",124,2202019.61340135,1720095.09608437,1457585.73746057,2202019.61340135,7046818.84623792,1920,974740.538419145,2021,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","conditional_secondary","TOTAL_CAPITAL_ACCUMULATION","millions_2017_dollars","level_change","EXISTING_DIFFERENCE_OR_RATE","conditional_secondary","CONDITIONAL_SECONDARY","TIER_A_CORE","pre_1974_variable_start_1973","STRUCTURAL","global_available_variable_specific_1901_2025",1901,1973,73,1901,1973,73,0,0,1,0,0,0,0,0,2773983.52098814,2016704.21156382,1667927.06085814,2781980680342.87,1037794.68114943,1943,7046818.84623792,1920,6009024.16508849,1220136.81585536,1392140.32044335,1516820.68506304,1723395.05606458,2994475.82459916,6127662.10140498,6418422.03733852,7041590.54101323,1271080.76853458,412028.23611376,0.601275042998092,1.41525670642344,0.606685206516774,1723395.05606458,1895896.86498827,172501.80892369,10.0094176501587,2395.85845727347,"ANNUALIZED_ABSOLUTE_ENDPOINT_CHANGE",TRUE,"",73,2773983.52098814,2016704.21156382,1667927.06085814,2773983.52098814,7046818.84623792,1920,1037794.68114943,1943,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","conditional_secondary","TOTAL_CAPITAL_ACCUMULATION","millions_2017_dollars","level_change","EXISTING_DIFFERENCE_OR_RATE","conditional_secondary","CONDITIONAL_SECONDARY","TIER_A_CORE","pre_fordist_variable_start_1946","NESTED","pre_1974_variable_start_1973",1901,1946,46,1901,1946,46,0,0,1,0,0,0,0,0,3320854.32933039,2663972.61438743,1897419.158494,3600199463020.08,1037794.68114943,1943,7046818.84623792,1920,6009024.16508849,1151758.51534064,1301534.65425815,1496742.06403738,1803864.49472074,4952797.2384456,6288069.84010533,6827514.73370501,7043551.15547249,3148932.74372486,1027805.18977955,0.571364766510728,0.73527127930087,-0.96877599508223,1723395.05606458,1991026.13819632,267631.08213174,15.5292938313797,5947.35738070533,"ANNUALIZED_ABSOLUTE_ENDPOINT_CHANGE",TRUE,"",46,3320854.32933039,2663972.61438743,1897419.158494,3320854.32933039,7046818.84623792,1920,1037794.68114943,1943,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","conditional_secondary","TOTAL_CAPITAL_ACCUMULATION","millions_2017_dollars","level_change","EXISTING_DIFFERENCE_OR_RATE","conditional_secondary","CONDITIONAL_SECONDARY","TIER_A_CORE","pre_fordist_consolidation_1940_1946","NESTED","pre_fordist_variable_start_1946",1940,1946,7,1940,1946,7,0,0,1,0,0,0,0,0,1562960.03218897,1591018.52005284,357854.843860341,128060089274.309,1037794.68114943,1943,1991026.13819632,1946,953231.45704689,1053450.85232261,1116075.53701535,1194356.39288126,1304338.44114716,1856102.00181493,1932667.24003653,1961846.68911643,1985190.24838034,551763.56066778,292287.65268369,0.228959689621209,-0.150093505131087,-1.82530209485481,1818442.69569986,1991026.13819632,172583.44249646,9.49072758270439,28763.9070827433,"ANNUALIZED_ABSOLUTE_ENDPOINT_CHANGE",TRUE,"",7,1562960.03218897,1591018.52005284,357854.843860341,1562960.03218897,1991026.13819632,1946,1037794.68114943,1943,"LIMITED_DESCRIPTIVE_PROFILE","yes","yes","yes","yes","yes",""
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","conditional_secondary","TOTAL_CAPITAL_ACCUMULATION","millions_2017_dollars","level_change","EXISTING_DIFFERENCE_OR_RATE","conditional_secondary","CONDITIONAL_SECONDARY","TIER_A_CORE","fordist_core_1947_1973","NESTED","pre_1974_variable_start_1973",1947,1973,27,1947,1973,27,0,0,1,0,0,0,0,0,1842277.699368,1870152.88581411,205545.699101961,42249034419.3138,1490654.87669333,1961,2210009.69829507,1948,719354.82160174,1491424.71444196,1498347.74037999,1541408.99804063,1657350.20853317,1979744.82692351,2088893.39715141,2107338.44017875,2184724.35867966,322394.61839035,146551.32574971,0.111571506929967,-0.271159920792708,-1.07245604810436,2112758.39208197,1895896.86498827,-216861.5270937,-10.2643789231384,-8340.8279651423,"ANNUALIZED_ABSOLUTE_ENDPOINT_CHANGE",TRUE,"",27,1842277.699368,1870152.88581411,205545.699101961,1842277.699368,2210009.69829507,1948,1490654.87669333,1961,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","conditional_secondary","TOTAL_CAPITAL_ACCUMULATION","millions_2017_dollars","level_change","EXISTING_DIFFERENCE_OR_RATE","conditional_secondary","CONDITIONAL_SECONDARY","TIER_A_CORE","post_1974_1974_2025","STRUCTURAL_UMBRELLA","global_available_variable_specific_1901_2025",1974,2025,52,1974,2024,51,1,0.0192307692307692,0.980769230769231,0,1,0,0,0,1383326.17705164,1372420.1762314,243029.931611993,59063547659.3298,974740.538419145,2021,1882974.2863846,1979,908233.747965455,985068.930496286,1034320.58068878,1067780.07980769,1209911.95567058,1548004.96448919,1744674.43722419,1807462.10032914,1861500.36564418,338093.008818605,167956.05753498,0.175685196769699,0.320052228385972,-0.887319945317234,1763511.18158344,1059177.7122413,-704333.46934214,-39.9392686985815,-14086.6693868428,"ANNUALIZED_ABSOLUTE_ENDPOINT_CHANGE",TRUE,"",51,1383326.17705164,1372420.1762314,243029.931611993,1383326.17705164,1882974.2863846,1979,974740.538419145,2021,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","conditional_secondary","TOTAL_CAPITAL_ACCUMULATION","millions_2017_dollars","level_change","EXISTING_DIFFERENCE_OR_RATE","conditional_secondary","CONDITIONAL_SECONDARY","TIER_A_CORE","post_fordist_pre_gfc_1974_2008","STRUCTURAL","post_1974_1974_2025",1974,2008,35,1974,2008,35,0,0,1,0,0,0,0,0,1497359.16107579,1471364.25198043,199244.569197688,39698398354.7724,1202681.55661761,2004,1882974.2863846,1979,680292.72976699,1205810.99363775,1227984.56289195,1244797.5561019,1362997.64858495,1634590.8161923,1787256.45777129,1820294.22460435,1868372.02028111,271593.167607345,151251.8909153,0.133063979823344,0.303882145279664,-1.1162306278223,1763511.18158344,1372420.1762314,-391091.00535204,-22.1768372912092,-11502.6766280012,"ANNUALIZED_ABSOLUTE_ENDPOINT_CHANGE",TRUE,"",35,1497359.16107579,1471364.25198043,199244.569197688,1497359.16107579,1882974.2863846,1979,1202681.55661761,2004,"FULL_DESCRIPTIVE_PROFILE","no","yes","yes","yes","yes",""
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","conditional_secondary","TOTAL_CAPITAL_ACCUMULATION","millions_2017_dollars","level_change","EXISTING_DIFFERENCE_OR_RATE","conditional_secondary","CONDITIONAL_SECONDARY","TIER_A_CORE","fordist_aftermath_1974_1978","TRANSITION","post_fordist_pre_gfc_1974_2008",1974,1978,5,1974,1978,5,0,0,1,0,0,0,0,0,1672546.88281577,1646565.48948887,106468.83072717,11335611916.4109,1563883.11173408,1976,1803086.64189652,1978,239203.53016244,1564755.30683976,1568244.08726246,1572605.06279083,1585687.98937596,1763511.18158344,1787256.45777129,1795171.5498339,1801503.623484,177823.19220748,82682.37775479,0.0636567093102511,0.169235048525945,-2.1351494658727,1763511.18158344,1803086.64189652,39575.4603130801,2.24412868635999,9893.86507827003,"ANNUALIZED_ABSOLUTE_ENDPOINT_CHANGE",TRUE,"",5,1672546.88281577,1646565.48948887,106468.83072717,1672546.88281577,1803086.64189652,1978,1563883.11173408,1976,"LIMITED_DESCRIPTIVE_PROFILE","yes","yes","yes","yes","yes","DESCRIPTIVE TRANSITION WINDOW; NOT ELIGIBLE FOR TESTING OR ESTIMATION."
