"run_id","timestamp","message"
1,"2026-03-03 18:33:54","Stage S1 run: SR=none LR=trend (P=1..7)"
2,"2026-03-04 10:21:05","Stage S1 run: SR=none LR=trend (P=1..7)"
3,"2026-03-04 13:05:49","Stage S1 run: SR=none LR=trend (P=1..7)"
