ADF,PP,DF.GL,ERS.PO,KPSS
-3.01,-2.01,-2.09,6.72*,0.16**
-2.81,-2.77,-1.91,26.20,0.11
-4.06***,-2.96**,-1.59,1.41***,0.13
-4.06***,-2.96**,-1.59,1.41***,0.13
-3.54**,-2.47,-0.95,17.47,0.18**
-2.95,-1.99,-0.94,16.47,0.17**
-2.71,-1.73,-0.93,16.95,0.17**
-2.50,-1.67,-0.92,2.29**,0.15
-4.30***,-2.53,-2.41**,1.39***,0.68**
-4.07***,-2.79*,-1.79*,1.29***,0.19
-5.34***,-4.71***,-3.66***,0.57***,0.10
-4.15***,-4.46***,-2.05**,0.98***,0.21
-8.17***,-7.64***,-2.33**,0.40***,0.19
-8.17***,-7.64***,-2.33**,0.40***,0.19
-8.43***,-8.86***,-3.71***,0.30***,0.43*
-8.69***,-9.09***,-3.69***,0.28***,0.43*
-8.83***,-9.11***,-3.51***,0.27***,0.43*
-8.51***,-8.91***,-4.20***,0.28***,0.33
-7.51***,-10.01***,-4.31***,0.37***,0.27
-8.82***,-9.92***,-4.11***,0.25***,0.29
