ADF,PP,DF.GL,ERS.PO,KPSS
-2.94,-2.61,-1.08,91.48,0.16**
-3.82**,-4.12**,-1.48,23.46,0.13*
-3.14,-2.01,-1.44,5.28**,0.14*
-1.60,-0.98,-0.01,4.59,0.42*
-3.08,-2.08,-1.58,10.72,0.14*
-3.00,-1.93,-1.47,12.27,0.15*
-2.98,-1.85,-1.44,6.04*,0.15**
-1.44,-0.72,-0.02,4.65,0.42*
-2.40,-1.07,-1.33,2.44**,0.55**
-1.26,-0.46,-0.42,4.03*,0.44*
-3.61***,-5.39***,-2.45**,1.18***,0.40*
-3.34**,-4.74***,-0.22,15.67,0.30
-5.94***,-6.69***,-1.47,0.83***,0.29
-5.89***,-6.27***,-2.48**,0.72***,0.22
-6.03***,-6.42***,-2.78***,0.58***,0.21
-6.18***,-6.41***,-3.08***,0.51***,0.27
-6.30***,-6.41***,-3.28***,0.46***,0.30
-6.00***,-6.29***,-3.18***,0.55***,0.27
-5.21***,-7.05***,-3.21***,0.66***,0.35
-4.78***,-6.91***,-4.69***,0.61***,0.37*
