"script","path","grid_dimensions","exists","status","exit_code","reason_code","log_path","timestamp","seed","git_hash","run_id","run_started_at","timezone"
"20_shaikh_ardl_replication.R","codes/20_shaikh_ardl_replication.R","Fixed ARDL replication (single locked specification)",TRUE,"ok",0,"OK","output/CriticalReplication/Manifest/logs/20_shaikh_ardl_replication_run.log","2026-03-04T23:39:17-0300","123456","6b8fa22","stage4_20260304_233647","2026-03-04T23:36:47-0300","America/Santiago"
"21_CR_ARDL_grid.R","codes/21_CR_ARDL_grid.R","ARDL grid (p x q; values declared inside script)",TRUE,"failed",1,"NONZERO_EXIT","output/CriticalReplication/Manifest/logs/21_CR_ARDL_grid_run.log","2026-03-04T23:39:19-0300","123456","6b8fa22","stage4_20260304_233647","2026-03-04T23:36:47-0300","America/Santiago"
"22_VECM_S1.R","codes/22_VECM_S1.R","VECM S1 grid (lag/deterministic combinations; values declared inside script)",TRUE,"ok_with_infeasible_specs_skipped",0,"INFEASIBLE_SPECS_SKIPPED","output/CriticalReplication/Manifest/logs/22_VECM_S1_run.log","2026-03-04T23:39:48-0300","123456","6b8fa22","stage4_20260304_233647","2026-03-04T23:36:47-0300","America/Santiago"
"23_VECM_S2.R","codes/23_VECM_S2.R","VECM S2 grid (m=3, rank r in {0,1,2} + lag/deterministics as scripted)",TRUE,"ok_with_infeasible_specs_skipped",0,"INFEASIBLE_SPECS_SKIPPED","output/CriticalReplication/Manifest/logs/23_VECM_S2_run.log","2026-03-04T23:41:12-0300","123456","6b8fa22","stage4_20260304_233647","2026-03-04T23:36:47-0300","America/Santiago"
"26_crosswalk_tables.R","codes/26_crosswalk_tables.R","Crosswalk table builder (no independent grid)",TRUE,"ok",0,"OK","output/CriticalReplication/Manifest/logs/26_crosswalk_tables_run.log","2026-03-04T23:41:15-0300","123456","6b8fa22","stage4_20260304_233647","2026-03-04T23:36:47-0300","America/Santiago"
"28_results_pack_generato.R","codes/28_results_pack_generato.R","ResultsPack aggregator (paper-facing compact bundles)",FALSE,"failed",NA,"SCRIPT_MISSING","output/CriticalReplication/Manifest/logs/28_results_pack_generato_run.log","2026-03-04T23:41:15-0300","123456","6b8fa22","stage4_20260304_233647","2026-03-04T23:36:47-0300","America/Santiago"
"29_S1_VECM_r1_results_pack_gen.R","codes/29_S1_VECM_r1_results_pack_gen.R","S1-specific results package generator",FALSE,"failed",NA,"SCRIPT_MISSING","output/CriticalReplication/Manifest/logs/29_S1_VECM_r1_results_pack_gen_run.log","2026-03-04T23:41:16-0300","123456","6b8fa22","stage4_20260304_233647","2026-03-04T23:36:47-0300","America/Santiago"
