sheet,variable_code,variable_label,category,unit,country_code,country_name,year,value
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1800,4.0408986952171135
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1801,3.934053434683099
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1802,4.069625641120601
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1803,4.162716141770709
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1804,4.215302395109889
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1805,4.06656717763068
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1806,4.187209255196581
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1807,4.220790894727432
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1808,4.454213010633896
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1809,4.445651889153003
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1810,4.217479189636499
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1811,3.398923805506277
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1812,3.480268517035679
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1813,3.672201001996038
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1814,4.062122045766591
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1815,4.288501225381775
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1816,4.586345650534999
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1817,5.151466023484894
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1818,5.877915981886266
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1819,5.585955458541595
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1820,5.462919563204734
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1821,5.596262179764815
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1822,6.193309315626597
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1823,6.290700427005056
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1824,6.358673253752307
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1825,7.535032749546942
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1826,7.049796220839671
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1827,7.247215169538601
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1828,7.0050837025523505
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1829,7.2449421464716695
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1830,7.273109784474832
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1831,7.710030099924001
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1832,7.974655651197298
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1833,7.970383496005216
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1834,8.597099894130638
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1835,8.900736194216172
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1836,9.622916407540306
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1837,9.79805647839361
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1838,9.910417709414848
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1839,11.080326103967087
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1840,12.059301893224472
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1841,12.014607944162115
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1842,11.659794139276308
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1843,11.731397394771871
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1844,15.05263729689003
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1845,13.374732907803832
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1846,15.615318516530822
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1847,17.99937529433046
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1848,15.486893521408891
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1849,16.21836856372388
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1850,18.69049697714676
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1851,18.358750568215736
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1852,21.179581544829876
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1853,23.987902892948146
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1854,26.06055786143292
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1855,29.430316629320522
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1856,30.977380619956616
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1857,33.07747841039175
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1858,32.34520720100246
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1859,33.659528854859545
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1860,36.23647708753888
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1861,34.669209211472555
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1862,34.24689108888316
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1863,47.3330367684674
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1864,69.79707354335632
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1865,59.97212804237368
A1,gdp_current_mer_usd_mn,Data series on GDP (current millions dollars MER),GDP,current MER USD millions,CL,Chile,1866,57.51793045944908
