year,asset,I,Kg,Kn,B,R,D,DeltaKg,DeltaKn,DeltaB,z,delta,residual_kg,residual_kn,I_residual
1900,ME,372018.1861217398,372018.1861217398,215216.72781449038,156801.4583072494,0.0,,,,,,,,,
1901,ME,386309.11150373466,757866.767975902,438434.4959677383,319432.2720081637,460.52964957249986,163091.34335048677,385848.58185416216,223217.7681532479,162630.81370091427,0.001237922410120551,0.757800497232102,0.0,0.0,
1902,ME,392512.574913754,1147904.4088965212,664075.6821648811,483828.72673164005,2474.9339931346994,166871.38871661114,390037.64092061925,225641.18619714287,164396.45472347637,0.0032656584213933966,0.380607343289179,-5.820766091346741e-11,0.0,
1903,ME,395012.03513983876,1536296.3328719682,888764.8024978759,647531.5303740923,6620.111164391779,170322.91480684403,388391.92397544696,224689.12033299473,163702.80364245223,0.0057671275701046245,0.25648118035521605,0.0,0.0,
1904,ME,393470.14224282035,1916513.0666121026,1108724.4828267489,807788.5837853537,13253.408502685994,173510.46191394737,380216.7337401344,219959.680328873,160257.0534112614,0.008626856823845916,0.19522652272715543,5.820766091346741e-11,0.0,
1905,ME,641674.3342357615,2535608.832066158,1466878.3844782864,1068730.4475878715,22578.568781706235,283520.43258422404,619095.7654540553,358153.9016515375,260941.86380251776,0.01178106696742709,0.25571766203031293,0.0,0.0,
1906,ME,811411.6091204234,3312051.1875435114,1916059.0678864042,1395992.1196571072,34969.253643069605,362230.9257123056,776442.3554773536,449180.68340811785,327261.6720692357,0.013791265119775858,0.24693998462669933,-2.3283064365386963e-10,0.0,
1907,ME,966788.8344534893,4227542.26072911,2445681.006986727,1781861.2537423829,51297.761267891095,437166.8953531665,915491.0731855985,529621.9391003228,385869.1340852757,0.015488215116004206,0.22815940420636577,2.3283064365386963e-10,0.0,
1908,ME,1082079.9218126887,5237194.158022298,3029776.047695366,2207418.1103269313,72428.02451950146,497984.8811040495,1009651.8972931877,584095.0407086392,425556.8565845485,0.01713241880330962,0.20361808415791982,4.656612873077393e-10,0.0,
1909,ME,1011625.9650008183,6149694.026852355,3557667.541248564,2592026.485603791,99126.0961707603,483734.4714476203,912499.8688300578,527891.493553198,384608.37527685985,0.01892732886729426,0.15966014115649851,-1.1641532182693481e-10,0.0,
1910,ME,1111082.4219927702,7129024.83412723,4124221.4884812664,3004803.345645963,131751.6147178948,544528.4747600679,979330.8072748743,566553.9472327023,412776.860042172,0.021424092669099868,0.15305771785774155,-1.0477378964424133e-09,0.0,
1911,ME,1181083.1058362755,8139913.129496377,4709031.7994592395,3430881.330037138,170194.81046712789,596272.7948583025,1010888.2953691473,584810.310977973,426077.98439117474,0.023873505062346156,0.14457826683742883,-2.3283064365386963e-10,0.0,
1912,ME,1343879.9146308678,9269398.9666003,5362452.129546999,3906946.8370533017,214394.07752694483,690459.5845431082,1129485.8371039238,653420.3300877595,476065.5070161638,0.026338619849645688,0.14662453216442434,9.313225746154785e-10,0.0,
1913,ME,1315381.4149493212,10320526.093071789,5970541.05937747,4349985.0336943185,264254.28847783135,707292.4851188501,1051127.1264714878,608088.929830471,443038.19664101675,0.02850824410838266,0.13189721195303233,-2.0954757928848267e-09,0.0,
1914,ME,1137350.3142431008,11138296.748648206,6443630.631773463,4694666.116874742,319579.65866668784,664260.7418471074,817770.6555764172,473089.5723959934,344681.0831804238,0.030965442631962627,0.11125637278782366,4.190951585769653e-09,0.0,
