"variable_id","family","transformation","available_in_level","available_in_log","available_in_difference","available_in_growth","diagnostic_intake_status","source","new_transformation_created"
"DELTA_G_TOT","capital","level_change",FALSE,FALSE,TRUE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"DLOG_G_TOT","capital","growth_or_log_difference",FALSE,FALSE,FALSE,TRUE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"DLOG_N_TOT","capital","growth_or_log_difference",FALSE,FALSE,FALSE,TRUE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"G_TOT_GPIM_2017","capital","level",TRUE,FALSE,FALSE,FALSE,"LEVEL_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"GROWTH_ARITH_G_TOT","capital","level_change",FALSE,FALSE,TRUE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"GROWTH_ARITH_N_TOT","capital","level_change",FALSE,FALSE,TRUE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"I_TOT_REAL_2017","capital","level_change",FALSE,FALSE,TRUE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"L1_DLOG_G_TOT","capital","growth_or_log_difference",FALSE,FALSE,FALSE,TRUE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"L1_DLOG_N_TOT","capital","growth_or_log_difference",FALSE,FALSE,FALSE,TRUE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"L1_LOG_G_TOT","capital","growth_or_log_difference",FALSE,FALSE,FALSE,TRUE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"L1_LOG_N_TOT","capital","growth_or_log_difference",FALSE,FALSE,FALSE,TRUE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"LOG_G_TOT_GPIM_2017","capital","log_level",FALSE,TRUE,FALSE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"LOG_I_TOT_REAL_2017","capital","growth_or_log_difference",FALSE,FALSE,FALSE,TRUE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"LOG_N_TOT_GPIM_2017","capital","log_level",FALSE,TRUE,FALSE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"N_TOT_GPIM_2017","capital","level",TRUE,FALSE,FALSE,FALSE,"LEVEL_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"CORP_COMPENSATION_SHARE_GVA","distribution","ratio",FALSE,FALSE,FALSE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"CORP_COMPENSATION_SHARE_NVA","distribution","ratio",FALSE,FALSE,FALSE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA","distribution","ratio",FALSE,FALSE,FALSE,FALSE,"REFERENCE_ONLY","frozen_S30_variable_dictionary","no"
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA","distribution","ratio",FALSE,FALSE,FALSE,FALSE,"REFERENCE_ONLY","frozen_S30_variable_dictionary","no"
"NFC_COMPENSATION_SHARE_GVA","distribution","ratio",FALSE,FALSE,FALSE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"NFC_COMPENSATION_SHARE_NVA","distribution","ratio",FALSE,FALSE,FALSE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA","distribution","ratio",FALSE,FALSE,FALSE,FALSE,"REFERENCE_ONLY","frozen_S30_variable_dictionary","no"
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA","distribution","ratio",FALSE,FALSE,FALSE,FALSE,"REFERENCE_ONLY","frozen_S30_variable_dictionary","no"
"y_real_nfc_gva_baseline","output","log_level",FALSE,TRUE,FALSE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"Y_REAL_NFC_GVA_BASELINE","output","level",TRUE,FALSE,FALSE,FALSE,"LEVEL_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"y_real_nfc_gva_proxy_business_output","output","log_level",FALSE,TRUE,FALSE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","output","level",TRUE,FALSE,FALSE,FALSE,"LEVEL_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"y_real_nfc_gva_proxy_gdp_implicit","output","log_level",FALSE,TRUE,FALSE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","output","level",TRUE,FALSE,FALSE,FALSE,"LEVEL_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance","output","log_level",FALSE,TRUE,FALSE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","output","level",TRUE,FALSE,FALSE,FALSE,"LEVEL_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"y_real_nfc_gva_proxy_gdpbyind_va_manufacturing","output","log_level",FALSE,TRUE,FALSE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","output","level",TRUE,FALSE,FALSE,FALSE,"LEVEL_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"y_real_nfc_gva_proxy_nonfarm_business_output","output","log_level",FALSE,TRUE,FALSE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","output","level",TRUE,FALSE,FALSE,FALSE,"LEVEL_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"y_real_nfc_gva_proxy_nonfarm_business_output_bls","output","log_level",FALSE,TRUE,FALSE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","output","level",TRUE,FALSE,FALSE,FALSE,"LEVEL_SERIES_AVAILABLE","frozen_S30_variable_dictionary","no"
