"check_id","file","path","check_type","expected_bytes","actual_bytes","expected_rows","actual_rows","expected_columns","actual_columns","expected_sha256","actual_sha256","exists","status"
"MANIFEST_1","README.md","data/releases/chapter2_us_source_of_truth_v1/README.md","release_manifest_file_integrity",656,656,12,12,1,1,"5afd1f8aee96a71a5419088df70a6ed51e0bd566e3d9d7f84c67c5334e472323","5afd1f8aee96a71a5419088df70a6ed51e0bd566e3d9d7f84c67c5334e472323",TRUE,"PASS"
"MANIFEST_2","CH2_US_SOURCE_OF_TRUTH_LONG.csv","data/releases/chapter2_us_source_of_truth_v1/CH2_US_SOURCE_OF_TRUTH_LONG.csv","release_manifest_file_integrity",1859667,1859667,3637,3637,22,22,"263e12f237384798fd3cc748d0d6968679b00a28eb37cd711cdf36c33858b485","263e12f237384798fd3cc748d0d6968679b00a28eb37cd711cdf36c33858b485",TRUE,"PASS"
"MANIFEST_3","CH2_US_SOURCE_OF_TRUTH_WIDE.csv","data/releases/chapter2_us_source_of_truth_v1/CH2_US_SOURCE_OF_TRUTH_WIDE.csv","release_manifest_file_integrity",66263,66263,125,125,38,38,"b0f64a9e6b6a80c9180679f7fcc165b69e3faac4d8a658df1ccc654ad95e1cb8","b0f64a9e6b6a80c9180679f7fcc165b69e3faac4d8a658df1ccc654ad95e1cb8",TRUE,"PASS"
"MANIFEST_4","CH2_US_VARIABLE_DICTIONARY.csv","data/releases/chapter2_us_source_of_truth_v1/CH2_US_VARIABLE_DICTIONARY.csv","release_manifest_file_integrity",78737,78737,189,189,17,17,"f955a0ab822d1ecfbee23d4c052aeed6dc496a876180655f21a054813a7551ac","f955a0ab822d1ecfbee23d4c052aeed6dc496a876180655f21a054813a7551ac",TRUE,"PASS"
"MANIFEST_5","CH2_US_PROVENANCE_LEDGER.csv","data/releases/chapter2_us_source_of_truth_v1/CH2_US_PROVENANCE_LEDGER.csv","release_manifest_file_integrity",11360,11360,37,37,7,7,"195ae08d433423488cf22fb556dbc39a86bbaae8d0de3ee043f7de0f014363de","195ae08d433423488cf22fb556dbc39a86bbaae8d0de3ee043f7de0f014363de",TRUE,"PASS"
"MANIFEST_6","CH2_US_ADMISSIBILITY_LEDGER.csv","data/releases/chapter2_us_source_of_truth_v1/CH2_US_ADMISSIBILITY_LEDGER.csv","release_manifest_file_integrity",37259,37259,204,204,8,8,"32a677f93b30afdb8d2cfc84e443bbb953fc58970d7d7e205396f6ac2d3444dd","32a677f93b30afdb8d2cfc84e443bbb953fc58970d7d7e205396f6ac2d3444dd",TRUE,"PASS"
"MANIFEST_7","CH2_US_SUPPORT_WINDOW_LEDGER.csv","data/releases/chapter2_us_source_of_truth_v1/CH2_US_SUPPORT_WINDOW_LEDGER.csv","release_manifest_file_integrity",4379,4379,52,52,8,8,"c09745674b0d0ee4182aed0ee6e6de75fdc72ac4d4e55ae2530685bbd8784679","c09745674b0d0ee4182aed0ee6e6de75fdc72ac4d4e55ae2530685bbd8784679",TRUE,"PASS"
"MANIFEST_8","CH2_US_FAMILY_INTERFACE_REGISTRY.csv","data/releases/chapter2_us_source_of_truth_v1/CH2_US_FAMILY_INTERFACE_REGISTRY.csv","release_manifest_file_integrity",659,659,5,5,4,4,"7926f0901e0a5593b67f832d9a0dbcd2659d607c91823a7c333cdc31db7d9b20","7926f0901e0a5593b67f832d9a0dbcd2659d607c91823a7c333cdc31db7d9b20",TRUE,"PASS"
"MANIFEST_9","CH2_US_DOWNSTREAM_CONSUMPTION_CONTRACT.md","data/releases/chapter2_us_source_of_truth_v1/CH2_US_DOWNSTREAM_CONSUMPTION_CONTRACT.md","release_manifest_file_integrity",371,371,6,6,1,1,"1be9789bd6eae2aebb2b712213c575ddcbb5f47021690be452dd37dfdd1ce780","1be9789bd6eae2aebb2b712213c575ddcbb5f47021690be452dd37dfdd1ce780",TRUE,"PASS"
"MANIFEST_10","CH2_US_VALIDATION_SUMMARY.md","data/releases/chapter2_us_source_of_truth_v1/CH2_US_VALIDATION_SUMMARY.md","release_manifest_file_integrity",577,577,11,11,1,1,"525fff1026f3b26bb38f392bf884e4338201260b1375759fa16a4ab0065f8d87","525fff1026f3b26bb38f392bf884e4338201260b1375759fa16a4ab0065f8d87",TRUE,"PASS"
