"variable_id","display_name","family","concept","unit","transformation","S30_contract_status","analytical_role","baseline_or_robustness","S30_canonical_inclusion_status","contextual_status","alias_status","S30_metadata_status","S30_blocked_status","coverage_start","coverage_end","first_observed_year","last_observed_year","nonmissing_count","missing_count","missing_share","internal_gap_count","available_in_level","available_in_log","available_in_difference","available_in_growth","diagnostic_intake_status","diagnostic_intake_reason"
"DELTA_G_TOT","DELTA_G_TOT","capital","conditional_secondary","millions_2017_dollars","level_change","CONDITIONAL_SECONDARY","conditional_secondary","CONDITIONAL_SECONDARY","CANONICAL_CONDITIONAL","not_contextual","not_alias","not_metadata_only","not_blocked",1902,2024,1902,2024,123,2,0.016,0,FALSE,FALSE,TRUE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","Frozen canonical object is available only in its existing level_change form; S31A creates no transformation."
"DLOG_G_TOT","DLOG_G_TOT","capital","conditional_secondary","log_difference","growth_or_log_difference","CONDITIONAL_SECONDARY","conditional_secondary","CONDITIONAL_SECONDARY","CANONICAL_CONDITIONAL","not_contextual","not_alias","not_metadata_only","not_blocked",1902,2024,1902,2024,123,2,0.016,0,FALSE,FALSE,FALSE,TRUE,"TRANSFORMED_SERIES_AVAILABLE","Frozen canonical object is available only in its existing growth_or_log_difference form; S31A creates no transformation."
"DLOG_N_TOT","DLOG_N_TOT","capital","conditional_secondary","log_difference","growth_or_log_difference","CONDITIONAL_SECONDARY","conditional_secondary","CONDITIONAL_SECONDARY","CANONICAL_CONDITIONAL","not_contextual","not_alias","not_metadata_only","not_blocked",1902,2024,1902,2024,123,2,0.016,0,FALSE,FALSE,FALSE,TRUE,"TRANSFORMED_SERIES_AVAILABLE","Frozen canonical object is available only in its existing growth_or_log_difference form; S31A creates no transformation."
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","baseline_representation","millions_2017_dollars","level","BASELINE_AUTHORIZED","baseline_representation","BASELINE_AUTHORIZED","CANONICAL_BASELINE","not_contextual","not_alias","not_metadata_only","not_blocked",1901,2024,1901,2024,124,1,0.008,0,TRUE,FALSE,FALSE,FALSE,"LEVEL_SERIES_AVAILABLE","Frozen canonical object is available in level form for later descriptive diagnostics."
"GROWTH_ARITH_G_TOT","GROWTH_ARITH_G_TOT","capital","conditional_secondary","decimal_rate","level_change","CONDITIONAL_SECONDARY","conditional_secondary","CONDITIONAL_SECONDARY","CANONICAL_CONDITIONAL","not_contextual","not_alias","not_metadata_only","not_blocked",1902,2024,1902,2024,123,2,0.016,0,FALSE,FALSE,TRUE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","Frozen canonical object is available only in its existing level_change form; S31A creates no transformation."
"GROWTH_ARITH_N_TOT","GROWTH_ARITH_N_TOT","capital","conditional_secondary","decimal_rate","level_change","CONDITIONAL_SECONDARY","conditional_secondary","CONDITIONAL_SECONDARY","CANONICAL_CONDITIONAL","not_contextual","not_alias","not_metadata_only","not_blocked",1902,2024,1902,2024,123,2,0.016,0,FALSE,FALSE,TRUE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","Frozen canonical object is available only in its existing level_change form; S31A creates no transformation."
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","conditional_secondary","millions_2017_dollars","level_change","CONDITIONAL_SECONDARY","conditional_secondary","CONDITIONAL_SECONDARY","CANONICAL_CONDITIONAL","not_contextual","not_alias","not_metadata_only","not_blocked",1901,2024,1901,2024,124,1,0.008,0,FALSE,FALSE,TRUE,FALSE,"TRANSFORMED_SERIES_AVAILABLE","Frozen canonical object is available only in its existing level_change form; S31A creates no transformation."
"L1_DLOG_G_TOT","L1_DLOG_G_TOT","capital","conditional_secondary","log_difference","growth_or_log_difference","CONDITIONAL_SECONDARY","conditional_secondary","CONDITIONAL_SECONDARY","CANONICAL_CONDITIONAL","not_contextual","not_alias","not_metadata_only","not_blocked",1903,2024,1903,2024,122,3,0.024,0,FALSE,FALSE,FALSE,TRUE,"TRANSFORMED_SERIES_AVAILABLE","Frozen canonical object is available only in its existing growth_or_log_difference form; S31A creates no transformation."
"L1_DLOG_N_TOT","L1_DLOG_N_TOT","capital","conditional_secondary","log_difference","growth_or_log_difference","CONDITIONAL_SECONDARY","conditional_secondary","CONDITIONAL_SECONDARY","CANONICAL_CONDITIONAL","not_contextual","not_alias","not_metadata_only","not_blocked",1903,2024,1903,2024,122,3,0.024,0,FALSE,FALSE,FALSE,TRUE,"TRANSFORMED_SERIES_AVAILABLE","Frozen canonical object is available only in its existing growth_or_log_difference form; S31A creates no transformation."
"L1_LOG_G_TOT","L1_LOG_G_TOT","capital","conditional_secondary","natural_log","growth_or_log_difference","CONDITIONAL_SECONDARY","conditional_secondary","CONDITIONAL_SECONDARY","CANONICAL_CONDITIONAL","not_contextual","not_alias","not_metadata_only","not_blocked",1902,2024,1902,2024,123,2,0.016,0,FALSE,FALSE,FALSE,TRUE,"TRANSFORMED_SERIES_AVAILABLE","Frozen canonical object is available only in its existing growth_or_log_difference form; S31A creates no transformation."
