"variable_name","source_file","construction_status","economic_role","theoretical_role","expected_order","adf_level_p","adf_diff_p","kpss_level_p","kpss_diff_p","pp_level_p_if_available","pp_diff_p_if_available","classification","notes","sample_start","sample_end","n_obs"
"y_t","S22:actual_log_output","validated_upstream","effective_output_proxy","preliminary_baseline","I1",0.425906440331339,0.01,0.01,0.1,0.726109325691575,0.01,"I1","S31I=I1_recommended; carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; Actual log output; productive capacity is latent and non-observable.",1929,2024,96
"K_ME","S20:K_ME","validated_upstream","capital_level","component","I1",0.99,0.545384114656031,0.01,0.01,0.99,0.01,"I2_RISK","S31I=I2_risk; audit_only_high_i2_risk",1925,2024,100
"K_NRC","S20:K_NRC","validated_upstream","capital_level","component","I1",0.99,0.169871351058932,0.01,0.01,0.99,0.01,"I2_RISK","S31I=I2_risk; audit_only_high_i2_risk",1925,2024,100
"K_cap","S20:K_cap","validated_upstream","capital_level","preferred_baseline","I1",0.99,0.303706210784083,0.01,0.01,0.99,0.01,"I2_RISK","S31I=I2_risk; audit_only_high_i2_risk",1925,2024,100
"k_ME","S20:k_ME","validated_upstream","capital_level","component","I1",0.655719539570806,0.317074630603109,0.01,0.1,0.923708315986728,0.01,"I1","S31I=I1_recommended; carry_to_S32_cointegration_or_admissibility_candidate_with_rolling_warning",1925,2024,100
"k_NRC","S20:k_NRC","validated_upstream","capital_level","component","I1",0.078773883985824,0.287144705448998,0.01,0.1,0.62867119881195,0.01,"I1","S31I=I1_recommended; carry_to_S32_cointegration_or_admissibility_candidate_with_rolling_warning",1925,2024,100
"k_Kcap","S20:k_Kcap","validated_upstream","capital_level","preferred_baseline","I1",0.263971523920943,0.307913543251312,0.01,0.1,0.73683841679649,0.01,"I1","S31I=I1_recommended; carry_to_S32_baseline_cointegration_candidate_with_rolling_warning",1925,2024,100
"g_K_ME","S20:g_K_ME","validated_upstream","capital_growth","component","undetermined",0.317074630603196,0.01,0.1,0.1,0.01,0.01,"I0","S31I=I0_recommended; stationary_candidate_not_long_run_level_cointegrating_regressor",1926,2024,99
"g_K_NRC","S20:g_K_NRC","validated_upstream","capital_growth","component","undetermined",0.287144705449135,0.01,0.1,0.1,0.01,0.01,"I0","S31I=I0_recommended; stationary_candidate_not_long_run_level_cointegrating_regressor",1926,2024,99
"g_Kcap","S20:g_Kcap","validated_upstream","capital_growth","preferred_baseline_support","undetermined",0.307913543251243,0.01,0.1,0.1,0.01,0.01,"I0","S31I=I0_recommended; stationary_capital_growth_input_not_preferred_long_run_level_regressor",1926,2024,99
"ME_NRC_gap","S20","validated_upstream","composition_diagnostic","candidate_only","undetermined",0.964371315343889,0.0498333181449826,0.01,0.0126068709808719,0.99,0.01,"I2_RISK","S31I=I2_risk; audit_only_high_i2_risk",1925,2024,100
"ME_share","S20","validated_upstream","composition_diagnostic","candidate_only","bounded_persistent_or_I0",0.966821773065124,0.0495220608694514,0.01,0.0135288908111025,0.99,0.01,"BOUNDED_PERSISTENT","Bounded ratio/share: persistent evidence is not mechanically promoted to pure I(1).; S31I=I2_risk; audit_only_high_i2_risk",1925,2024,100
