year,y,k_NR,k_ME,m,nrs,omega,omega_kME,phi,p_Y,p_M,tot,pcu,rer,ner,D1973,D1975,D7375,D1982,Y_real,M_real,K_NR_gross,K_ME_gross,GOS,I_total,NRS,pi,in_sample
1920,14.919018608891568,16.301515393849833,16.312234155005797,13.150145780431751,13.823291103253414,0.516925820551757,8.432215025608768,1.010776412877209,,,4.89953807441524,-0.09666085681619489,4.321003430857112,-12.069795027237626,0,0,0,0,3014723.29825359,514085.9664892925,12013185.471896503,12142644.518512148,1456334.9835673536,448524.0911811186,1007810.892386235,0.483074179448243,False
1921,14.839404778330278,16.325163400466735,16.358109752286552,13.153796371710314,13.123399343829357,0.6558033235305708,10.727702742227363,1.0334950926230655,,,4.946751655342364,0.038275643325947205,4.2981352631761895,-11.636223681314721,0,0,0,0,2784015.250498198,515966.1139719593,12300659.053182209,12712670.767493296,958248.7964616851,457730.5448498864,500518.2516117987,0.3441966764694292,False
1922,14.843507335284436,16.34639217079428,16.39613178552932,13.118141197312971,13.06731798123307,0.6898369608309547,11.310657720313362,1.0509973965083028,,,4.996151279881536,0.11670245203613906,4.215632678828896,-11.686089083979418,0,0,0,0,2795460.292540422,497893.3603897853,12564578.348724836,13205339.132734394,867048.4602107258,393827.3691472939,473221.0910634319,0.3101630391690453,False
1923,14.976602494521469,16.38998782623646,16.414169494034898,13.463132693635474,13.518294364326714,0.6010173223079679,9.865200197213987,1.0244764153610786,,,5.137829440580456,0.16063946267688656,4.209454834473255,-11.710157634499938,0,0,0,0,3193418.3832870666,703014.4277064471,13124454.79612683,13445694.40310453,1274118.6175548339,531235.2292172217,742883.3883376122,0.3989826776920321,False
1924,15.070641955375889,16.42743408252184,16.44023660626331,13.568689755919696,14.000318975647382,0.5216991909156851,8.576858135949996,1.0128848269029,,,5.116266615638314,0.08390874270690375,4.277707328244302,-11.586572005138526,0,0,0,0,3508299.325508568,781280.6848892624,13625234.134124191,13800792.917453868,1678022.4059007042,475034.45906957175,1202987.9468311325,0.4783008090843149,False
1925,15.11185025319953,16.491493957518355,16.44614028141648,13.77889967844991,14.113164386550647,0.4717264513305704,7.758079393037344,0.9556594281545984,,,5.315182647674671,0.1045182406691085,4.1642263183987716,-11.669579275015606,0,0,0,0,3655890.473888711,964051.1944416926,14526628.297515728,13882509.291818287,1931310.2341879518,584614.7144998771,1346695.5196880747,0.5282735486694295,False
1926,15.104418650625481,16.550444975055118,16.45051797695162,14.076567161151198,13.557120026966025,0.5617975851274443,9.24186127354703,0.9049034752946246,,,5.47862008663077,0.11779913858631207,4.092504105419436,-11.717492630711503,0,0,0,0,3628822.054280333,1298301.151336656,15408732.85326429,13943415.908805313,1590158.5873284303,817865.0187004358,772293.5686279945,0.4382024148725557,False
1927,15.126200655904482,16.607324948776046,16.45265654397456,13.713753931386995,13.815283314198455,0.5875910751460215,9.667434147682238,0.8566992077333336,,,5.22118738612752,0.09195825681205914,4.0669919897800755,-11.702876048928674,0,0,0,0,3708732.217763216,903249.351807356,16310586.74941087,13973266.745886102,1529514.266499039,529741.4844469493,999772.7820520897,0.4124089248539785,False
1928,15.24250149063399,16.657359614217214,16.4491733785811,13.782158418012543,14.418829053537602,0.436008684898591,7.171982452464059,0.8120557889021027,,,5.14559622487506,0.20438092276194594,4.067672374393523,-11.708940348896185,0,0,0,0,4166144.103727921,967197.9105889422,17147442.827957127,13924680.213310428,2349669.091963491,521493.5543302168,1828175.5376332742,0.563991315101409,False
1929,15.287810164196271,16.7310992794604,16.465747337820602,14.033152381513403,13.86571602737092,0.5614619056398236,9.244889878076608,0.766935985764371,,,5.223439651533227,0.43381389641383117,3.975692972659999,-11.705297357617685,0,0,0,0,4359248.177905941,1243141.7237774336,18459676.8129285,14157390.433415024,1911696.3887819427,860209.2661648899,1051487.1226170529,0.4385380943601764,False
