year,y,k_NR,k_ME,m,nrs,omega,omega_kME,phi,p_Y,p_M,tot,pcu,rer,ner,D1973,D1975,D7375,D1982,Y_real,M_real,K_NR_gross,K_ME_gross,GOS,I_total,NRS,pi,in_sample
1930,15.244406279298486,16.8089601329723,16.481970181468522,13.9345933410563,13.112486999725906,0.6686490552422352,11.020653790369618,0.7210909888702796,,,5.146905982757124,0.20635429405288158,3.9116169851670834,-11.704085970431388,0,0,0,0,4174087.290435733,1126463.166532588,19954398.09658154,14388936.655775208,1383087.7671872585,888001.6504004517,495086.1167868067,0.3313509447577648,False
1931,15.09457695831914,16.872399417030312,16.484433771592037,13.277006494083476,13.61740142417275,0.5811436847010782,9.57982458223389,0.6784356502231751,,,4.841129247690505,-0.08340503500054555,3.863373279425145,-11.569495816458623,0,0,0,0,3593283.4709406565,583620.6589026458,21261307.235784546,14424428.799104186,1505069.4744627234,684789.1465122167,820280.3279505067,0.4188563152989217,False
1932,14.893269841048154,16.907875070465867,16.441640747589997,12.26154799263453,13.961459405317974,0.4609216486983835,7.578308160685704,0.6273602619619035,,,4.68400223231674,-0.3360482758723618,4.807986345897368,-10.229217692625438,0,0,0,0,2938088.7446062607,211408.5915162956,22029104.53587182,13820184.792410702,1583860.0364201793,426723.0405027595,1157136.99591742,0.5390783513016165,False
1933,14.944816815770924,16.94470675772555,16.39299043912171,12.255248350325541,13.803187173241941,0.5189968270302697,8.507910023441715,0.575960429976316,,,4.563174207854068,-0.12329821634449373,4.733709754742779,-10.319002996497794,0,0,0,0,3093509.657358266,210080.9791408176,22855600.81962453,13163921.675437983,1487987.9608018291,500235.7235768539,987752.2372249751,0.4810031729697303,False
1934,15.078365757402766,16.960224948460844,16.352620460724694,12.650782383549917,13.92134701780542,0.5367886606293845,8.777901234893076,0.5446540329943358,,,4.649658496242963,-0.07874847150837147,4.595325964447826,-10.607089190999933,0,0,0,0,3535501.6524094115,312007.46211782325,23213044.66025929,12643078.392287854,1637684.4557595877,526044.391912118,1111640.0638474696,0.4632113393706155,False
1935,15.163060406283504,16.98518489252687,16.32613390636206,12.950014050354154,13.880483366005082,0.5718574788836842,9.336221775609642,0.5173420663777132,,,4.617530219256146,-0.11848183135651244,4.658883091065908,-10.593838645794072,0,0,0,0,3847985.8221308007,420842.5492173743,23799732.34397201,12312602.710066974,1647486.35110692,580356.3444728424,1067130.0066340775,0.4281425211163158,False
1936,15.214121297302963,17.0164660750298,16.305037635859208,13.066794990893946,14.08686811735154,0.5285386217121376,8.617842119021557,0.4909424149774394,,,4.698848740433734,-0.03694199404159524,4.629184154543291,-10.57596973265249,0,0,0,0,4049570.14860498,472973.6657107101,24555982.65119893,12055573.424923709,1909215.9237346877,597471.9108069873,1311744.0129277003,0.4714613782878624,False
1937,15.306588664102334,17.045816607487442,16.283458892728817,13.181862572653378,14.208813845620309,0.5328311331485793,8.676333853391005,0.46656510178837,,,4.853664078683206,0.21669527360962523,4.619617975867784,-10.553192175253237,0,0,0,0,4441881.758491351,530652.4534465295,25287394.981971607,11798216.0137263,2075108.8678024001,593241.1144223878,1481867.7533800122,0.4671688668514206,False
1938,15.330013245552612,17.084851618088745,16.26864359316751,13.310486091217548,14.089903862847082,0.5531664074120999,8.999267129900348,0.4421049308699078,,,4.586412640946654,0.04094892373377439,4.5268988353385,-10.521972628787651,0,0,0,0,4547159.205740728,603490.8097896136,26294007.463554543,11624710.351967622,2031823.4839702721,716091.299590093,1315732.1843801793,0.4468335925879001,False
1939,15.35284334092288,17.109188485217132,16.25168223111278,13.158018338675046,14.087745029608788,0.5785353553129456,9.402172754009918,0.4242186578916733,,,4.698608929665082,0.15176539214807572,4.4781047289461915,-10.503217252408126,0,0,0,0,4652165.373641137,518149.1108878412,26941771.53217508,11429202.160603402,1960723.226227079,647828.4243993681,1312894.801827711,0.4214646446870543,False
1940,15.403585026344988,17.131855963208245,16.236604532361245,13.27424765875986,14.023017638929147,0.6074707800874707,9.863262821245247,0.40850487500071925,4.12723683574689e-07,4.852035545905777e-07,4.599524559962,0.1621698685831014,4.4371539788053065,-10.48864168559288,0,0,0,0,4894315.689626395,582012.7645909144,27559447.678289536,11258168.72890853,1921161.9196547016,690555.4889645526,1230606.4306901488,0.3925292199125293,True
1941,15.40519050826264,17.15308073089666,16.220565022028868,13.267568002647714,13.998122347600045,0.6162600974278495,9.996086980810277,0.39356237558128876,4.309575664330651e-07,6.023355506771599e-07,4.565166393019885,0.09707140808699095,4.420675631592521,-10.388807885893756,0,0,0,0,4902179.736068375,578138.0746753257,28150642.34378788,11079033.674960377,1881161.9743100489,680813.6443539177,1200348.329956131,0.3837399025721505,True
1942,15.43758890881989,17.162406546480355,16.19393165258882,13.196246049042717,14.315165535226654,0.5675648436860874,9.191106287064756,0.3796616210484708,5.662248515998676e-07,7.431828596097205e-07,4.414614591594599,-0.02629771987063873,4.3183442726263195,-10.37971853153762,0,0,0,0,5063603.332230072,538340.2364646503,28414397.999566324,10787856.405631777,2189680.09848456,541527.5759896482,1648152.5224949117,0.4324351563139126,True
1943,15.465807547201381,17.16817019932847,16.169988688518572,13.068629363804371,14.211518419849272,0.6030991976573497,9.75210720417397,0.36854903459815425,7.014720372603225e-07,8.83441284016628e-07,4.301351801974747,-0.07036615300772657,4.364355600632066,-10.3005679111099,0,0,0,0,5208526.473803688,473842.0720374444,28578641.59237308,10532630.768995756,2067268.3364756189,581387.3371446126,1485880.9993310063,0.3969008023426503,True
1944,15.484557595714834,17.179459854181655,16.140084338748856,13.095780503846054,14.103714000229692,0.6254367210587357,10.094601426438537,0.35367547788751724,7.290678576445457e-07,1.0223443844129144e-06,4.253076968916952,-0.07737061778853828,4.345624696829382,-10.175086324119741,0,0,0,0,5307107.913129927,486883.6704635191,28903112.72938016,10222322.207000311,1987847.7416370758,653819.067303074,1334028.6743340017,0.3745632789412643,True
1945,15.567324070535784,17.20219235643141,16.12072301022605,13.159869428524965,14.279104469579533,0.6044555633395453,9.744260708586959,0.3390969086581734,8.290812509467699e-07,1.0337821219057823e-06,4.232053633584188,-0.09489874182279567,4.26899301170532,-10.199820267468699,0,0,0,0,5765048.188974463,519109.13972343673,29567677.799491987,10026308.138008635,2280332.7382282787,690555.4889645526,1589777.2492637262,0.3955444366604547,True
1946,15.649521142658346,17.221746418301567,16.131826352509357,13.201352567217914,14.359442727211603,0.5719435501825137,9.226494034982034,0.3362433699799561,9.738731882834543e-07,1.2067933763171829e-06,4.240186242777942,-0.07085466302188607,4.171604758643212,-10.170791999636108,0,0,0,0,6258938.391410903,541096.3116515432,30151535.79461172,10138254.005651517,2679178.947453719,956411.1720410414,1722767.7754126778,0.4280564498174862,True
1947,15.535723871028182,17.25390866935282,16.182697771039777,13.27569483045715,13.494848622533477,0.6818860563830722,11.034755964733446,0.3425934203544924,1.2425054014417376e-06,1.6649612005061829e-06,4.301351801974747,0.13867120365838168,4.166990946219625,-10.216856731923894,0,0,0,0,5585719.844217188,582855.646741784,31137040.12743876,10667345.076974325,1776895.367583261,1051226.8352361529,725668.5323471082,0.3181139436169278,True
1948,15.689274583530272,17.276063671404287,16.22382051587987,13.270968261389543,14.349619817339825,0.5947289826246759,9.648776269694578,0.34915366405717035,1.4112576125052055e-06,1.762662541211703e-06,4.36613277674425,0.10764147640584182,4.184384013493929,-10.138627777034522,0,0,0,0,6512764.533265854,580107.239655693,31834579.779851004,11115160.173855286,2639434.7083225804,933506.682422144,1705928.0259004366,0.4052710173753241,True
1949,15.667443486609544,17.308681083601435,16.28336274489037,13.345087781965441,14.248701086299148,0.5904415851407467,9.61437451051485,0.35868226477982357,1.6870213544282428e-06,2.0120915984761773e-06,4.357099446711678,0.02351760607768119,3.9928123681313425,-10.108791185722007,0,0,0,0,6372124.488415103,624738.0881728947,32890061.354253728,11797081.695291078,2609757.2047611196,1067587.1849639367,1542170.0197971829,0.4095584148592532,True
1950,15.715544986005515,17.329637143450373,16.331239716542903,13.299365805730247,14.472565405172384,0.5640614965956121,9.21182351577489,0.36846946751905457,1.9732531312036785e-06,2.392853808446025e-06,4.468157983484143,0.08634405593485885,4.154971907400044,-9.800967065945729,0,0,0,0,6686124.62849127,596816.9958279894,33586580.102847904,12375629.28628244,2914739.164119703,985636.7058729464,1929102.4582467568,0.4359385034043879,True
1951,15.758133041729227,17.359210383237183,16.39678068249986,13.490151951742558,14.594921349195086,0.5267448831360416,8.636920324410694,0.3819637001266297,2.484734687890704e-06,3.5836103246208257e-06,4.548671755747903,0.10639736496101626,4.163969009697836,-9.670567942979082,0,0,0,0,6977024.132144125,722268.2972900824,34594676.964542456,13213910.81806212,3301912.3710205257,1121725.0695176946,2180187.3015028313,0.4732551168639584,True
1952,15.820579900479899,17.39061327795992,16.461943982146895,13.5152820920098,14.232952421267193,0.6375593229564251,10.495465859804172,0.39507909413363795,2.972789325835826e-06,3.643478636491588e-06,4.643193346619379,0.1338876425045927,4.194633056106022,-9.552830680922959,0,0,0,0,7426608.858644058,740648.9882724957,35698287.555271044,14103647.109458605,2691705.142864763,1173631.997290391,1518073.1455743718,0.3624406770435748,True
1953,15.893263284327064,17.41953656606287,16.510922264158364,13.508124861104907,15.021002287464485,0.4335714681918065,7.158664807271927,0.40308238771813243,3.720981687106757e-06,3.818574045947572e-06,4.738782393475645,0.3186951914092264,4.023907290866454,-9.27221577569427,0,0,0,0,7986500.879432823,735366.9174923102,36745876.236044526,14811615.532019809,4523781.96742198,1185381.7030039812,3338400.2644179985,0.5664285318081934,True
1954,15.860338646771549,17.442418302454914,16.54533012978699,13.491193289510791,15.007409629549752,0.4252265162640857,7.035513091528535,0.40775524566127863,6.295629789620509e-06,5.117131729476555e-06,4.634273577403484,0.3460198318890218,3.8803733383403447,-8.89552963213615,0,0,0,0,7727829.923252009,723020.8142910338,37596379.07232537,15330120.784610586,4441751.726706199,1148422.1856643965,3293329.5410418026,0.5747734837359142,True
1955,15.897281785343345,17.467854448776727,16.597193711950386,13.648087999227846,15.019422422805034,0.4184994409605206,6.945916289964704,0.41867482396195865,1.0703748106413e-05,1.0242824064333716e-05,4.798474500574413,0.56802001481853,3.8656596169585775,-8.310179022031912,0,0,0,0,8018659.212204488,845842.1178349766,38564952.23444221,16146174.587856436,4662854.81464398,1329724.6067386563,3333130.2079053237,0.5815005590394793,True
1956,15.913928502478369,17.497630561249714,16.660367707365655,13.620965547675503,14.81401606740087,0.5117340439004434,8.525677339758586,0.43289379686889007,1.5852795042458104e-05,1.728329734224864e-05,4.876655265425577,0.6500609983932236,4.161270785976361,-7.67778350387804,0,0,0,0,8153260.792823005,823209.1245422151,39730533.714908265,17199101.591474086,3980959.676336753,1266737.2602866883,2714222.416050065,0.4882659560995566,True
1957,16.011616639182336,17.53693662421285,16.751076309408376,13.770204582285862,14.815595504818257,0.5364323677274111,8.985819526638478,0.4557274640017607,2.140439429056974e-05,3.458739307014012e-05,4.616406985096427,0.2902204478887956,4.362767649838128,-7.333933428687843,0,0,0,0,8989939.162489288,955705.0146012476,41323281.8472454,18832154.44047514,4167444.8118297798,1448932.064073373,2718512.7477564067,0.4635676322725889,True
1958,16.06507652300002,17.573787035014526,16.832302962668233,13.700280270116812,15.155891774199972,0.4467800326865331,7.520336867850541,0.47640636910787254,2.6675715573672908e-05,3.2966433907003985e-05,4.49816521203714,0.14004460860183834,4.307576410363035,-7.120948499443179,0,0,0,0,9483618.720824605,891160.8967501206,42874467.13412425,20425669.214802947,5246527.238747969,1426027.5744544754,3820499.664293494,0.5532199673134668,True
1959,16.006793843735952,17.599289718273212,16.869997780931136,13.715057114775236,14.760201552354873,0.5750776192763191,9.701558161054663,0.482250332682313,3.987382156705669e-05,5.300252814465752e-05,4.620515508273974,0.30138885515115144,4.290648324252956,-6.853267093698067,0,0,0,0,8946686.907058401,904427.2186796456,43981942.86743155,21210306.579833347,3801647.500136641,1229629.012495033,2572018.487641608,0.4249223807236809,True
1960,16.0864941939034,17.63787753299417,16.923918301686196,14.012594241252884,14.600524599742908,0.6093126657451776,10.311957775254015,0.48970151266893247,4.401932451362948e-05,4.9624104388425046e-05,4.684710925738224,0.3435029601665587,4.233116953306938,-6.858013187087323,0,0,0,0,9688926.504720556,1217845.9497959046,45712280.19445891,22385372.75877261,3785340.8679201677,1592903.141677872,2192437.7262422955,0.3906873342548224,True
1961,16.133210487830446,17.672201487705973,16.992117592626443,14.185831246909432,14.430482916803813,0.6588962612543945,11.196042752576584,0.5065744914755551,4.732380521103672e-05,4.878328176195871e-05,4.678882477086767,0.28243077882154216,4.137958319488265,-6.858013187087323,0,0,0,0,10152296.43718576,1448198.9616012543,47308544.77144826,23965302.010044936,3462986.271577753,1613380.797967699,1849605.4736100542,0.3411037387456055,True
1962,16.17950836250323,17.712531382949667,17.047707583326627,14.060226092913329,14.73331096299701,0.5941905193772513,10.129586223128355,0.5143641508797592,5.344285620094384e-05,5.108260863918927e-05,4.635233712417754,0.3022379421788869,4.091722646076954,-6.774974167748319,0,0,0,0,10633376.753748316,1277257.926280826,49255489.58126069,25335258.074631978,4315125.097704614,1811348.0644826824,2503777.033221931,0.4058094806227487,True
1963,16.240849479811228,17.769981409740094,17.08589116125977,13.999272190041918,14.887823582966028,0.5576814422070525,9.52848442420408,0.5045490350951006,7.719854128924752e-05,8.754442098996797e-05,4.615031005100234,0.30461042253251747,4.271503578840049,-6.279413321788307,0,0,0,0,11306060.64095473,1201729.335228026,52168081.99172329,26321355.43168608,5000880.437026704,2078749.7865966992,2922130.6504300046,0.4423185577929475,True
1964,16.262856465148943,17.819717460668997,17.127291335267294,14.049456527122427,14.389553173636562,0.6767742739731578,11.59131015855228,0.5003606575905039,0.0001148859747163,0.0001074166609744,4.634262367028122,0.3453914902830632,4.1437843144253765,-6.044127199691288,0,0,0,0,11557630.950735234,1263576.2182765342,54828322.95627069,27433935.72898412,3735723.655201698,1960293.711016905,1775429.9441847932,0.3232257260268422,True
1965,16.27090691739565,17.86157852486959,17.15317090009882,14.065078777223805,14.680325063660332,0.6381088691725728,10.945590485785942,0.49242770315456846,0.000160164116709,0.0001470544162381,4.75223212661372,0.414535418438947,4.074337222203612,-5.76757460774398,0,0,0,0,11651050.637611322,1283471.1189187055,57172211.4715261,28153180.77919087,4216411.890572778,1841846.313839204,2374565.5767335743,0.3618911308274272,True
1966,16.376627828568118,17.895819861905366,17.192873954565947,14.315825484132306,15.171673148760425,0.553495656761064,9.516181061092672,0.49512456216147116,0.000206373023864,0.0001635440584065,4.958620709490312,0.400700208810758,4.019235591197311,-5.532690399813795,0,0,0,0,12950278.200823154,1649240.5779394894,59163766.60628809,29293434.036761858,5782355.462820051,1901084.7986155064,3881270.664204545,0.4465043432389359,True
1967,16.408577693072512,17.931489643808593,17.232103856394982,14.230576387264993,15.119722829923989,0.5791916250038267,9.980690234820118,0.49689040642456195,0.0002602733055074,0.0002247851702417,4.909633520396589,0.4546472684339265,4.00673611915869,-5.292119943640085,0,0,0,0,13370718.576514369,1514470.433940269,61312214.80671827,30465451.334100284,5626510.356714159,1941725.0152784176,3684785.3414357416,0.4208083749961733,True
1968,16.44375368102013,17.966201546572137,17.279615073757,14.319497386984533,15.263261804875752,0.5394079097121091,9.320761047565115,0.5032911381652301,0.0003491899057509,0.0002890967484537,4.977514290634714,0.5074988937993367,4.073434956255977,-4.992807655021701,0,0,0,0,13849416.79463108,1655307.560991126,63477847.61693475,31947838.175406124,6378931.830707351,2125393.2364949626,4253538.594212389,0.4605920902878909,True
1969,16.480286233867023,18.001907984437977,17.320874946828166,14.474381624157518,15.413301590663314,0.5005314522990513,8.669642692226155,0.5060939081880377,0.0004897710066818,0.0003962160521246,5.143349786313743,0.6101322981139957,4.134470315558178,-4.713395913559192,0,0,0,0,14364726.830165416,1932609.3144010664,65785366.92711689,33293573.449728668,7174729.247983572,2232625.834896188,4942103.413087384,0.4994685477009487,True
1970,16.500640555722857,18.042990399155215,17.363069527596902,14.44824333081075,15.387730523976433,0.5092767661923354,8.84260790018723,0.5066570817648125,0.0006904158550181,0.000557468097252,5.158646451689217,0.776426514621403,4.123442333725617,-4.460918338340081,0,0,0,0,14660107.037449896,1882748.6799049373,68544271.87110683,34728440.75790891,7194055.133383915,2376724.491036919,4817330.642346996,0.4907232338076646,True
1971,16.586407474257214,18.0774113971458,17.39264637340163,14.41916239447728,15.356557866993484,0.5623170054214746,9.780180825045873,0.5042086927270404,0.0008198647497503,0.0005699207933748,4.844553346434339,0.6355288971650169,3.9787331469716882,-4.389319832168024,0,0,0,0,15972953.989602089,1828785.044966112,70944709.8513107,35770939.410028554,6991090.334434046,2321612.236851861,4669478.097582186,0.4376829945785254,True
1972,16.57420161976761,18.10080788769807,17.400275916107695,14.491618843527757,14.924372804954977,0.6903477385078481,12.012241128097523,0.4963212047704117,0.0015369339468903,0.0011209938112881,4.789120270437165,0.579747456080505,3.205699162813512,-3.9381103401914648,0,0,0,0,15779175.459507676,1966210.8920168497,72624136.82517461,36044899.08448189,4886057.365518016,1855149.358260492,3030908.007257524,0.3096522614921518,True
1973,16.516943008225347,18.119773860967516,17.412781128689378,14.602648997590787,15.432156037474465,0.5450286722310115,9.490464978418785,0.49312492854809487,0.0079832056843479,0.0067882792106438,5.037776640505202,0.6015792264217205,3.112739731135745,-2.2000435469000177,1,0,1,0,14901061.473721752,2197100.2870430625,74014668.97885111,36498478.35170685,6779555.7238665065,1743387.7033433928,5036168.020523114,0.4549713277689885,True
1974,16.526640932623458,18.149123910370403,17.42368787958316,14.610875265867808,15.766315831000307,0.3944709808320595,6.873139247570836,0.48411343456617195,0.0635858589369123,0.0655483787649232,5.01961965366505,0.6909245893416625,3.755061025190367,-0.1840230034337122,0,0,1,0,15046273.832487073,2215248.768228875,76219196.413759,36898736.95573852,9110955.435918147,2076605.5632018973,7034349.87271625,0.6055290191679406,True
1975,16.388409597099926,18.162149670903755,17.43360064079446,14.232917401769344,15.428357092310762,0.4927199418713367,8.589882694340345,0.48260873305510393,0.2821306649032177,0.5431646761289649,4.43141679478368,0.41676761259559536,4.129560327441205,1.5913757696156918,0,1,1,0,13103757.735814266,1518019.9843459616,77218503.65332201,37266324.21654065,6647274.985927782,1630202.7965762084,5017072.189351574,0.5072800581286633,True
1976,16.422987171700672,18.171384657470455,17.433166642600654,14.262032179649655,15.535673108752777,0.485581282901028,8.465219423341432,0.4779648834047762,0.9921316100397533,1.4668541433587767,4.522531676904537,0.4525524939864302,4.056386135602078,2.5691073676102003,0,0,0,0,13564778.453149129,1562866.4789979763,77934918.44614384,37250154.20827188,6977975.929600753,1392539.6220360966,5585436.307564656,0.514418717098972,True
1977,16.517011773888736,18.182956191473732,17.454186637973155,14.469313620632853,15.559812166975235,0.5044183129122691,8.80421137718229,0.4825023182745342,2.025352699436308,2.674134587327751,4.402350363800004,0.3517804226676506,4.005881439446321,3.0697182144526782,0,0,0,0,14902086.19033145,1922839.6209153216,78841982.94751085,38041439.54953528,7385201.015331235,1663297.0618253667,5721903.953505868,0.4955816870877308,True
1978,16.5959837015192,18.20282962904938,17.491038779758487,14.734908715214932,15.760327472460292,0.4455660672071336,7.7934133604644495,0.4907645247143309,3.179477943807354,4.096523179710406,4.54031155794354,0.26209912745117214,4.150175599962629,3.4549224391379183,0,0,0,0,16126649.363426292,2507780.64606889,80424517.28738278,39469500.0019219,8941161.629336014,1948810.0897087173,6992351.539627297,0.5544339327928663,True
1979,16.67554930097866,18.22339665023136,17.53880045383097,14.88269612441155,15.858744980917612,0.4299995843258176,7.541676904720777,0.5042938241273963,4.664107218465608,5.721234552993572,4.54551625655278,0.4808797841073407,4.102508384484672,3.6175400817458616,0,0,0,0,17462203.461874485,2907185.893682064,82095737.13456845,41400373.22414902,9953463.231855603,2237939.0790297715,7715524.152825831,0.5700004156741824,False
1980,16.752000091985146,18.251671698961516,17.604331606832698,14.995786719008434,15.798840547506137,0.4640163206762214,8.168697180166621,0.5234362188358552,6.033529968729551,6.824264906264535,4.577490561185294,0.44349623953472644,4.008402375911623,3.6635616461296463,0,0,0,0,18849559.29454296,3255273.058376353,84450126.48452757,44204254.88727083,10103056.144320866,2836154.6993797463,7266901.44494112,0.5359836793237787,False
1981,16.8122688938105,18.29474387714653,17.682954505641963,15.144199753630469,15.576597652971644,0.5415162292349118,9.57560684562773,0.5423794818578844,6.744784565466146,7.080086556150887,4.40729198993932,0.17099500843398718,4.0049149026365995,3.6635616461296463,0,0,0,0,20020531.77748469,3776090.426400716,88167050.77017237,47819999.313663885,9179088.902063452,3360329.400245666,5818759.501817785,0.4584837707650881,False
1982,16.66622576458749,18.315654048934828,17.69800494058507,14.694184258573495,15.388015901142332,0.6064176749716583,10.732383007706519,0.539210574373371,7.618251199792747,8.300610826377724,4.357924851327437,0.005368002719153968,4.102996422408906,3.930026629867721,0,0,0,1,17300150.599222537,2407704.251138973,90030048.87281406,48545154.36357273,6809033.496182465,1990327.901488888,4818705.594693577,0.3935823250283417,False
1983,16.63780534237784,18.33590858186021,17.689615722121665,14.541341256678688,15.532016241273796,0.5702478847140596,10.087465946944452,0.5239846653238024,9.880710165700457,12.72471849990542,4.441340329200761,0.04307900111910704,4.344229385924263,4.366764931757221,0,0,0,0,16815394.135125805,2066446.98202868,91872158.01605144,48139601.9706162,7226451.198937111,1661402.7911176605,5565048.40781945,0.4297521152859404,False
1984,16.69499388609253,18.370415067354845,17.68685331819231,14.681137577080897,15.547912821641399,0.5647610479727213,9.988845815322092,0.5048157593915361,11.374280551217796,16.421014572714004,4.392895670596997,-0.11582081630056708,4.383625054925655,4.589828095688821,0,0,0,0,17805071.42309382,2376495.7271630587,95097673.86715928,48006804.449618645,7749460.626958203,2095240.091747332,5654220.53521087,0.4352389520272787,False
1985,16.71448548695257,18.405139275243567,17.690905879840734,14.564908734608576,15.770554394169901,0.4814043627812959,8.51647927210861,0.48956727249971904,15.222606802945544,25.668365537161808,4.318497005919471,-0.10895059531137606,4.634846483521249,5.080534421475923,0,0,0,0,18155525.125029195,2115726.339861316,98457867.6698722,48201749.7312776,9415376.121254709,2351147.43535949,7064228.6858952185,0.5185956372187042,False
1986,16.768937942973665,18.43820238827759,17.691177858632898,14.70792337900471,15.84477790021075,0.4775327906453508,8.448117532636209,0.47377415852166016,18.212421633550672,30.552894742749707,4.424269450167714,-0.0934345480548926,4.62724909606152,5.262327428814881,0,0,0,0,19171549.534458723,2441012.277356758,101767604.88237572,48214861.36791235,10016505.984273072,2407996.101826103,7608509.882446969,0.5224672093546492,False
1987,16.831647050468604,18.47672638410554,17.7122595274152,14.85993438996944,15.939639994127266,0.4465858348198765,7.9100442075970285,0.46558208679179913,22.863713447359864,36.130122050199176,4.466318108567517,0.10292076633514272,4.5875326401389955,5.390926933280429,0,0,0,0,20412276.161992937,2841760.720296128,105764595.37584092,49242101.02377428,11296442.771615455,2930831.2533412366,8365611.518274218,0.5534141651801234,False
1988,16.902500133513435,18.51693961013958,17.748319595801647,14.987788309359702,16.062417693635712,0.4156336999540685,7.376799741570336,0.4636524607815977,27.99002284973481,42.21815113528691,4.6586522490228734,0.4424381088608115,4.617921093680279,5.501305828458595,0,0,0,0,21911017.12835289,3229339.901199308,110104405.01809712,51050178.32953443,12804060.009538608,3345623.120716643,9458436.888821965,0.5843663000459314,False
1989,17.003031323349642,18.567444447134623,17.816021643770352,15.243119876712102,16.097297011187077,0.4162439907912031,7.4158119490254215,0.4716949459161299,31.71277145023797,47.66123307264188,4.645012335529482,0.47715017242087765,4.55804804664948,5.587076983240443,0,0,0,0,24228285.317068763,4168721.185974847,115808028.0011058,54626061.50463526,14143407.146664148,4349245.54489235,9794161.601771798,0.5837560092087968,False
