"model_id","diagnostic_name","statistic","p_value_or_critical_decision","diagnostic_result","diagnostic_role","notes"
"S32C_CORP_boundary_baseline","Residual_ADF",-3.4216683680728,-1.95,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_CORP_boundary_baseline","Residual_KPSS",0.29781357784473,0.463,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_periodized__full_long_sample","Residual_ADF",-3.4216683680728,-1.95,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_periodized__full_long_sample","Residual_KPSS",0.29781357784473,0.463,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_periodized__pre_1974_full","Residual_ADF",-3.88242173546653,-1.95,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_periodized__pre_1974_full","Residual_KPSS",0.154614355783843,0.463,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_periodized__post_1973_full","Residual_ADF",-2.53197101550426,-1.95,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_periodized__post_1973_full","Residual_KPSS",0.096893956611006,0.463,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_periodized__fordist_core","Residual_ADF",-2.1917603632523,-1.95,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_periodized__fordist_core","Residual_KPSS",0.122474040560194,0.463,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_periodized__bridge_1940_1978","Residual_ADF",-4.6028894231612,-1.95,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_periodized__bridge_1940_1978","Residual_KPSS",0.0835706149125333,0.463,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_periodized__pre_1974_alt_1940_1973","Residual_ADF",-4.22062536861441,-1.95,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_periodized__pre_1974_alt_1940_1973","Residual_KPSS",0.0916040598911933,0.463,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_periodized__pre_1974_alt_1947_1973","Residual_ADF",-1.88427586256692,-1.95,"fail","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_periodized__pre_1974_alt_1947_1973","Residual_KPSS",0.129483321469242,0.463,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_ME_growth_extension","Residual_ADF",-3.81647776683045,-1.95,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_ME_growth_extension","Residual_KPSS",0.105555631508311,0.463,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_NRC_growth_extension","Residual_ADF",-3.58937832213872,-1.95,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_NRC_growth_extension","Residual_KPSS",0.126282993063541,0.463,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_ME_minus_NRC_growth_extension","Residual_ADF",-3.73909888773169,-1.95,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_ME_minus_NRC_growth_extension","Residual_KPSS",0.111764039793555,0.463,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_ME_share_extension","Residual_ADF",-3.65575276541819,-1.95,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_ME_share_extension","Residual_KPSS",0.118981488527615,0.463,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_NRC_share_extension","Residual_ADF",-3.65575276541819,-1.95,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_NRC_share_extension","Residual_KPSS",0.118981488527615,0.463,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_ME_NRC_gap_extension","Residual_ADF",-3.73909888773172,-1.95,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_ME_NRC_gap_extension","Residual_KPSS",0.111764039793555,0.463,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_modified_ME_NRC_split","Residual_ADF",-3.60008061810406,-1.95,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_modified_ME_NRC_split","Residual_KPSS",0.158750069684392,0.463,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_modified_relative_mechanization","Residual_ADF",-3.73909888773169,-1.95,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
"S32C_modified_relative_mechanization","Residual_KPSS",0.111764039793555,0.463,"pass","descriptive_residual_diagnostic_not_cointegration_gate",""
