"year","date","K_ME","K_NRC","K_cap","k_ME","k_NRC","k_Kcap","g_K_ME","g_K_NRC","g_Kcap","omega_CORP","ME_share","NRC_share","ME_NRC_gap","CORP_GVA","Py_fred","CORP_GVA_real","y_CORP","q_increment_omegaCORP_h1_Kcap","q_omegaCORP_h1_Kcap","q_omegaCORP_h1_Kcap__full_long_sample","q_omegaCORP_h1_Kcap__pre_1974_full","q_omegaCORP_h1_Kcap__post_1973_full","q_omegaCORP_h1_Kcap__fordist_core","q_omegaCORP_h1_Kcap__bridge_1940_1978","q_omegaCORP_h1_Kcap__pre_1974_alt_1940_1973","q_omegaCORP_h1_Kcap__pre_1974_alt_1947_1973","q_omegaCORP_h1_ME","q_omegaCORP_h1_NRC","q_omegaCORP_h1_ME_minus_NRC","q_omegaCORP_h1_ME_share","q_omegaCORP_h1_NRC_share","q_omegaCORP_h1_ME_NRC_gap"
1925,"1925-12-31",23154,71469,94623,10.0499228307657,11.1770190682314,11.457655854453,,,,,0.244697378015916,0.755302621984084,-1.12709623746576,,,,,,,,,,,,,,,,,,,
1926,"1926-12-31",24187,73122,97309,10.0935705777238,11.1998845580516,11.4856467613271,0.0436477469581735,0.022865489820127,0.0279909068741286,,0.248558715021221,0.751441284978779,-1.10631398032771,,,,,,,,,,,,,,,,,,,
1927,"1927-12-31",24400,74232,98632,10.1023384112813,11.214950603033,11.4991510315484,0.00876783355744593,0.0150660449814577,0.0135042702212882,,0.247384216075919,0.752615783924081,-1.11261219175172,,,,,,,,,,,,,,,,,,,
1928,"1928-12-31",24644,75987,100631,10.1122887421345,11.2383175520057,11.5192156402724,0.00995033085316877,0.0233669489727042,0.0200646087240308,,0.244894714352436,0.755105285647564,-1.12602880987126,,,,,,,,,,,,,,,,,,,
1929,"1929-12-31",24427,75022,99449,10.103444356875,11.225536682838,11.5074002289274,-0.00884438525945974,-0.0127808691677505,-0.0118154113450295,0.624785607415246,0.245623384850526,0.754376615149474,-1.12209232596297,54806,8.778,783117.676919572,13.5710382534884,,,,,,,,,,,,,,,
1930,"1930-12-31",23086,71367,94453,10.0469816521749,11.1755908566134,11.4558576352627,-0.0564627047001451,-0.0499458262245938,-0.0515425936646814,0.639461995101499,0.244417858617513,0.755582141382487,-1.12860920443852,48178,8.457,714540.63899728,13.4793951522675,-0.0322030706905452,-0.0322030706905452,-0.0322030706905452,-0.0322030706905452,,,,,,-0.0352770852523878,-0.0312054333755892,-0.00407165187679866,-0.000753195439748047,0.000753195439748082,-0.00407165187679788
1931,"1931-12-31",21030,63993,85023,9.95370526869675,11.0665289813599,11.3506770871054,-0.093276383478111,-0.109061875253449,-0.105180548157355,0.670321830576547,0.247344836103172,0.752655163896828,-1.11282371266318,37846,7.587,625668.655331488,13.3465762053688,-0.0672589631705715,-0.0994620338611167,-0.0994620338611167,-0.0994620338611167,,,,,,-0.0949237875271532,-0.10094635771467,0.00602257018751728,0.00111849542284863,-0.00111849542284863,0.00602257018751945
1932,"1932-12-31",18864,60612,79476,9.84501062277715,11.0122481722561,11.283210368273,-0.108694645919593,-0.054280809103874,-0.0674667188323728,0.68242345931589,0.237354673108863,0.762645326891137,-1.1672375494789,27861,6.7,521574.553432836,13.164607502808,-0.0452244144707093,-0.144686448331826,-0.144686448331826,-0.144686448331826,,,,,,-0.167784181553844,-0.137331969038355,-0.030452212515489,-0.00557812892325467,0.00557812892325465,-0.0304522125154876
1933,"1933-12-31",18938,60987,79925,9.84892576454344,11.0184160056892,11.288843973928,0.00391514176629215,0.00616783343312122,0.00563360565506166,0.669816937044203,0.23694713794182,0.76305286205818,-1.16949024114573,26876,6.514,517501.217070924,13.1567671559468,0.00384450465954874,-0.140841943672277,-0.140841943672277,-0.140841943672277,,,,,,-0.165112396965979,-0.133122894810441,-0.0319895021555386,-0.00585624048174102,0.00585624048174105,-0.0319895021555377
1934,"1934-12-31",19402,61585,80987,9.87313143252123,11.0281736133756,11.3020439269469,0.0242056679777836,0.0097576076864101,0.0131999530188605,0.628208955223881,0.23956931359354,0.76043068640646,-1.15504218085436,33500,6.871,611532.236937855,13.323722950525,0.00884155210022052,-0.132000391572057,-0.132000391572057,-0.132000391572057,,,,,,-0.148899030581991,-0.12658708391705,-0.0223119466649408,-0.00409986281831405,0.0040998628183141,-0.0223119466649424
