"model_id","estimator","term","estimate","std_error","t_statistic","p_value","n_obs","r_squared","adj_r_squared","residual_sd","coefficient_status","warning_flags"
"S32C_CORP_boundary_baseline","OLS_diagnostic","(Intercept)",-0.162706793886802,14.0780758161518,-0.0115574596991535,0.990803712268396,95,0.971105461415114,0.970477319271964,0.170131712998386,"preliminary_not_promoted",""
"S32C_CORP_boundary_baseline","OLS_diagnostic","k_Kcap",1.21634984119054,1.22303897803983,0.994530724719822,0.322573152727995,95,0.971105461415114,0.970477319271964,0.170131712998386,"preliminary_not_promoted",""
"S32C_CORP_boundary_baseline","OLS_diagnostic","q_omegaCORP_h1_Kcap",-1.08195325703324,1.94413438818179,-0.55652184520285,0.579205367081028,95,0.971105461415114,0.970477319271964,0.170131712998386,"preliminary_not_promoted",""
"S32C_CORP_boundary_baseline","FM_OLS_Newey_West","(Intercept)",-20.0537882521749,26.8873109240126,-0.745845812132337,0.457662034143588,95,0.970335654008015,0.969690776921233,0.173327710108452,"preliminary_not_promoted",""
"S32C_CORP_boundary_baseline","FM_OLS_Newey_West","k_Kcap",2.94012205238687,2.33582136211408,1.25871014799088,0.21131974044855,95,0.970335654008015,0.969690776921233,0.173327710108452,"preliminary_not_promoted",""
"S32C_CORP_boundary_baseline","FM_OLS_Newey_West","q_omegaCORP_h1_Kcap",-3.80743454390904,3.71288790865408,-1.0254644464312,0.3078328443685,95,0.970335654008015,0.969690776921233,0.173327710108452,"preliminary_not_promoted",""
"S32C_CORP_boundary_baseline","IM_OLS","(Intercept)",-18.7680983518422,34.1688663793497,-0.549274832342253,0.584147641414054,95,0.97087654304306,0.970243424413562,0.171740242871245,"preliminary_not_promoted",""
"S32C_CORP_boundary_baseline","IM_OLS","k_Kcap",2.82247182830208,2.96779571761652,0.951033055121748,0.344079410153657,95,0.97087654304306,0.970243424413562,0.171740242871245,"preliminary_not_promoted",""
"S32C_CORP_boundary_baseline","IM_OLS","q_omegaCORP_h1_Kcap",-3.65159130149139,4.71359141346355,-0.774694066834317,0.44050696009648,95,0.97087654304306,0.970243424413562,0.171740242871245,"preliminary_not_promoted",""
"S32C_CORP_boundary_baseline","DOLS","(Intercept)",-7.95266682299275,36.0289245406713,-0.220730064091016,0.825791740181505,95,0.980418488195951,0.979992803156733,0.142396532102468,"preliminary_not_promoted",""
"S32C_CORP_boundary_baseline","DOLS","k_Kcap",1.88369304846579,3.13046173388782,0.601730098814008,0.548833800975262,95,0.980418488195951,0.979992803156733,0.142396532102468,"preliminary_not_promoted",""
"S32C_CORP_boundary_baseline","DOLS","q_omegaCORP_h1_Kcap",-2.1475520112252,4.96156408947389,-0.43283770450155,0.666145695469591,95,0.980418488195951,0.979992803156733,0.142396532102468,"preliminary_not_promoted",""
"S32C_periodized__full_long_sample","OLS_diagnostic","(Intercept)",-0.162706793886802,14.0780758161518,-0.0115574596991535,0.990803712268396,95,0.971105461415114,0.970477319271964,0.170131712998386,"preliminary_not_promoted",""
"S32C_periodized__full_long_sample","OLS_diagnostic","k_Kcap",1.21634984119054,1.22303897803983,0.994530724719822,0.322573152727995,95,0.971105461415114,0.970477319271964,0.170131712998386,"preliminary_not_promoted",""
"S32C_periodized__full_long_sample","OLS_diagnostic","q_omegaCORP_h1_Kcap__full_long_sample",-1.08195325703324,1.94413438818179,-0.55652184520285,0.579205367081028,95,0.971105461415114,0.970477319271964,0.170131712998386,"preliminary_not_promoted",""
"S32C_periodized__full_long_sample","FM_OLS_Newey_West","(Intercept)",-20.0537882521749,26.8873109240126,-0.745845812132337,0.457662034143588,95,0.970335654008015,0.969690776921233,0.173327710108452,"preliminary_not_promoted",""
"S32C_periodized__full_long_sample","FM_OLS_Newey_West","k_Kcap",2.94012205238687,2.33582136211408,1.25871014799088,0.21131974044855,95,0.970335654008015,0.969690776921233,0.173327710108452,"preliminary_not_promoted",""
"S32C_periodized__full_long_sample","FM_OLS_Newey_West","q_omegaCORP_h1_Kcap__full_long_sample",-3.80743454390904,3.71288790865408,-1.0254644464312,0.3078328443685,95,0.970335654008015,0.969690776921233,0.173327710108452,"preliminary_not_promoted",""
"S32C_periodized__full_long_sample","IM_OLS","(Intercept)",-18.7680983518422,34.1688663793497,-0.549274832342253,0.584147641414054,95,0.97087654304306,0.970243424413562,0.171740242871245,"preliminary_not_promoted",""
"S32C_periodized__full_long_sample","IM_OLS","k_Kcap",2.82247182830208,2.96779571761652,0.951033055121748,0.344079410153657,95,0.97087654304306,0.970243424413562,0.171740242871245,"preliminary_not_promoted",""
