"model_id","model_family","model_role","n_obs","best_available_estimator","po_gate","cointegration_screen","advisor_show_flag","advisor_priority","main_coefficient_summary","warning_flags","notes"
"S32C_CORP_boundary_baseline","S32C_baseline","preferred_baseline",95,"FM_OLS_Newey_West","fail","PO_fail",TRUE,"1_baseline_show","k_Kcap=2.9401; q_omegaCORP_h1_Kcap=-3.8074","","Baseline corporate-boundary model; coefficients remain preliminary."
"S32C_periodized__full_long_sample","S32C_periodized","periodized_baseline_candidate",95,"FM_OLS_Newey_West","fail","PO_fail",FALSE,"none","k_Kcap=2.9401; q_omegaCORP_h1_Kcap__full_long_sample=-3.8074","","Period-reset baseline for window full_long_sample"
"S32C_periodized__pre_1974_full","S32C_periodized","periodized_baseline_candidate",44,"FM_OLS_Newey_West","fail","PO_fail",FALSE,"none","k_Kcap=45.1418; q_omegaCORP_h1_Kcap__pre_1974_full=-70.5404","","Period-reset baseline for window pre_1974_full"
"S32C_periodized__post_1973_full","S32C_periodized","periodized_baseline_candidate",51,"FM_OLS_Newey_West","fail","PO_fail",TRUE,"2_periodized_show","k_Kcap=0.2795; q_omegaCORP_h1_Kcap__post_1973_full=0.3876","","Period-reset baseline for window post_1973_full"
"S32C_periodized__fordist_core","S32C_periodized","periodized_baseline_candidate",29,"FM_OLS_Newey_West","fail","PO_fail",FALSE,"none","k_Kcap=18.6964; q_omegaCORP_h1_Kcap__fordist_core=-28.6231","short_sample_under_30","Period-reset baseline for window fordist_core"
"S32C_periodized__bridge_1940_1978","S32C_periodized","periodized_baseline_candidate",39,"FM_OLS_Newey_West","fail","PO_fail",FALSE,"none","k_Kcap=27.1965; q_omegaCORP_h1_Kcap__bridge_1940_1978=-42.1628","","Period-reset baseline for window bridge_1940_1978"
"S32C_periodized__pre_1974_alt_1940_1973","S32C_periodized","periodized_baseline_candidate",34,"FM_OLS_Newey_West","fail","PO_fail",FALSE,"none","k_Kcap=26.3899; q_omegaCORP_h1_Kcap__pre_1974_alt_1940_1973=-40.8807","","Period-reset baseline for window pre_1974_alt_1940_1973"
"S32C_periodized__pre_1974_alt_1947_1973","S32C_periodized","periodized_baseline_candidate",27,"FM_OLS_Newey_West","fail","PO_fail",FALSE,"none","k_Kcap=15.2119; q_omegaCORP_h1_Kcap__pre_1974_alt_1947_1973=-23.0552","short_sample_under_30","Period-reset baseline for window pre_1974_alt_1947_1973"
"S32C_ME_growth_extension","S32C_mechanization_extension","mechanization_candidate_extension",95,"FM_OLS_Newey_West","fail","PO_fail",TRUE,"3_mechanization_extension_show","k_Kcap=5.7742; q_omegaCORP_h1_Kcap=-9.8457","","Tests whether ME growth has an additional distribution-conditioned effect."
"S32C_NRC_growth_extension","S32C_mechanization_extension","mechanization_candidate_extension",95,"FM_OLS_Newey_West","fail","PO_fail",FALSE,"none","k_Kcap=6.4396; q_omegaCORP_h1_Kcap=-6.765","","Tests whether NRC growth has an additional distribution-conditioned effect."
"S32C_ME_minus_NRC_growth_extension","S32C_mechanization_extension","mechanization_candidate_extension",95,"FM_OLS_Newey_West","fail","PO_fail",FALSE,"none","k_Kcap=6.0339; q_omegaCORP_h1_Kcap=-8.8386","","Tests whether ME-vs-NRC growth bias has an additional distribution-conditioned effect."
"S32C_ME_share_extension","S32C_mechanization_extension","mechanization_candidate_extension",95,"FM_OLS_Newey_West","fail","PO_fail",FALSE,"none","k_Kcap=6.2559; q_omegaCORP_h1_Kcap=-9.1878","","Tests whether ME share shift has an additional distribution-conditioned effect."
"S32C_NRC_share_extension","S32C_mechanization_extension","mechanization_candidate_extension",95,"FM_OLS_Newey_West","fail","PO_fail",FALSE,"none","k_Kcap=6.2564; q_omegaCORP_h1_Kcap=-9.1886","","Tests whether NRC share shift has an additional distribution-conditioned effect."
"S32C_ME_NRC_gap_extension","S32C_mechanization_extension","mechanization_candidate_extension",95,"FM_OLS_Newey_West","fail","PO_fail",FALSE,"none","k_Kcap=6.0339; q_omegaCORP_h1_Kcap=-8.8386","","Tests whether ME/NRC composition gap shift has an additional distribution-conditioned effect."
"S32C_modified_ME_NRC_split","S32C_mechanization_extension","mechanization_candidate_extension",95,"FM_OLS_Newey_West","fail","PO_fail",FALSE,"none","k_Kcap=2.6252; q_omegaCORP_h1_ME=-0.4708","","Replaces the aggregate q-index with separate ME and NRC q-index components."
"S32C_modified_relative_mechanization","S32C_mechanization_extension","mechanization_candidate_extension",95,"FM_OLS_Newey_West","fail","PO_fail",FALSE,"none","k_Kcap=6.0339; q_omegaCORP_h1_Kcap=-8.8386","","Tests distribution-conditioned ME-vs-NRC growth bias alongside baseline."
