year,swing_id_major,swing_id_plot,d_pi,d_mu,d_p,d_B,d_nu,G_t,N_t,D_t,S_off_t,F_rev_t,mu_t,theta_t,nu_level,chi_t,g_K_t
1940,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.328707823493963,1.7125243456137995,-0.999999254630117,0.36118779419408087,NA
1941,NA,1,-0.022645994048883678,-0.016496150744345184,0.06665513254956547,0.017497540554737512,-0.010406775845911653,0.13370159374344348,0.034603752465162466,0.7411866867379104,0.3705933433689553,0.588797940829843,1.3069690549101818,1.7142790160257644,-0.9999992623467918,0.34021429439705514,0.0110108679531713
1942,1,2,0.11946740149412038,0.033597668758865495,-0.02610806987610425,-0.0011592760700871452,2.3060001751673553e-4,0.18056301621669402,0.12602832432431121,0.3020258136745767,0.15101290683728832,0.1778742080456412,1.3516261548428183,1.715087191061083,-0.9999992621766693,0.2386321717704044,-2.7059214904667783e-4
1943,1,2,-0.08574600622336936,0.032207848331040734,-0.009788934397517754,-0.0038563080839342234,0.0018418289003037103,0.1334409259361658,-0.0653415714734769,0.5103333477711749,0.25516667388558745,0.3425822461740813,1.3958677641392834,1.7168715191470698,-0.9999992608164727,0.27403692388559775,-0.0019747307659194746
1944,2,3,-0.05792562349125907,0.01829910791474798,-0.14946715386159026,4.3023117556018065e-4,-8.169542945157815e-4,0.22693907073767328,-0.18948039255705695,0.16506050746949652,0.08253025373474827,0.0899541963870793,1.4216460393771386,1.245539995915857,-0.9999992614201053,0.372158200705705,8.376637176645829e-4
1945,2,3,0.05450237872935948,0.0622870472244621,0.1294211359320265,0.01979871446804715,-0.011699971069656812,0.2777092474235521,0.25430930528423845,0.08426057956804323,0.042130289784021634,0.04398331979254484,1.5130120970248604,1.7203139443508937,-0.9999992700111134,0.3010555254287982,0.012380684198095793
1946,2,3,0.07899194243322005,0.05222956376774235,0.013460434657478766,0.028972196219603674,-0.016519934144575643,0.19017407122262048,0.1571342029334692,0.1737348739328105,0.08686743696640523,0.09513124433742193,1.5941361550354158,1.7202097483482064,-0.9999992819714181,0.3501413237304739,0.017515246279792507
1947,2,3,-0.29684544711963945,-0.17730656518993548,0.11181500757677254,0.06140415676230049,-0.03458848716994822,0.6819596638185962,-0.33552133514045013,0.5080041343475996,0.25400206717379986,0.34048628822806176,1.3351256786631711,1.7209716319112858,-0.9999993063823384,0.5188889156906584,0.036693623967416045
1948,2,3,0.24214639014871997,0.10708747784932104,-0.09904384765226235,0.044924155097765706,-0.02527582387914684,0.5184776946272159,0.2698383515643975,0.47955648939071416,0.23977824469535705,0.3154056602856241,1.4860370914622822,1.718991899255348,-0.9999993236943865,0.3424999513981584,0.026814903434150494
1949,2,3,0.01052352033782622,-0.08995168784906765,0.08764228781831829,0.06586685835602957,-0.03709363491856443,0.29107798927980616,0.03698734374454199,0.8729297813412235,0.4364648906706117,0.7745123301900546,1.358201256396189,1.717820715633967,-0.9999993483214428,0.3629064534332977,0.039347367490876195
1950,2,3,0.062421643814658756,-1.8464570152332271e-4,-0.00678507832614858,0.04669029297938465,-0.026225978937260308,0.14230763975897562,0.0759162338291112,0.46653437610454773,0.23326718805227387,0.30423530129055887,1.3579504935242475,1.7163103453570812,-0.9999993651901844,0.30203365528570847,0.02782183105537328
