regime,variable,alpha,LR_stat,p_value,decision
pre_1973,m,-0.1779370833786298,6.493084748398927,0.0108294900535377,NOT weakly exogenous
pre_1973,k_ME,-0.0062206527434596,1.6814106107569666,0.1947371209401499,weakly exogenous
pre_1973,nrs,0.2131418382016812,2.591008556414044,0.1074718819676077,weakly exogenous
pre_1973,omega,-0.0655798880505069,5.597793960972256,0.0179831076545398,NOT weakly exogenous
post_1973,m,-0.1796474962881983,8.969031899372096,0.0027459405594955,NOT weakly exogenous
post_1973,k_ME,-0.0162270800792416,2.8474028107878406,0.0915216782704297,weakly exogenous
post_1973,nrs,-0.0186389950755315,0.1566926883249585,0.6922199138513523,weakly exogenous
post_1973,omega,-0.0193406932851325,1.8142778893725275,0.1779959077175029,weakly exogenous
