period,theta_mean,mu_mean
Pre-ISI,0.6985394368649522,0.6276039144428538
ISI,0.875603027053403,0.8662534369540901
Crisis,0.8272500533661594,0.8939112112934857
Neoliberal,0.5094910686649533,1.1285399367102538
