"year","asset","K_real_refrozen","K_current_refrozen","pKN_guardian","I_real_guardian","I_current","survival_L","survival_alpha","survival_lambda","construction_start_year","warmup_status","status"
1925,"ME",2.45009950816448,226,9224.11515315598,2.45009950816448,226,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1926,"ME",4.03118001116659,336.831385612711,8355.65230725667,1.60370483443434,134,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1927,"ME",5.74090709050409,430.246698705872,7494.40274721628,1.77465776107911,133,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1928,"ME",7.6933386498079,512.474032511511,6661.26964948186,2.07167713156206,138,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1929,"ME",10.2079909251014,574.310377123084,5626.08628217782,2.70170047838587,152,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1930,"ME",12.8742896445005,600.20400715931,4662.03591602195,2.93863029946153,137,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1931,"ME",15.40538214889,598.901602187521,3887.61276026296,2.90666810118085,113,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1932,"ME",17.827921412213,562.624963491055,3155.86405437949,2.91520795619598,92,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1933,"ME",20.3854719997967,603.100130735467,2958.4800918099,3.17730716729258,94,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1934,"ME",23.3843313809032,641.410383448494,2742.90666258819,3.75514053776842,103,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1935,"ME",27.2489183307013,656.940918885182,2410.88806136208,4.7700265243766,115,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1936,"ME",32.1645930081474,708.769305392811,2203.56994790289,5.99027955185279,132,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1937,"ME",38.5634855982832,769.091050670536,1994.3504554598,7.67167072272289,153,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1938,"ME",44.2363726303617,775.80256998376,1753.76624224222,7.18453787996893,126,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1939,"ME",51.3096743735124,788.0205316581,1535.81277074894,8.85524606841754,136,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1940,"ME",60.688337892049,836.285953535867,1378.00108321212,11.4658835849172,158,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1941,"ME",70.395986360145,1082.88844459691,1538.28151374549,12.1564224967303,187,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1942,"ME",74.4882937974273,1102.3759334593,1479.9317815726,6.95978026031379,103,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1943,"ME",77.7312618111732,1167.66060180009,1502.1763118121,6.52386801931266,98,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1944,"ME",80.4073418592451,1129.1698398296,1404.31186222552,6.33762360014213,89,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1945,"ME",84.1568751894496,1073.37262372953,1275.44258423713,7.76201149495209,99,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1946,"ME",98.1300746469518,1215.84223412468,1239.01081141432,18.321066927647,227,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1947,"ME",115.768902979168,1472.45705761851,1271.8934184627,22.4075379165395,285,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1948,"ME",135.530662312505,1728.4699796307,1275.33500548032,25.0914464532776,320,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1949,"ME",160.673380093393,1850.44187131721,1151.67918309904,31.1718754031805,359,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1950,"ME",191.075648248835,2105.47867182175,1101.90842795405,37.2989251714062,411,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1951,"ME",223.385955819529,2379.11174970743,1065.02297379406,40.2808212175669,429,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1952,"ME",256.192001218301,2540.30465777573,991.56283010223,42.0548236925145,417,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1953,"ME",304.949333183403,2764.23971614589,906.458685214904,59.4621695165526,539,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1954,"ME",356.913269698581,2842.15604525664,796.315600049526,64.4216941082273,513,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1955,"ME",426.252028320819,3145.36180647511,737.911281939462,83.8854229702349,619,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1956,"ME",493.895186465906,3562.11676179703,721.229293058301,84.716470320987,611,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1957,"ME",573.023439240968,3872.66437972327,675.83001226844,99.1373552280001,670,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1958,"ME",654.769049903866,4023.94285474408,614.559111389715,105.11600723634,646,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1959,"ME",763.655209530614,4226.90102545113,553.50909320048,136.04112547565,753,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1960,"ME",885.900392347203,4406.7724752065,497.434306754364,153.789151574896,765,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1961,"ME",1006.73173475824,4532.22330331149,450.191758820423,157.488444892394,709,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1962,"ME",1177.97682950164,4791.77876344669,406.780391892253,213.628782832329,869,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1963,"ME",1348.8447582032,4979.89897064857,369.197340195198,219.936579058421,812,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1964,"ME",1651.37963359648,5460.63432863333,330.671047258879,359.269434033614,1188,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1965,"ME",2108.22574391432,6055.94811037757,287.253304246895,523.231579159893,1503,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1966,"ME",2656.04928858402,6900.31534231458,259.79620829978,627.414853614467,1630,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1967,"ME",3325.59961016234,8108.1345247503,243.809702766789,766.581468575823,1869,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1968,"ME",4222.45407557716,9715.18026180087,230.083740116769,1016.15177100887,2338,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1969,"ME",5230.64995915863,11694.1456175171,223.569646388614,1156.23924882302,2585,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1970,"ME",6217.04736451688,13540.6907375471,217.799381983626,1170.34308214503,2549,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1971,"ME",7486.01536947539,15384.8194089484,205.514130677327,1494.78772572737,3072,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1972,"ME",8839.47912381149,17965.6728208712,203.243568645079,1628.58781808747,3310,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
1973,"ME",10780.0928121155,21729.8805554423,201.574150929579,2273.10891742302,4582,14,1.7,15.6907663323043,1925,"ASSET_SPECIFIC_WARMUP_USED","CONSTRUCTED"
