"year","K_real_ME_refrozen","K_real_NRC_refrozen","K_real_capacity_refrozen","K_current_ME_refrozen","K_current_NRC_refrozen","K_current_capacity_refrozen","pKN_ME","pKN_NRC","pKN_capacity","status"
1931,15.40538214889,78075.2476109589,78090.6529931078,598.901602187521,92,690.901602187521,3887.61276026296,0.117835040957445,0.884743020715296,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1932,17.827921412213,116633.491116931,116651.319038343,562.624963491055,129.120035422372,691.744998913426,3155.86405437949,0.11070579658198,0.59300229488708,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1933,20.3854719997967,126177.140667191,126197.526139191,603.100130735467,159.915742002884,763.015872738351,2958.4800918099,0.12673907583996,0.604620309194315,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1934,23.3843313809032,144140.820530433,144164.204861813,641.410383448494,189.068754952475,830.479138400969,2742.90666258819,0.131169473197606,0.576064730629224,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1935,27.2489183307013,164451.479820732,164478.728739063,656.940918885182,226.55196472255,883.492883607732,2410.88806136208,0.137762192817914,0.537147198534923,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1936,32.1645930081474,190875.631437173,190907.796030181,708.769305392811,290.168783434092,998.938088826904,2203.56994790289,0.152019815860885,0.523256833717245,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1937,38.5634855982832,226871.067160055,226909.630645653,769.091050670536,385.037821713986,1154.12887238452,1994.3504554598,0.169716582433293,0.508629302820043,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1938,44.2363726303617,245889.131872974,245933.368245604,775.80256998376,427.774096739301,1203.57666672306,1753.76624224222,0.173970314784099,0.489391364542731,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1939,51.3096743735124,266013.433314059,266064.742988433,788.0205316581,453.176656013822,1241.19718767192,1535.81277074894,0.170358560606522,0.466501939990555,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1940,60.688337892049,295300.266520473,295360.954858365,836.285953535867,605.36262134852,1441.64857488439,1378.00108321212,0.204999009476529,0.488097208236513,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1941,70.395986360145,337681.083922172,337751.479908532,1082.88844459691,843.558929760319,1926.44737435723,1538.28151374549,0.249809352647879,0.570374221566382,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1942,74.4882937974273,352064.125909297,352138.614203094,1102.3759334593,884.644398166665,1987.02033162596,1479.9317815726,0.251273655298404,0.564272207443845,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1943,77.7312618111732,349583.290621392,349661.021883204,1167.66060180009,958.966183986563,2126.62678578665,1502.1763118121,0.274316939543071,0.608196696999016,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1944,80.4073418592451,346320.399251678,346400.806593537,1129.1698398296,1024.69445526315,2153.86429509275,1404.31186222552,0.295880478735092,0.621783856762225,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1945,84.1568751894496,348720.378718208,348804.535593398,1073.37262372953,1103.54089361526,2176.91351734479,1275.44258423713,0.316454374611414,0.624106998391336,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1946,98.1300746469518,383743.749378331,383841.879452978,1215.84223412468,1600.11617266354,2815.95840678821,1239.01081141432,0.416975175558102,0.733624588020803,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1947,115.768902979168,413306.628612868,413422.397515847,1472.45705761851,2107.46523780517,3579.92229542368,1271.8934184627,0.509903565998494,0.865923645388964,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1948,135.530662312505,444500.973896121,444636.504558433,1728.4699796307,2465.50136968695,4193.97134931765,1275.33500548032,0.554667259348487,0.943235948088128,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1949,160.673380093393,474206.67241494,474367.345795034,1850.44187131721,2405.8985946715,4256.3404659887,1151.67918309904,0.507352328557344,0.897266749855037,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1950,191.075648248835,499390.023001601,499581.09864985,2105.47867182175,2900.18211989285,5005.66079171459,1101.90842795405,0.580744906047822,1.0019716128658,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1951,223.385955819529,537159.144672408,537382.530628227,2379.11174970743,3789.38313632714,6168.49488603457,1065.02297379406,0.705448873748233,1.14787782156284,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1952,256.192001218301,568759.0512566,569015.243257818,2540.30465777573,4336.46456251128,6876.76922028701,991.56283010223,0.762443173946933,1.20853866425705,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1953,304.949333183403,612588.054654126,612893.00398731,2764.23971614589,4778.95596354652,7543.19567969241,906.458685214904,0.780125555377467,1.23075245281289,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1954,356.913269698581,661175.204736257,661532.118005955,2842.15604525664,5204.50638843718,8046.66243369382,796.315600049526,0.787159946585303,1.21636761310225,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1955,426.252028320819,722052.935677697,722479.187706018,3145.36180647511,6342.77510329792,9488.13690977303,737.911281939462,0.878436301535812,1.31327477264768,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
1956,493.895186465906,785782.233501748,786276.128688214,3562.11676179703,7973.80653813348,11535.9232999305,721.229293058301,1.01476034939084,1.46715929417525,"CONSTRUCTED_BOTTOM_UP_ME_PLUS_NRC"
