"term","orthogonalized_coefficient","orthogonalization_delta","primitive_back_transformed","separately_estimated_raw","primitive_minus_raw"
"intercept",14.86173,-0.0390432653200057,14.8215400339775,14.82153,1.00339775457314e-05
"theta",0.23784,0.100633812932253,0.341429428018073,0.34142,9.42801807291005e-06
"psi",0.31207,-0.0341071208777529,0.276961152982067,0.27696,1.15298206748715e-06
"phi",-5.16053,0.669461658438693,-4.47140625265296,-4.47061,-0.000796252652962792
"lambda",-1.02937,0,-1.02937,-1.02913,-0.000239999999999796
