"year","g_p","g_cap","vartheta_path","constant_denominator_ratio","abs_g_cap_ge_0_01"
1945,0.0128593675111463,0.0069151901828679,1.85958262478519,0.25785186641385,FALSE
1946,0.0469126988355463,0.0957190001566612,0.490108533924982,0.940678220975599,TRUE
1947,0.0495079369515667,0.0742391290514917,0.666871198303369,0.992717093915825,TRUE
1948,0.0490923835167702,0.0727872800988614,0.674463772380171,0.984384551225519,TRUE
1949,0.0524149716533981,0.0647249079945471,0.809811450914907,1.0510080108639,TRUE
1950,0.054299430924976,0.0517879318957828,1.04849583555967,1.08879457695559,TRUE
1951,0.0492613584323681,0.0729402438793176,0.67536596825578,0.987772781426287,TRUE
1952,0.0416048948631185,0.0571970348759141,0.727396008436069,0.834247857300009,TRUE
1953,0.051917769460217,0.0742831524951466,0.698917153032904,1.04103827375314,TRUE
1954,0.0477617286608423,0.0763681598538799,0.625414161506941,0.95770269165068,TRUE
1955,0.0558009213983581,0.0881300779551388,0.633165460567987,1.11890197692131,TRUE
1956,0.0460957808994143,0.0846194258699011,0.544742302675093,0.924297647486583,TRUE
1957,0.0447951914434716,0.0642551063143983,0.69714601706968,0.898218649560572,TRUE
1958,0.0396746895357156,0.052293128607948,0.758697951181401,0.795544006134593,TRUE
1959,0.0460277005671624,0.0454081551375296,1.0136439242633,0.922932522746038,TRUE
1960,0.0436989047825594,0.0487125207762276,0.897077467686401,0.876236265015158,TRUE
1961,0.0380977501553626,0.0445893149666876,0.854414340830874,0.763923729158057,TRUE
1962,0.04669948971823,0.0418153592001964,1.11680230928186,0.93640302090928,TRUE
1963,0.0410640640339276,0.0375516381912337,1.09353588849591,0.823403292930871,TRUE
1964,0.0610165435236455,0.0407639102517816,1.49682754050757,1.2234839400971,TRUE
1965,0.0744253195354768,0.0362571152413675,2.05270935208219,1.49235236756674,TRUE
1966,0.0685843952658925,0.0293306718358401,2.33831654623359,1.37523204860946,TRUE
1967,0.0649118622874298,0.0262966083376845,2.46844997856272,1.30159160850677,TRUE
1968,0.0696467701037274,0.0384805752764681,1.80992018968901,1.39653444427778,TRUE
1969,0.059524697052637,0.0300543746306072,1.98056681545512,1.19356991853897,TRUE
1970,0.0461535226291823,0.0234090492822769,1.97161029790839,0.925455465923433,TRUE
1971,0.051611308986868,0.0236712914629997,2.18033346712582,1.03489322774162,TRUE
1972,0.0459753610852022,0.0192428137004175,2.38922237677771,0.921883028430017,TRUE
1973,0.0545254669968804,0.0244200029155657,2.23281983976034,1.09332697895491,TRUE
