"criterion","passed","status"
"M2_H3_AND_M3_PASS_GATES_BOTH_NFC_BOUNDARIES",TRUE,"PASS"
"LAMBDA_RETAINS_FORDIST_SIGN_UNDER_H5_BOTH_NFC_BOUNDARIES",TRUE,"PASS"
"RHO_POSITIVE_CI_EXCLUDES_ZERO_BOTH_NFC_BOUNDARIES",FALSE,"FAIL"
"STRUCTURAL_PATHS_SMOOTHER_THAN_VARTTHETA_BOTH_NFC_BOUNDARIES",TRUE,"PASS"
"NOT_CREATED_BY_DROPPING_INFLUENTIAL_YEARS",FALSE,"FAIL"
"SURVIVES_NFC_GVA_AND_NFC_NVA",TRUE,"PASS"
