"run_id","state_id","window_id","model_id","ll_id","rho","n","rank","columns","condition_number","bic","r_squared","adf_p","kpss_p","sample_gate","rank_gate","residual_gate","generated_path_gate","overall_gate"
"S90_RUN_0001","NFC_GVA","full_long_sample","M0","LL11",,91,14,14,13.2854643830535,-448.958913843528,0.996798977516849,0.277950953691771,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0002","NFC_GVA","full_long_sample","M1_H3","LL11",,90,14,14,12.5727445428265,-444.25569593828,0.996691254333953,0.363110633323127,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0003","NFC_GVA","full_long_sample","M1_H5","LL11",,88,14,14,14.9765447814257,-442.118711147045,0.996763262363857,0.20901563130815,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0004","NFC_GVA","full_long_sample","M2_H3","LL11",,90,14,14,12.9878282774384,-455.006005138419,0.997063785153398,0.192348258000792,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0005","NFC_GVA","full_long_sample","M2_H5","LL11",,88,14,14,13.215532341009,-444.158971182871,0.996837442148097,0.191689862155052,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0006","NFC_GVA","pre_1974_full","M0","LL11",,40,14,14,15.4051348650693,-189.432151495773,0.99337199084927,0.230281422668809,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0007","NFC_GVA","pre_1974_full","M1_H3","LL11",,39,14,14,14.6765731449355,-180.739390391993,0.992166664101062,0.414435373829829,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0008","NFC_GVA","pre_1974_full","M1_H5","LL11",,37,14,14,12.9774990917017,-178.548259548412,0.992737123339267,0.233953611532108,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0009","NFC_GVA","pre_1974_full","M2_H3","LL11",,39,14,14,15.4598076187653,-194.710662405817,0.994525227534305,0.0337651580148212,0.1,"PASS","PASS","PASS","PASS","PASS"
"S90_RUN_0010","NFC_GVA","pre_1974_full","M2_H5","LL11",,37,14,14,15.5718162138281,-180.781921467732,0.99316260546211,0.0167914804560437,0.1,"PASS","PASS","PASS","PASS","PASS"
"S90_RUN_0011","NFC_GVA","post_1973_full","M0","LL11",,48,14,14,29.5771116655734,-307.996998156812,0.997074699217319,0.126940864606857,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0012","NFC_GVA","post_1973_full","M1_H3","LL11",,48,14,14,20.5572354611428,-303.615886739703,0.99679513341742,0.314986264073933,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0013","NFC_GVA","post_1973_full","M1_H5","LL11",,48,14,14,19.4956384632262,-305.923420645476,0.996945558262622,0.39225159392124,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0014","NFC_GVA","post_1973_full","M2_H3","LL11",,48,14,14,28.6578711212448,-315.086979175656,0.99747639264199,0.088330912113008,0.1,"PASS","PASS","PASS","PASS","PASS"
"S90_RUN_0015","NFC_GVA","post_1973_full","M2_H5","LL11",,48,14,14,28.5179008207272,-331.004551354544,0.998188648444935,0.138122206033215,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0016","NFC_GVA","fordist_core","M0","LL11",,26,14,14,23.9870186436919,-168.12954803296,0.997978613966306,0.40189321620364,0.1,"WARN_SMALL_SAMPLE","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0017","NFC_GVA","fordist_core","M1_H3","LL11",,26,14,14,30.9323498267316,-164.565987846614,0.997681678485801,0.0845060536959666,0.1,"WARN_SMALL_SAMPLE","PASS","PASS","PASS","WARN_OR_FAIL"
"S90_RUN_0018","NFC_GVA","fordist_core","M1_H5","LL11",,26,14,14,23.4510525116968,-159.893890641142,0.997225308735586,0.131884214982312,0.1,"WARN_SMALL_SAMPLE","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0019","NFC_GVA","fordist_core","M2_H3","LL11",,26,14,14,33.0443717480027,-169.935198279043,0.998114231660481,0.0210597059808402,0.1,"WARN_SMALL_SAMPLE","PASS","PASS","PASS","WARN_OR_FAIL"
"S90_RUN_0020","NFC_GVA","fordist_core","M2_H5","LL11",,26,14,14,26.7552059967615,-167.497700712412,0.997928888848481,0.01,0.1,"WARN_SMALL_SAMPLE","PASS","PASS","PASS","WARN_OR_FAIL"
"S90_RUN_0021","NFC_GVA","bridge_1940_1978","M0","LL11",,36,14,14,10.8581562220031,-210.32623836835,0.996719195065297,0.0659550941751763,0.1,"PASS","PASS","PASS","PASS","PASS"
"S90_RUN_0022","NFC_GVA","bridge_1940_1978","M1_H3","LL11",,36,14,14,14.7974932120894,-217.248484944389,0.997293099720075,0.118123456360508,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0023","NFC_GVA","bridge_1940_1978","M1_H5","LL11",,36,14,14,15.4657998379447,-211.993435867538,0.996867668054812,0.0765149209374939,0.1,"PASS","PASS","PASS","PASS","PASS"
"S90_RUN_0024","NFC_GVA","bridge_1940_1978","M2_H3","LL11",,36,14,14,11.8390718016813,-214.37605248236,0.997068266276001,0.170971896627474,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0025","NFC_GVA","bridge_1940_1978","M2_H5","LL11",,36,14,14,12.8972347475035,-211.83595017571,0.996853935331792,0.0812456501226163,0.1,"PASS","PASS","PASS","PASS","PASS"
"S90_RUN_0026","NFC_GVA","pre_1974_alt_1940_1973","M0","LL11",,31,14,14,24.8739790618602,-178.907937085887,0.996072797556041,0.203123997131721,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0027","NFC_GVA","pre_1974_alt_1940_1973","M1_H3","LL11",,31,14,14,33.2972413676747,-185.84330208078,0.996860053144964,0.103906715223652,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0028","NFC_GVA","pre_1974_alt_1940_1973","M1_H5","LL11",,31,14,14,18.2548693578344,-184.556096160429,0.996726929136379,0.223583316083877,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0029","NFC_GVA","pre_1974_alt_1940_1973","M2_H3","LL11",,31,14,14,21.4419123490719,-182.901262422107,0.996547459351937,0.300577098829953,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0030","NFC_GVA","pre_1974_alt_1940_1973","M2_H5","LL11",,31,14,14,19.0504259282111,-183.948945074903,0.996662192463859,0.340231318948927,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0031","NFC_GVA","pre_1974_alt_1947_1973","M0","LL11",,24,14,14,29.6821429617567,-169.080639963464,0.998795187818003,0.217615127778574,0.1,"WARN_SMALL_SAMPLE","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0032","NFC_GVA","pre_1974_alt_1947_1973","M1_H3","LL11",,24,14,14,29.1721352843901,-171.846394038549,0.998926328658125,0.029367256554649,0.1,"WARN_SMALL_SAMPLE","PASS","PASS","PASS","WARN_OR_FAIL"
"S90_RUN_0033","NFC_GVA","pre_1974_alt_1947_1973","M1_H5","LL11",,24,14,14,32.7849823191528,-156.884894881383,0.997997333115994,0.313610989537279,0.1,"WARN_SMALL_SAMPLE","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0034","NFC_GVA","pre_1974_alt_1947_1973","M2_H3","LL11",,24,14,14,35.8144205563291,-174.833865423166,0.999051993611907,0.01,0.1,"WARN_SMALL_SAMPLE","PASS","PASS","PASS","WARN_OR_FAIL"
"S90_RUN_0035","NFC_GVA","pre_1974_alt_1947_1973","M2_H5","LL11",,24,14,14,29.6802896373033,-161.096170519771,0.998319636874731,0.0403991648412388,0.1,"WARN_SMALL_SAMPLE","PASS","PASS","PASS","WARN_OR_FAIL"
"S90_RUN_0036","NFC_GVA","full_long_sample","M0","LL00",,93,8,8,8.0825289839423,-441.981584820604,0.995044124014375,0.282100359365099,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0037","NFC_GVA","full_long_sample","M0","LL22",,89,20,20,16.0996325561468,-429.351468745047,0.997250084481989,0.124206482683547,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0038","NFC_GVA","full_long_sample","M1_H3","LL00",,92,8,8,9.31483955509702,-444.510697144514,0.995265398260621,0.65988416296791,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0039","NFC_GVA","full_long_sample","M1_H3","LL22",,88,20,20,19.2790352693796,-425.499006814045,0.997195503193555,0.361531995765845,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0040","NFC_GVA","full_long_sample","M1_H5","LL00",,90,8,8,9.86002788257376,-445.971268811238,0.995496277796742,0.156122600821428,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0041","NFC_GVA","full_long_sample","M1_H5","LL22",,86,20,20,20.3538117326463,-421.946894180248,0.997234642756173,0.182335729320921,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0042","NFC_GVA","full_long_sample","M2_H3","LL00",,92,8,8,7.06705089466949,-466.72911101412,0.996281229456621,0.384563744687465,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0043","NFC_GVA","full_long_sample","M2_H3","LL22",,88,20,20,18.0735676859421,-431.377944601972,0.997376739472987,0.177754572798956,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0044","NFC_GVA","full_long_sample","M2_H5","LL00",,90,8,8,9.35183590967329,-454.503614145102,0.995903633447426,0.0999732825098604,0.1,"PASS","PASS","PASS","PASS","PASS"
"S90_RUN_0045","NFC_GVA","full_long_sample","M2_H5","LL22",,86,20,20,16.5760195054147,-418.911818225636,0.997135306368332,0.0841487580404693,0.1,"PASS","PASS","PASS","PASS","PASS"
"S90_RUN_0046","NFC_GVA","pre_1974_full","M0","LL00",,42,8,8,8.32334646780532,-198.938628670177,0.989416341099228,0.546270468619535,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0047","NFC_GVA","pre_1974_full","M0","LL22",,38,20,20,25.6006581653988,-177.946953002713,0.995716741848273,0.0290059434632687,0.1,"PASS","PASS","PASS","PASS","PASS"
"S90_RUN_0048","NFC_GVA","pre_1974_full","M1_H3","LL00",,41,8,8,7.1722022229149,-196.009372416609,0.989295937884215,0.452548469595481,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0049","NFC_GVA","pre_1974_full","M1_H3","LL22",,37,20,20,17.8987677138291,-173.407057143159,0.995522246327084,0.249640782484259,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0050","NFC_GVA","pre_1974_full","M1_H5","LL00",,39,8,8,6.926190008856,-187.084238232823,0.987880755126778,0.124140359481328,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0051","NFC_GVA","pre_1974_full","M1_H5","LL22",,35,20,20,28.6611559602526,-163.569521381334,0.995074150652156,0.208921450892422,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0052","NFC_GVA","pre_1974_full","M2_H3","LL00",,41,8,8,11.3952369127033,-206.409097135945,0.991694055327894,0.25443234723134,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0053","NFC_GVA","pre_1974_full","M2_H3","LL22",,37,20,20,39.1940080219005,-181.70790597546,0.996422106416876,0.0556555608461308,0.1,"PASS","PASS","PASS","PASS","PASS"
"S90_RUN_0054","NFC_GVA","pre_1974_full","M2_H5","LL00",,39,8,8,9.71828084068887,-188.189289324218,0.988219330253587,0.0474678027568234,0.1,"PASS","PASS","PASS","PASS","PASS"
"S90_RUN_0055","NFC_GVA","pre_1974_full","M2_H5","LL22",,35,20,20,33.4422382292531,-171.095881171225,0.996027252721651,0.0226089594075647,0.1,"PASS","PASS","PASS","PASS","PASS"
"S90_RUN_0056","NFC_GVA","post_1973_full","M0","LL00",,50,8,8,6.93821044007043,-317.490598536573,0.995301015882727,0.473888508878897,0.1,"PASS","PASS","WARN","PASS","WARN_OR_FAIL"
"S90_RUN_0057","NFC_GVA","post_1973_full","M0","LL22",,46,20,20,51.7587097886454,-288.842496437282,0.997843361454572,0.0366737750272179,0.1,"PASS","PASS","PASS","PASS","PASS"
