"model_id","comparison_state","correlation_theta_tau","correlation_vartheta_path","correlation_mu","interpretation"
"M0","NFC_NVA",-0.904818429909966,0.999076794497549,0.351130891067182,"AUTHORIZED_NFC_ROBUSTNESS"
"M0","CORP_GVA",0.996340130236479,0.999902285101055,0.99974513225547,"INSTITUTIONAL_COMPARISON_ONLY"
"M0","CORP_NVA",-0.899543492821018,0.997915849838338,0.246342750667314,"INSTITUTIONAL_COMPARISON_ONLY"
"M1_H3","NFC_NVA",0.83969474637736,0.998109484643311,0.118333609839245,"AUTHORIZED_NFC_ROBUSTNESS"
"M1_H3","CORP_GVA",0.995500444462934,0.999994007408707,0.992397366322452,"INSTITUTIONAL_COMPARISON_ONLY"
"M1_H3","CORP_NVA",0.826237178843431,0.997308023899544,0.0592393526844228,"INSTITUTIONAL_COMPARISON_ONLY"
"M1_H5","NFC_NVA",0.822480993335467,0.992780448414281,0.669712292181423,"AUTHORIZED_NFC_ROBUSTNESS"
"M1_H5","CORP_GVA",0.994882788269435,0.997894325227945,0.979363094814065,"INSTITUTIONAL_COMPARISON_ONLY"
"M1_H5","CORP_NVA",0.806032685401242,0.991386628836191,0.65555382760728,"INSTITUTIONAL_COMPARISON_ONLY"
"M2_H3","NFC_NVA",0.83969474637736,0.925041497746904,0.725834536520487,"AUTHORIZED_NFC_ROBUSTNESS"
"M2_H3","CORP_GVA",0.995500444462934,0.998085914379826,0.993330376339738,"INSTITUTIONAL_COMPARISON_ONLY"
"M2_H3","CORP_NVA",0.826237178843431,0.9070999285744,0.72010223252593,"INSTITUTIONAL_COMPARISON_ONLY"
"M2_H5","NFC_NVA",0.822480993335468,0.660074352768969,0.452745335715685,"AUTHORIZED_NFC_ROBUSTNESS"
"M2_H5","CORP_GVA",0.994882788269435,0.993581943652451,0.989423600904382,"INSTITUTIONAL_COMPARISON_ONLY"
"M2_H5","CORP_NVA",0.806032685401242,0.597274876357465,0.431903915323992,"INSTITUTIONAL_COMPARISON_ONLY"
"M3","NFC_NVA",-0.688344322950285,0.967985957047951,0.792623173928642,"AUTHORIZED_NFC_ROBUSTNESS"
"M3","CORP_GVA",-0.731008543139034,0.946870769300494,0.793719414673951,"INSTITUTIONAL_COMPARISON_ONLY"
"M3","CORP_NVA",-0.654593238181093,0.966965579209391,0.70433014984775,"INSTITUTIONAL_COMPARISON_ONLY"
