"state_id","model_id","standardized_lambda_effect_on_y","lambda","generated_path_sd","y_sd","institutional_status"
"NFC_GVA","M0",0.00318296720314321,0.118066642550012,0.0164734236797415,0.611053052400373,"MAIN_STATE"
"NFC_GVA","M1_H3",-0.00135040034987199,-0.0515243439655659,0.01531816107505,0.584462378305543,"MAIN_STATE"
"NFC_GVA","M1_H5",-0.0525150611132563,-2.89852024171819,0.00974864055905628,0.538067201877954,"MAIN_STATE"
"NFC_GVA","M2_H3",-0.15489811992219,-27.9962980485614,0.00323371766537656,0.584462378305543,"MAIN_STATE"
"NFC_GVA","M2_H5",-0.108698718269281,-27.3121756269031,0.00214143376880093,0.538067201877954,"MAIN_STATE"
"NFC_GVA","M3",0.0540344770384856,60.5382487799988,0.000545406132397627,0.611053052400373,"MAIN_STATE"
"NFC_NVA","M0",-0.00869647673800714,-0.189859110538169,0.0279892212747925,0.611053052400373,"AUTHORIZED_ROBUSTNESS"
"NFC_NVA","M1_H3",-0.0295184658268323,-0.588522615492802,0.0293148169448593,0.584462378305543,"AUTHORIZED_ROBUSTNESS"
"NFC_NVA","M1_H5",-0.0548068849226,-1.51337767792794,0.0194860725409448,0.538067201877954,"AUTHORIZED_ROBUSTNESS"
"NFC_NVA","M2_H3",-0.197432462978026,-12.7551403073094,0.00904669365343887,0.584462378305543,"AUTHORIZED_ROBUSTNESS"
"NFC_NVA","M2_H5",-0.0512161369509656,-3.84858629321152,0.00716047956331728,0.538067201877954,"AUTHORIZED_ROBUSTNESS"
"NFC_NVA","M3",-0.0711623160326365,-12.4252090606873,0.00349965543559371,0.611053052400373,"AUTHORIZED_ROBUSTNESS"
"CORP_GVA","M0",0.00582207657212939,0.225559781521343,0.0157723049593029,0.611053052400373,"COMPARISON_ONLY"
"CORP_GVA","M1_H3",-0.00278982131596476,-0.104848029004937,0.0155515140995115,0.584462378305543,"COMPARISON_ONLY"
"CORP_GVA","M1_H5",-0.0489775724038956,-2.65459057702473,0.00992741613950717,0.538067201877954,"COMPARISON_ONLY"
"CORP_GVA","M2_H3",-0.190595920260517,-30.0722303554599,0.00370428609830632,0.584462378305543,"COMPARISON_ONLY"
"CORP_GVA","M2_H5",-0.115023313924161,-24.8598806932638,0.00248956434817779,0.538067201877954,"COMPARISON_ONLY"
"CORP_GVA","M3",-0.0130878838816887,-22.0598868292154,0.000362530934872071,0.611053052400373,"COMPARISON_ONLY"
"CORP_NVA","M0",-0.0178049808001115,-0.395383008097803,0.027517085061852,0.611053052400373,"COMPARISON_ONLY"
"CORP_NVA","M1_H3",-0.0403805033583602,-0.796071964297304,0.0296466727739053,0.584462378305543,"COMPARISON_ONLY"
"CORP_NVA","M1_H5",-0.0590513317543468,-1.58346000191704,0.0200659219719861,0.538067201877954,"COMPARISON_ONLY"
"CORP_NVA","M2_H3",-0.22443468829375,-13.5996855865176,0.00964534296472789,0.584462378305543,"COMPARISON_ONLY"
"CORP_NVA","M2_H5",-0.0477253674549058,-3.27863854593075,0.00783235314454841,0.538067201877954,"COMPARISON_ONLY"
"CORP_NVA","M3",-0.0590007950040926,-10.0272748494675,0.00359545503863535,0.611053052400373,"COMPARISON_ONLY"
