"object","L","C"
"capacity_growth_g_p",0.000100793371668822,0.000178752914178537
"vartheta_path_observed_denominator",0.123555890060923,0.195287193130735
"g_p_constant_window_denominator",0.0405259603483658,0.0718711299385475
"vartheta_path_abs_gcap_ge_0_01",0.0586705791173502,0.110842542741503
