"state_1","state_2","correlation_1945_1973","joint_model_status"
"omega_NFC_productive_origin_GVA","omega_NFC_productive_origin_GVA",1,"BLOCKED_HIGH_COLLINEARITY"
"omega_NFC_productive_origin_GVA","NFC_COMPENSATION_SHARE_NVA",0.904818429909966,"BLOCKED_HIGH_COLLINEARITY"
"omega_NFC_productive_origin_GVA","omega_CORP_raw_GVA",0.996340130236479,"BLOCKED_HIGH_COLLINEARITY"
"omega_NFC_productive_origin_GVA","omega_CORP_raw_NVA",0.899543492821017,"BLOCKED_HIGH_COLLINEARITY"
"NFC_COMPENSATION_SHARE_NVA","omega_NFC_productive_origin_GVA",0.904818429909966,"BLOCKED_HIGH_COLLINEARITY"
"NFC_COMPENSATION_SHARE_NVA","NFC_COMPENSATION_SHARE_NVA",1,"BLOCKED_HIGH_COLLINEARITY"
"NFC_COMPENSATION_SHARE_NVA","omega_CORP_raw_GVA",0.901408504647923,"BLOCKED_HIGH_COLLINEARITY"
"NFC_COMPENSATION_SHARE_NVA","omega_CORP_raw_NVA",0.997547123329546,"BLOCKED_HIGH_COLLINEARITY"
"omega_CORP_raw_GVA","omega_NFC_productive_origin_GVA",0.996340130236479,"BLOCKED_HIGH_COLLINEARITY"
"omega_CORP_raw_GVA","NFC_COMPENSATION_SHARE_NVA",0.901408504647923,"BLOCKED_HIGH_COLLINEARITY"
"omega_CORP_raw_GVA","omega_CORP_raw_GVA",1,"BLOCKED_HIGH_COLLINEARITY"
"omega_CORP_raw_GVA","omega_CORP_raw_NVA",0.902000381348526,"BLOCKED_HIGH_COLLINEARITY"
"omega_CORP_raw_NVA","omega_NFC_productive_origin_GVA",0.899543492821017,"BLOCKED_HIGH_COLLINEARITY"
"omega_CORP_raw_NVA","NFC_COMPENSATION_SHARE_NVA",0.997547123329546,"BLOCKED_HIGH_COLLINEARITY"
"omega_CORP_raw_NVA","omega_CORP_raw_GVA",0.902000381348526,"BLOCKED_HIGH_COLLINEARITY"
"omega_CORP_raw_NVA","omega_CORP_raw_NVA",1,"BLOCKED_HIGH_COLLINEARITY"
