"state_id","model_id","L_theta_scale","C_theta_scale","L_theta_tau","C_theta_tau","L_g_p","C_g_p","L_vartheta_path","C_vartheta_path"
"CORP_GVA","M0",0,0,5.72772350307015e-06,1.0932044986044e-05,0.000137093278027212,0.000228545654015203,0.0210024842891427,0.034176018416862
"CORP_NVA","M0",0,0,2.75141347074229e-05,5.66429097660337e-05,0.000132075821962481,0.000220272678275433,0.0697924365836862,0.110494314334646
"NFC_GVA","M0",0,0,1.77193293378202e-06,3.44267815233526e-06,0.000136407678911367,0.00022767688839777,0.022052156866942,0.0357092938366131
"NFC_NVA","M0",0,0,7.26711752420636e-06,1.51490411195786e-05,0.000135035593719482,0.000223915181459985,0.0611648251306485,0.0975206737880309
"CORP_GVA","M1_H3",0,0,4.34539426036632e-07,3.10548937580107e-07,0.000136208352908846,0.00022670588079404,0.0338698226211611,0.0542770674279408
"CORP_NVA","M1_H3",0,0,3.62022439961783e-05,2.68357188394408e-05,0.000130569266895591,0.000217343657699886,0.111680585301918,0.173748811817994
"NFC_GVA","M1_H3",0,0,1.17684249039493e-07,8.2742378545715e-08,0.000140463798138937,0.000234265302110211,0.0277681232349158,0.0445864152797243
"NFC_NVA","M1_H3",0,0,2.2541813144775e-05,1.6308517184074e-05,0.000134862836128476,0.000223849301585657,0.098302737403493,0.153807216828686
"CORP_GVA","M1_H5",0,0,0.000143016475232363,9.35183611753398e-05,0.000146111574063572,0.000243125399649689,0.0738369982148719,0.108881234173006
"CORP_NVA","M1_H5",0,0,6.91470594205545e-05,4.92865322027839e-05,0.000137020170523413,0.000223334350040088,0.131800413312157,0.202679649104871
"NFC_GVA","M1_H5",0,0,0.000197066913586434,0.000126110822697821,0.000156783628633564,0.000261750814653841,0.0641617792919566,0.0919821630515011
"NFC_NVA","M1_H5",0,0,7.43793184510191e-05,5.18451744204929e-05,0.000144170974711357,0.000233776232271581,0.123954097909747,0.190044039462553
"CORP_GVA","M2_H3",0,0,0.0357470266234985,0.0255470516008816,0.000588736581704371,0.000814875814655456,0.599904517536828,0.469684710672815
"CORP_NVA","M2_H3",0,0,0.0105654638454712,0.00783188515041429,0.000252200298439108,0.000291129338467597,0.590990930018403,0.626296689438222
"NFC_GVA","M2_H3",0,0,0.034745183964136,0.02442892050266,0.000616167123924225,0.000839645940959143,0.616484244534736,0.477010977802611
"NFC_NVA","M2_H3",0,0,0.0105884651899193,0.00766052692362035,0.000270655539358505,0.000310120981883529,0.578318367884836,0.59958155316855
"CORP_GVA","M2_H5",0,0,0.012542642778133,0.00820162429197722,0.000349831676093434,0.000481911381508679,0.493503414914718,0.488296170058521
"CORP_NVA","M2_H5",0,0,0.000296446687237477,0.000211300803235537,0.000130632558390039,0.000204848293579231,0.166676230545549,0.243806012776243
"NFC_GVA","M2_H5",0,0,0.0174974045277804,0.011197273250576,0.000467091996907256,0.000623911704985221,0.605551785082779,0.562186067153373
"NFC_NVA","M2_H5",0,0,0.000481016533588837,0.000335286563555658,0.000141068376540666,0.000214801125014463,0.177626282794603,0.252412950524797
"CORP_GVA","M3",0,0,0.000169028339673442,0.000148740763449886,0.000123513748169499,0.000202316933324727,0.108716423973209,0.164725284905844
"CORP_NVA","M3",0,0,7.80499189189005e-05,6.97812699485865e-05,9.27180741383779e-05,0.000161779431519207,0.137259909650349,0.22520383697102
"NFC_GVA","M3",0,0,0.000221268290015648,0.000196669868510337,9.70021307566461e-05,0.00016455433006774,0.0878955575107457,0.142894134997594
"NFC_NVA","M3",0,0,6.49558836568505e-05,5.36064578873071e-05,8.62889498227587e-05,0.000150484856561522,0.112220857733764,0.187359699941082
