"reconstruction","object","L","C"
"CORRECTED_PRIMITIVE_BASIS","g_p",0.000100793371668822,0.000178752914178537
"CORRECTED_PRIMITIVE_BASIS","vartheta_path",0.123555890060923,0.195287193130735
"CORRECTED_PRIMITIVE_BASIS","theta_scale",0,0
"CORRECTED_PRIMITIVE_BASIS","theta_tau",0.000134690159537102,0.000261688724630915
"CORRECTED_PRIMITIVE_BASIS","C_scale",1.29382166488003e-06,9.09023152459426e-07
"CORRECTED_PRIMITIVE_BASIS","C_composition",0.120658404480714,0.194353508602135
"CORRECTED_PRIMITIVE_BASIS","C_distribution",0.00128633703641753,0.00246484721241311
"CURRENT_CODE_ORTH_AS_PRIMITIVE","g_p",9.19278305630973e-05,0.000173370678165022
"CURRENT_CODE_ORTH_AS_PRIMITIVE","vartheta_path",0.156398933105786,0.247675190296275
"CURRENT_CODE_ORTH_AS_PRIMITIVE","theta_scale",0,0
"CURRENT_CODE_ORTH_AS_PRIMITIVE","theta_tau",0.000134690159537102,0.000261688724630915
"CURRENT_CODE_ORTH_AS_PRIMITIVE","C_scale",6.27830356233791e-07,4.41105868857342e-07
"CURRENT_CODE_ORTH_AS_PRIMITIVE","C_composition",0.153187702634718,0.246750879973031
"CURRENT_CODE_ORTH_AS_PRIMITIVE","C_distribution",0.00128633703641753,0.00246484721241311
