"year","reconstruction","theta_scale","theta_tau","theta_me","theta_nrc","g_me","g_nrc","g_cap","g_p","vartheta_path","C_scale","C_composition","C_distribution","identity_error"
1945,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.306666806836922,0.306666806836922,-0.0688268068369225,0.0455771302240722,0.00690603797987954,0.0069151901828679,0.0135016724485572,1.95246581677638,0.237525220521607,1.74515630626376,-0.0302157100089916,0
1946,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.280958417049386,0.280958417049386,-0.0431184170493864,0.15361127201546,0.0957046165505027,0.0957190001566612,0.0390317482564301,0.407774299695438,0.237804260001848,0.188791461897563,-0.0188214222039723,5.55111512312578e-17
1947,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.30044577980426,0.30044577980426,-0.0626057798042597,0.165302097395633,0.0742147491452823,0.0742391290514917,0.0450180453120929,0.606392422530559,0.237761894060896,0.382892810458098,-0.0142622819884346,1.11022302462516e-16
1948,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.32093265995028,0.32093265995028,-0.0830926599502795,0.157601916540943,0.0727624862948577,0.0727872800988614,0.0445335737579114,0.611831815908286,0.237758983669451,0.363742689120074,0.01033014311876,1.11022302462516e-16
1949,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.32261555956825,0.32261555956825,-0.0847755595682503,0.170175704473984,0.0646909984760384,0.0647249079945471,0.0494171145289607,0.763494550399731,0.237715395112454,0.508592645717663,0.0171865095696146,2.22044604925031e-16
1950,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.336482409929965,0.336482409929965,-0.0986424099299652,0.173295804440783,0.0517441552557525,0.0517879318957828,0.0532068217347689,1.02739807880032,0.237638952464722,0.732460667429382,0.0572984589062133,0
1951,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.327564629659625,0.327564629659625,-0.0897246296596247,0.156231605270702,0.0729070097215807,0.0729402438793176,0.0446343934747667,0.611930960206494,0.2377316316747,0.356498760492732,0.0177005680390621,1.11022302462516e-16
1952,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.311679440203287,0.311679440203287,-0.0738394402032869,0.137026149090866,0.0571624750385205,0.0571970348759141,0.0384873882843747,0.67289131976633,0.237696291296506,0.435740363387452,-0.000545334917628374,0
1953,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.300869712264692,0.300869712264692,-0.0630297122646922,0.174218473972154,0.0742358103507801,0.0742831524951466,0.0477380003690497,0.642649090211522,0.237688419793211,0.420035886850126,-0.0150752164318153,0
1954,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.302961978764704,0.302961978764704,-0.0651219787647043,0.15734716814598,0.0763261700581968,0.0763681598538799,0.0426996981888078,0.559129593675006,0.237709227528536,0.331083306467415,-0.00966294032094443,0
1955,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.322705776652749,0.322705776652749,-0.084865776652749,0.177537976866656,0.0880795894735122,0.0881300779551388,0.0498175879421871,0.565273390176121,0.237703744810527,0.316773564729958,0.010796080635636,0
1956,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.309656780631092,0.309656780631092,-0.0718167806310925,0.147292534419757,0.0845812431100423,0.0846194258699011,0.0395357794374772,0.467218715218676,0.237732679635776,0.231274467745871,-0.0017884321629702,-5.55111512312578e-17
1957,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.306134232434706,0.306134232434706,-0.0682942324347061,0.148603300527728,0.0641997884885122,0.0642551063143983,0.0411080820670264,0.639763661208275,0.237635241305113,0.409925459825684,-0.00779703992252221,-1.11022302462516e-16
1958,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.304337626798056,0.304337626798056,-0.0664976267980557,0.133355955834397,0.0522353796267794,0.052293128607948,0.0371117063379505,0.709686096928419,0.237577345650437,0.484103722439427,-0.0119949711614449,-1.11022302462516e-16
1959,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.316676011131237,0.316676011131237,-0.0788360111312371,0.15383381298354,0.0453232123824598,0.0454081551375296,0.045142376996849,0.994146907314873,0.23739508465815,0.745744966449682,0.0110068562070408,1.11022302462516e-16
1960,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.306448674615472,0.306448674615472,-0.0686086746154715,0.148488129421934,0.0486257779254267,0.0487125207762276,0.0421678402818725,0.865646852388945,0.23741647604136,0.639754287705094,-0.0115239113575082,0
1961,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.309862832394589,0.309862832394589,-0.0720228323945892,0.127859936491297,0.0445099862378591,0.0445893149666876,0.0364133067922908,0.816637502044938,0.237416859503702,0.583346458563515,-0.0041258160222786,-2.22044604925031e-16
1962,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.316436998345072,0.316436998345072,-0.0785969983450721,0.157089237875669,0.041694036653583,0.0418153592001964,0.0464318207758305,1.11040109815946,0.237149934075936,0.861199835040688,0.0120513290428399,0
1963,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.323661872799949,0.323661872799949,-0.0858218727999487,0.135450075753616,0.0374370181991779,0.0375516381912337,0.0406271101754112,1.0818998086985,0.237114033831181,0.814529973772329,0.0302558010949926,0
1964,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.32662920878362,0.32662920878362,-0.0887892087836201,0.202362588678364,0.0405483134878555,0.0407639102517816,0.0624972795553222,1.53315222139639,0.236582084995883,1.23877666658573,0.0577934698147808,-2.22044604925031e-16
1965,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.333507217263301,0.333507217263301,-0.0956672172633009,0.244235633974414,0.0359229933373353,0.0362571152413675,0.078017693834994,2.1517898849818,0.235648221831053,1.79297567748694,0.123165985663799,4.44089209850063e-16
1966,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.325645312788721,0.325645312788721,-0.0878053127887213,0.230993074801905,0.0289329532100133,0.0293306718358401,0.0726813450893882,2.47799796391218,0.234614932449687,2.14986218174963,0.0935208497128655,4.44089209850063e-16
1967,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.317013489878438,0.317013489878438,-0.0791734898784384,0.224810202842225,0.0258181921988712,0.0262966083376845,0.0692237505845563,2.63242124975314,0.233512959303565,2.36149985443101,0.0374084360185645,4.44089209850063e-16
1968,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.317421347575337,0.317421347575337,-0.079581347575337,0.238766501786191,0.0378910412185078,0.0384805752764681,0.0727741646316205,1.89119222123802,0.234196219226509,1.62906101400443,0.0279349880070771,0
1969,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.303012191328987,0.303012191328987,-0.0651721913289869,0.214119052009828,0.0293975529433137,0.0300543746306072,0.0629647802097576,2.09502879310071,0.2326421387227,1.91805815034263,-0.0556714959646257,-4.44089209850063e-16
1970,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.290982523672649,0.290982523672649,-0.0531425236726489,0.172759548277771,0.0227793199531856,0.0234090492822769,0.0490594587965536,2.09574759764792,0.231441840816984,1.99941182099561,-0.135106064164677,-4.44089209850063e-16
1971,"CURRENT_CODE_ORTH_AS_PRIMITIVE",0.23784,0.304048766093342,0.304048766093342,-0.0662087660933416,0.185741568769142,0.0228720891800602,0.0236712914629997,0.0549601619939106,2.32180665257821,0.229809923936282,2.147186543447,-0.0551898148050681,4.44089209850063e-16
