"anchor_id","script_id","pattern","fixed","source_line","expression","script_path"
"S34_ORTH","S34","panel[""inter_tau_omega_orth""] = residual_center",TRUE,370,"panel[""inter_tau_omega_orth""] = residual_center(panel, ""inter_tau_omega"", [""k_NRC_centered"", ""tau_centered"", ""omega_NFC_centered""])","codes/S34R_B_cpr_realigned_design_gate/run_s34r_b_cpr_realigned_design_gate.py"
"S35_SPEC","S35","SPEC_B_NRC_orth = list(",TRUE,80,"SPEC_B_NRC_orth = list(","codes/US_S35_estimator_refreeze_cpr.R"
"S35_FMOLS","S35","cointReg::cointRegFM",TRUE,127,"cointReg::cointRegFM(x = x, y = y, deter = deter, bandwidth = ""nw"")","codes/US_S35_estimator_refreeze_cpr.R"
"RECON_BETAS","RECONSTRUCTION","beta_k_B <-",TRUE,48,"beta_k_B <- 0.23784","codes/reconstruct_golden_age_paths.R"
"RECON_GP","RECONSTRUCTION","panel$g_Yp_B <-",TRUE,57,"panel$g_Yp_B <- panel$theta_NRC_t * panel$g_NRC + panel$theta_ME_t * panel$g_ME","codes/reconstruct_golden_age_paths.R"
"RECON_RATIO","RECONSTRUCTION","ga_data$theta_total_t <-",TRUE,128,"ga_data$theta_total_t <- ga_data$g_Yp_B / ga_data$g_Kcap","codes/reconstruct_golden_age_paths.R"
"RECON_OUTPUT_BOUNDARY","RECONSTRUCTION","panel$yp_spec_B[idx_1973] <- panel$y_total[idx_1973]",TRUE,62,"panel$yp_spec_B[idx_1973] <- panel$y_total[idx_1973]","codes/reconstruct_golden_age_paths.R"
"S90_OUTPUT_BOUNDARY","S90","panel$y <- log(panel$Y_REAL_NFC_GVA_BASELINE_D09)",TRUE,105,"panel$y <- log(panel$Y_REAL_NFC_GVA_BASELINE_D09)","codes/US_S90_path_dependent_theta_robustness.R"
"S90_BACKTRANSFORM","S90","primitive_beta <- c(",TRUE,449,"primitive_beta <- c(","codes/US_S90_path_dependent_theta_robustness.R"
"S90_PATH","S90","build_path <- function",TRUE,506,"build_path <- function(df, beta, label) {","codes/US_S90_path_dependent_theta_robustness.R"
"S90_SHAPLEY","S90","shapley_once <- function",TRUE,564,"shapley_once <- function(df, beta) {","codes/US_S90_path_dependent_theta_robustness.R"
