"year","K_ME","K_NRC","K_capacity","g_me_recalculated_from_D10_levels","g_nrc_recalculated_from_D10_levels","g_cap_recalculated_from_D10_levels","d_tau_recalculated","identity_gme_minus_gnrc"
1901,,,,,,,,
1902,,,,,,,,
1903,,,,,,,,
1904,,,,,,,,
1905,,,,,,,,
1906,,,,,,,,
1907,,,,,,,,
1908,,,,,,,,
1909,,,,,,,,
1910,,,,,,,,
1911,,,,,,,,
1912,,,,,,,,
1913,,,,,,,,
1914,,,,,,,,
1915,,,,,,,,
1916,,,,,,,,
1917,,,,,,,,
1918,,,,,,,,
1919,,,,,,,,
1920,,,,,,,,
1921,,,,,,,,
1922,,,,,,,,
1923,,,,,,,,
1924,,,,,,,,
1925,,,,,,,,
1926,,,,,,,,
1927,,,,,,,,
1928,,,,,,,,
1929,,,,,,,,
1930,,,,,,,,
1931,15.40538214889,78075.2476109589,78090.6529931078,,,,,
1932,17.827921412213,116633.491116931,116651.319038343,0.14604890841471,0.401363388907859,0.401318936364223,-0.255314480493148,-8.88178419700125e-16
1933,20.3854719997967,126177.140667191,126197.526139191,0.13405664330881,0.0786503344188922,0.0786590411526031,0.0554063088899177,0
1934,23.3843313809032,144140.820530433,144164.204861813,0.137243708702052,0.133103944132767,0.133104614240564,0.00413976456928467,8.88178419700125e-16
1935,27.2489183307013,164451.479820732,164478.728739063,0.152947627059875,0.131824829126796,0.131828291812234,0.0211227979330797,-4.44089209850063e-16
1936,32.1645930081474,190875.631437173,190907.796030181,0.165852425495625,0.14900650045168,0.149009314923862,0.0168459250439454,-8.88178419700125e-16
1937,38.5634855982832,226871.067160055,226909.630645653,0.181439608272541,0.172759798385043,0.172761267143736,0.0086798098874965,1.77635683940025e-15
1938,44.2363726303617,245889.131872974,245933.368245604,0.137241501064491,0.0804988808637095,0.0805088031178993,0.056742620200783,-1.33226762955019e-15
1939,51.3096743735124,266013.433314059,266064.742988433,0.148331957808058,0.0786660577863696,0.0786790354066476,0.0696659000216879,8.88178419700125e-16
1940,60.688337892049,295300.266520473,295360.954858365,0.167872233946395,0.104445882603631,0.104458510312718,0.0634263513427644,-4.44089209850063e-16
1941,70.395986360145,337681.083922172,337751.479908532,0.148384696986663,0.134109220087529,0.134112174327107,0.0142754768991331,8.88178419700125e-16
1942,74.4882937974273,352064.125909297,352138.614203094,0.0565057331943937,0.0417114235063796,0.0417145299335271,0.0147943096880141,0
1943,77.7312618111732,349583.290621392,349661.021883204,0.0426155335653515,-0.00707148795104118,-0.00706071216218973,0.0496870215163945,-1.77635683940025e-15
1944,80.4073418592451,346320.399251678,346400.806593537,0.0338479723043443,-0.00937749096029528,-0.00936767108168368,0.0432254632646387,8.88178419700125e-16
1945,84.1568751894496,348720.378718208,348804.535593398,0.0455771302240722,0.00690603797987954,0.0069151901828679,0.0386710922441917,8.88178419700125e-16
1946,98.1300746469518,383743.749378331,383841.879452978,0.15361127201546,0.0957046165505027,0.0957190001566612,0.0579066554649579,-8.88178419700125e-16
1947,115.768902979168,413306.628612868,413422.397515847,0.165302097395633,0.0742147491452823,0.0742391290514917,0.0910873482503511,0
1948,135.530662312505,444500.973896121,444636.504558433,0.157601916540943,0.0727624862948577,0.0727872800988614,0.0848394302460846,8.88178419700125e-16
1949,160.673380093393,474206.67241494,474367.345795034,0.170175704473984,0.0646909984760384,0.0647249079945471,0.105484705997947,-8.88178419700125e-16
1950,191.075648248835,499390.023001601,499581.09864985,0.173295804440783,0.0517441552557525,0.0517879318957828,0.12155164918503,0
1951,223.385955819529,537159.144672408,537382.530628227,0.156231605270702,0.0729070097215807,0.0729402438793176,0.0833245955491213,0
1952,256.192001218301,568759.0512566,569015.243257818,0.137026149090866,0.0571624750385205,0.0571970348759141,0.079863674052346,0
1953,304.949333183403,612588.054654126,612893.00398731,0.174218473972154,0.0742358103507801,0.0742831524951466,0.0999826636213736,0
1954,356.913269698581,661175.204736257,661532.118005955,0.15734716814598,0.0763261700581968,0.0763681598538799,0.0810209980877836,0
1955,426.252028320819,722052.935677697,722479.187706018,0.177537976866656,0.0880795894735122,0.0881300779551388,0.0894583873931438,0
1956,493.895186465906,785782.233501748,786276.128688214,0.147292534419757,0.0845812431100423,0.0846194258699011,0.0627112913097143,0
1957,573.023439240968,837883.849044663,838456.872483904,0.148603300527728,0.0641997884885122,0.0642551063143983,0.0844035120392155,0
1958,654.769049903866,882814.293672726,883469.06272263,0.133355955834397,0.0522353796267794,0.052293128607948,0.0811205762076179,0
1959,763.655209530614,923746.864487183,924510.519696713,0.15383381298354,0.0453232123824598,0.0454081551375296,0.10851060060108,0
1960,885.900392347203,969774.776974673,970660.67736702,0.148488129421934,0.0486257779254267,0.0487125207762276,0.0998623514965074,0
1961,1006.73173475824,1013914.48075591,1014921.21249067,0.127859936491297,0.0445099862378591,0.0445893149666876,0.0833499502534378,0
1962,1177.97682950164,1057082.33597316,1058260.31280266,0.157089237875669,0.041694036653583,0.0418153592001964,0.115395201222086,0
1963,1348.8447582032,1097406.44429993,1098755.28905813,0.135450075753616,0.0374370181991779,0.0375516381912337,0.0980130575544385,0
1964,1651.37963359648,1142818.90215222,1144470.28178581,0.202362588678364,0.0405483134878555,0.0407639102517816,0.161814275190508,0
1965,2108.22574391432,1184618.66935368,1186726.89509759,0.244235633974414,0.0359229933373353,0.0362571152413675,0.208312640637079,0
1966,2656.04928858402,1219393.83412396,1222049.88341254,0.230993074801905,0.0289329532100133,0.0293306718358401,0.202060121591892,0
1967,3325.59961016234,1251286.30998354,1254611.9095937,0.224810202842225,0.0258181921988712,0.0262966083376845,0.198992010643353,0
1968,4222.45407557716,1299608.55997331,1303831.01404889,0.238766501786191,0.0378910412185078,0.0384805752764681,0.200875460567683,0
1969,5230.64995915863,1338380.98637691,1343611.63633607,0.214119052009828,0.0293975529433137,0.0300543746306072,0.184721499066514,0
1970,6217.04736451688,1369218.28802709,1375435.33539161,0.172759548277771,0.0227793199531856,0.0234090492822769,0.149980228324585,0
1971,7486.01536947539,1400896.05825014,1408382.07361962,0.185741568769142,0.0228720891800602,0.0236712914629997,0.162869479589082,0
1972,8839.47912381149,1426906.26096577,1435745.74008958,0.166191289691826,0.0183965732653597,0.0192428137004175,0.147794716426466,0
1973,10780.0928121155,1460458.16232414,1471238.25513626,0.198473222834213,0.0232415495487572,0.0244200029155657,0.175231673285456,0
1974,12875.7376995495,1505275.57442061,1518151.31212016,0.177643566858777,0.0302257910630104,0.0313889559639318,0.147417775795766,0
1975,14972.9309034757,1547382.37649219,1562355.30739567,0.150899222442671,0.0275887265926986,0.028701142464314,0.123310495849973,0
1976,17301.8198134482,1579822.06833701,1597123.88815046,0.144567723096843,0.0207475117617477,0.0220099466985371,0.123820211335095,0
1977,19862.356988509,1610982.38327681,1630844.74026532,0.138014644261558,0.0195319431422902,0.0208936843651273,0.118482701119268,0
1978,23431.0195134197,1648725.60388402,1672156.62339744,0.165234432974639,0.0231584593423833,0.025016058418748,0.142075973632256,0
1979,27536.0870977566,1700765.07250964,1728301.1596074,0.161436637778124,0.0310755642706475,0.0330247528205838,0.130361073507476,0
1980,32101.5735935217,1766751.3831868,1798852.95678032,0.153407648024878,0.0380642910114375,0.0400102781645852,0.11534335701344,0
1981,36806.6119196561,1854835.49715912,1891642.10907878,0.13677245022615,0.048653527862756,0.0502960770890226,0.0881189223633942,0
1982,41556.1247232935,1948144.07454188,1989700.19926518,0.12136741576872,0.0490811513722527,0.0505386811211093,0.0722862643964675,0
1983,47881.8652781795,2019096.88720916,2066978.75248734,0.141691920752057,0.03577316317803,0.0381040274988376,0.105918757574027,0
1984,56173.2395453587,2113756.62054726,2169929.86009262,0.159703641537499,0.0458164274587283,0.0486068432417692,0.113887214078771,0
1985,65332.4312957268,2239945.22297547,2305277.6542712,0.151048084945121,0.0579846581798531,0.0605062820866511,0.0930634267652675,0
1986,76191.5671644996,2351717.03754924,2427908.60471374,0.153762225666954,0.0486943040953189,0.0518291036999372,0.105067921571635,0
1987,87845.1277724374,2443743.93134778,2531589.05912022,0.142324562901427,0.0383855457780538,0.0418169619057611,0.103939017123373,0
1988,100887.895856578,2526521.39253224,2627409.28838882,0.138434606047941,0.033312151561411,0.0371511070643038,0.10512245448653,0
1989,115231.759096556,2619446.28330012,2734678.04239667,0.132935438483914,0.0361195402113026,0.040015412107957,0.0968158982726113,0
1990,127481.09303771,2704860.68356503,2832341.77660274,0.101022666832861,0.0320874544837508,0.0350901410217865,0.0689352123491105,0
1991,137394.113137656,2753783.20782487,2891177.32096253,0.0748854704641513,0.0179252705211468,0.0205599442859246,0.0569601999430045,0
1992,147066.112672643,2788118.80481481,2935184.91748745,0.0680286975794022,0.0123914267180467,0.015106658885701,0.0556372708613555,0
1993,159942.2813269,2800857.97467146,2960800.25599836,0.0839307766983239,0.0045586848616388,0.00868913300232599,0.0793720918366851,0
1994,174967.748114796,2817361.69047931,2992329.43859411,0.0897886520079396,0.00587508650872515,0.0105925719805757,0.0839135654992145,0
1995,191341.685282094,2825323.5986288,3016665.2839109,0.0894590975469587,0.00282202994691794,0.00809985013859738,0.0866370676000408,0
1996,211064.203997868,2844468.43554664,3055532.63954451,0.0981016135421484,0.00675330226014559,0.0128019168512079,0.0913483112820028,0
1997,232691.736319023,2872045.20037757,3104736.93669659,0.0975521859708373,0.00964818086956498,0.0159750617925702,0.0879040051012723,0
1998,264786.828347032,2885849.30282105,3150636.13116808,0.129210523421916,0.0047948530084625,0.0146753895363556,0.124415670413454,0
1999,301994.973893727,2891478.59679933,3193473.57069305,0.131485293566564,0.00194875411525608,0.0135048391646002,0.129536539451308,0
2000,338558.724528945,2891295.71299011,3229854.43751906,0.114287187381155,-6.325123530182e-05,0.0113278524192229,0.114350438616457,0
2001,372993.948860049,2883113.04727889,3256106.99613893,0.0968646347353825,-0.0028341156741778,0.00809523838690751,0.0996987504095603,0
2002,409467.392991224,2849787.01082123,3259254.40381246,0.0932950771108043,-0.011626371126674,0.000966149911002745,0.104921448237478,0
2003,445104.974804426,2809387.679785,3254492.65458942,0.0834528790557751,-0.0142777063921908,-0.00146206170690455,0.097730585447966,0
2004,485720.334466074,2766564.61863558,3252284.95310165,0.087322862000411,-0.0153602114268665,-0.00067858522469777,0.102683073427277,0
2005,529321.460252433,2722455.77059854,3251777.23085097,0.0859629078499164,-0.0160720108081414,-0.000156124660973589,0.102034918658058,0
2006,575596.173307346,2680815.74349007,3256411.91679742,0.0838104041768659,-0.0154131997082523,0.00142426307065335,0.0992236038851182,0
2007,625964.001447545,2644826.50597155,3270790.50741909,0.0838865369610495,-0.0135156601538018,0.00440575087006856,0.0974021971148513,0
2008,658925.671586823,2604374.55447373,3263300.22606055,0.0513178746682055,-0.015412917827307,-0.00229267849040937,0.0667307924955125,0
2009,666648.851177828,2552282.89864901,3218931.74982684,0.0116527088437017,-0.0202043390848488,-0.0136894727897587,0.0318570479285505,0
2010,689993.061694591,2484287.00180357,3174280.06349816,0.034418094742021,-0.0270025154657638,-0.0139686948228981,0.0614206102077848,0
2011,718626.260344467,2412483.46630862,3131109.72665309,0.0406598757440051,-0.0293289967116088,-0.0136933680061659,0.0699888724556139,0
2012,755414.939595801,2343441.33710294,3098856.27669874,0.0499257693793158,-0.0290361949694731,-0.010354386557843,0.0789619643487889,0
2013,799942.390327641,2271590.35432922,3071532.74465686,0.0572725258354989,-0.0311403230836031,-0.00885639804631566,0.0884128489191021,0
2014,853220.031142216,2203723.40136602,3056943.43250824,0.0644777510002861,-0.0303317978685573,-0.00476116388051295,0.0948095488688434,0
2015,915574.04812885,2139727.79197646,3055301.84010531,0.0705337795775343,-0.0294697640101571,-0.000537148746223792,0.100003543587691,0
2016,980790.733059923,2079217.07166972,3060007.80472964,0.0688078732266426,-0.0286872059292378,0.00153907678485155,0.0974950791558804,0
2017,1043317.3379843,2018394.35548266,3061711.69346696,0.0618015469541593,-0.0296890931927027,0.000556669995029679,0.091490640146862,0
2018,1110613.93400177,1959312.86591069,3069926.79991246,0.062507571358621,-0.0297084886518295,0.00267958111680855,0.0922160600104505,0
2019,1182885.74528324,1904540.46266283,3087426.20794607,0.0630440437249256,-0.0283530806282641,0.00568408376997986,0.0913971243531897,0
2020,1228455.53103888,1847641.86471586,3076097.39575474,0.0378007147088777,-0.0303305942409526,-0.00367608714674006,0.0681313089498303,0
2021,1270750.39487779,1785817.0255864,3056567.42046419,0.0338498735353188,-0.0340341303628744,-0.00636918595674629,0.0678840038981932,0
2022,1294124.11123958,1725613.90183897,3019738.01307856,0.0182265162496797,-0.0342931556310173,-0.0121224513171256,0.0525196718806971,0
2023,1329725.51119848,1667595.76170726,2997321.27290574,0.0271384340379264,-0.034199946826373,-0.00745109623152551,0.0613383808642993,0
2024,1380855.9516735,1610204.81282781,2991060.76450131,0.0377310233501387,-0.0350215416268806,-0.00209088553339853,0.0727525649770193,0
2025,,,,,,,,
