"stage_id","variable_id","display_name","source_dataset","source_table","source_line","source_line_description","unit","frequency","constructed_observation_rows","coverage_start","coverage_end","sector","asset_family","measurement_concept","theoretical_role","implementation_status","baseline_core_stock_inclusion","construction_authorized_in_s29b","modeling_authorized","econometrics_authorized","provider_v1_commit","s24b_fixed_assets_construction_commit","s29a_income_distribution_construction_commit"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","GOV_TRANS_highways_streets_cfc_current_cost","FixedAssets","FAAt703",14,"Highways and streets","Millions of current dollars","A",100,1925,2024,"GOV_TRANS","HIGHWAYS_STREETS","cfc_current_cost","contextual_government_transportation","reference_only","no","no","no","no","af67374e28232d02d65765d3836dc2ab3e3da8eb","24bcad5797cbebddbd77d697bc3ebdf0049746e2","65e8ff785960eabd8881bcdd13350ba26ac3a194"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","GOV_TRANS_highways_streets_gross_investment_current_cost","FixedAssets","FAAt705",14,"Highways and streets","Millions of current dollars","A",124,1901,2024,"GOV_TRANS","HIGHWAYS_STREETS","gross_investment_current_cost","contextual_government_transportation","reference_only","no","no","no","no","af67374e28232d02d65765d3836dc2ab3e3da8eb","24bcad5797cbebddbd77d697bc3ebdf0049746e2","65e8ff785960eabd8881bcdd13350ba26ac3a194"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","GOV_TRANS_highways_streets_net_stock_current_cost","FixedAssets","FAAt701",14,"Highways and streets","Millions of current dollars","A",100,1925,2024,"GOV_TRANS","HIGHWAYS_STREETS","net_stock_current_cost","contextual_government_transportation","reference_only","no","no","no","no","af67374e28232d02d65765d3836dc2ab3e3da8eb","24bcad5797cbebddbd77d697bc3ebdf0049746e2","65e8ff785960eabd8881bcdd13350ba26ac3a194"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","GOV_TRANS_highways_streets_net_stock_quantity_index","FixedAssets","FAAt702",14,"Highways and streets","Chain-type quantity index","A",100,1925,2024,"GOV_TRANS","HIGHWAYS_STREETS","net_stock_quantity_index","contextual_government_transportation","reference_only","no","no","no","no","af67374e28232d02d65765d3836dc2ab3e3da8eb","24bcad5797cbebddbd77d697bc3ebdf0049746e2","65e8ff785960eabd8881bcdd13350ba26ac3a194"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","GOV_TRANS_transportation_structures_cfc_current_cost","FixedAssets","FAAt703",12,"Transportation","Millions of current dollars","A",100,1925,2024,"GOV_TRANS","TRANSPORTATION_STRUCTURES","cfc_current_cost","contextual_government_transportation","reference_only","no","no","no","no","af67374e28232d02d65765d3836dc2ab3e3da8eb","24bcad5797cbebddbd77d697bc3ebdf0049746e2","65e8ff785960eabd8881bcdd13350ba26ac3a194"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","GOV_TRANS_transportation_structures_gross_investment_current_cost","FixedAssets","FAAt705",12,"Transportation","Millions of current dollars","A",124,1901,2024,"GOV_TRANS","TRANSPORTATION_STRUCTURES","gross_investment_current_cost","contextual_government_transportation","reference_only","no","no","no","no","af67374e28232d02d65765d3836dc2ab3e3da8eb","24bcad5797cbebddbd77d697bc3ebdf0049746e2","65e8ff785960eabd8881bcdd13350ba26ac3a194"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","GOV_TRANS_transportation_structures_net_stock_current_cost","FixedAssets","FAAt701",12,"Transportation","Millions of current dollars","A",100,1925,2024,"GOV_TRANS","TRANSPORTATION_STRUCTURES","net_stock_current_cost","contextual_government_transportation","reference_only","no","no","no","no","af67374e28232d02d65765d3836dc2ab3e3da8eb","24bcad5797cbebddbd77d697bc3ebdf0049746e2","65e8ff785960eabd8881bcdd13350ba26ac3a194"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","GOV_TRANS_transportation_structures_net_stock_quantity_index","FixedAssets","FAAt702",12,"Transportation","Chain-type quantity index","A",100,1925,2024,"GOV_TRANS","TRANSPORTATION_STRUCTURES","net_stock_quantity_index","contextual_government_transportation","reference_only","no","no","no","no","af67374e28232d02d65765d3836dc2ab3e3da8eb","24bcad5797cbebddbd77d697bc3ebdf0049746e2","65e8ff785960eabd8881bcdd13350ba26ac3a194"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","CORP__ME__cfc_current_cost","CORP_machinery_equipment_cfc_current_cost","FixedAssets","FAAt404",18,"Equipment","Millions of current dollars","A",100,1925,2024,"CORP","ME","cfc_current_cost","core_ME","ready_for_existing_GPIM_consumption","yes_after_later_asset_specific_construction","no","no","no","af67374e28232d02d65765d3836dc2ab3e3da8eb","24bcad5797cbebddbd77d697bc3ebdf0049746e2","65e8ff785960eabd8881bcdd13350ba26ac3a194"
"S29B_FIXED_ASSETS_AND_CAPITAL_STOCK_VARIABLES_CONSTRUCTION_SETUP","CORP__ME__gross_investment_current_cost","CORP_machinery_equipment_gross_investment_current_cost","FixedAssets","FAAt407",18,"Equipment","Millions of current dollars","A",124,1901,2024,"CORP","ME","gross_investment_current_cost","core_ME","ready_for_existing_GPIM_consumption","yes_after_later_asset_specific_construction","no","no","no","af67374e28232d02d65765d3836dc2ab3e3da8eb","24bcad5797cbebddbd77d697bc3ebdf0049746e2","65e8ff785960eabd8881bcdd13350ba26ac3a194"
