"variable_id","provenance_status","source_identifier_status","provider_release_commit","provider_v1_commit_preserved","s21_lineage_preserved","s22_lineage_preserved","s23_lineage_preserved","s24a_lineage_preserved","s24b_lineage_preserved","source_dataset","source_table","source_line","source_vintage_or_retrieval_date","transformation_status","candidate_status","object_admissibility","s21_intake_status"
"DOWNSTREAM__GOV_TRANS_GPIM","PASS","PASS","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","no_s21_observation_rows","no_s21_observation_rows","no_s21_observation_rows","no_s21_observation_rows","authorized_zero_observation_metadata_record","READY_AS_BASELINE","eligible_for_model_input_preparation_only","no_s21_observation_rows"
"DOWNSTREAM__IPP_NFC_GPIM","PASS","PASS","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","no_s21_observation_rows","no_s21_observation_rows","no_s21_observation_rows","no_s21_observation_rows","authorized_zero_observation_metadata_record","READY_AS_BASELINE","eligible_for_model_input_preparation_only","no_s21_observation_rows"
"DOWNSTREAM__K_G_NFC_KCAP_GPIM","PASS","PASS","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","no_s21_observation_rows","no_s21_observation_rows","no_s21_observation_rows","no_s21_observation_rows","authorized_zero_observation_metadata_record","READY_AS_BASELINE","eligible_for_model_input_preparation_only","no_s21_observation_rows"
"DOWNSTREAM__K_G_NFC_ME_GPIM","PASS","PASS","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","no_s21_observation_rows","no_s21_observation_rows","no_s21_observation_rows","no_s21_observation_rows","authorized_zero_observation_metadata_record","READY_AS_BASELINE","eligible_for_model_input_preparation_only","no_s21_observation_rows"
"DOWNSTREAM__K_G_NFC_NRC_GPIM","PASS","PASS","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","no_s21_observation_rows","no_s21_observation_rows","no_s21_observation_rows","no_s21_observation_rows","authorized_zero_observation_metadata_record","READY_AS_BASELINE","eligible_for_model_input_preparation_only","no_s21_observation_rows"
"DOWNSTREAM__K_N_NFC_KCAP_GPIM","PASS","PASS","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","no_s21_observation_rows","no_s21_observation_rows","no_s21_observation_rows","no_s21_observation_rows","authorized_zero_observation_metadata_record","READY_AS_BASELINE","eligible_for_model_input_preparation_only","no_s21_observation_rows"
"DOWNSTREAM__K_N_NFC_ME_GPIM","PASS","PASS","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","no_s21_observation_rows","no_s21_observation_rows","no_s21_observation_rows","no_s21_observation_rows","authorized_zero_observation_metadata_record","READY_AS_BASELINE","eligible_for_model_input_preparation_only","no_s21_observation_rows"
"DOWNSTREAM__K_N_NFC_NRC_GPIM","PASS","PASS","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","no_s21_observation_rows","no_s21_observation_rows","no_s21_observation_rows","no_s21_observation_rows","authorized_zero_observation_metadata_record","READY_AS_BASELINE","eligible_for_model_input_preparation_only","no_s21_observation_rows"
"DOWNSTREAM__P_K_NFC_ME_GPIM","PASS","PASS","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","no_s21_observation_rows","no_s21_observation_rows","no_s21_observation_rows","no_s21_observation_rows","authorized_zero_observation_metadata_record","READY_AS_BASELINE","eligible_for_model_input_preparation_only","no_s21_observation_rows"
"DOWNSTREAM__P_K_NFC_NRC_GPIM","PASS","PASS","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","no_s21_observation_rows","no_s21_observation_rows","no_s21_observation_rows","no_s21_observation_rows","authorized_zero_observation_metadata_record","READY_AS_BASELINE","eligible_for_model_input_preparation_only","no_s21_observation_rows"
