year,r,mu,B,PyPK,B_real,pi,dlnr,phi_mu,phi_PyPK,phi_Br,phi_pi,regime,ECT_m,theta_CL,omega
1940,0.04907183912701447,0.7256513227143871,0.1722790040586038,0.9915102980859356,0.1737541247843622,0.3925292199125293,NA,NA,NA,NA,NA,Pre-ISI/WWII,0.1209394269664461,0.8935898062916159,0.6074707800874707
1941,0.05082257382423622,0.7199035235082456,0.1839693166785658,1.0598519068486625,0.17358021011216146,0.3837399025721505,0.035055293440182655,-0.00795241980959882,0.06665513254956529,-0.0010014252509000787,-0.022645994048883678,Pre-ISI/WWII,0.17469041087843973,0.905162019040482,0.6162600974278495
1942,0.05767348875124625,0.7440859200841754,0.17923884735435258,1.0325393102062874,0.17359033751319655,0.4324351563139126,0.12645697837561443,0.03303930424492141,-0.026108069876104305,5.834251267722301e-5,0.11946740149412038,Pre-ISI/WWII,-0.2036082066002134,0.9165637043892958,0.5675648436860874
1943,0.05404434066149995,0.767029398198357,0.17752365722898447,1.0224811602378332,0.17362046767462372,0.3969008023426503,-0.0649927678892368,0.03036861729470669,-0.009788934397517313,1.7355543694264064e-4,-0.08574600622336948,Pre-ISI/WWII,-0.12362847597380532,0.9253054137412652,0.6030991976573497
1944,0.04473696242859166,0.7812817095998458,0.15287400287876188,0.8805267506603235,0.17361653438026592,0.3745632789412643,-0.18900477309344055,0.018410659070588253,-0.1494671538615906,-2.2654811179023682e-05,-0.05792562349125896,Pre-ISI/WWII,0.06679736601977737,0.9374252983539896,0.6254367210587357
1945,0.057718952067862,0.8391543622272308,0.1738926798727561,1.0021885570426896,0.1735129369126781,0.3955444366604547,0.2547855184038226,0.07145888461387434,0.12942113593202656,-5.968808714376106e-4,0.05450237872935948,Pre-ISI/WWII,-0.01128471534838659,0.9498607819280456,0.6044555633395453
1946,0.0675463603383309,0.8960517775163523,0.17610342460091064,1.0157696492765562,0.17336944919188488,0.42805644981748625,0.15722860365439972,0.06560352558333994,0.013460434657478242,-8.272990196387386e-4,0.07899194243322005,Early ISI,-0.14324879569574378,0.9525109721658724,0.5719435501825137
1947,0.04828318240125141,0.7722255828051663,0.1965481663470236,1.135941256204705,0.17302669946482174,0.3181139436169278,-0.33573087237693544,-0.14872148566476834,0.11181500757677293,-0.0019789471693005822,-0.29684544711963945,Early ISI,0.698925468909203,0.9463745894730616,0.6818860563830722
1948,0.06322546922352192,0.8777672937563198,0.17773261051234665,1.0288253969832426,0.17275293848062107,0.4052710173753241,0.26962390443971396,0.1281048041784738,-0.0990438476522624,-0.001583442235217447,0.24214639014871997,Early ISI,-0.06555591629071955,0.9414176736591966,0.5947289826246759
1949,0.06558760213961058,0.8276018146974777,0.19350155784933143,1.1230633078595864,0.17229799646657534,0.40955841485925326,0.03667947229902868,-0.05884937863376047,0.0876422878183184,-0.0026369572233553296,0.01052352033782622,Early ISI,-0.01876963641118223,0.9335029293964264,0.5904415851407467
1950,0.07073857646493428,0.8460613449356349,0.19179144604953663,1.1154690283760789,0.1719379392619715,0.4359385034043879,0.07560437377895646,0.02205973012973228,-0.006785078326148664,-0.0020919218392860817,0.062421643814658756,Early ISI,-0.31191698621127895,0.9256435342436856,0.5640614965956121
1951,0.06624900730842824,0.8516208867898566,0.16437575190345985,0.9592233607448784,0.17136337440303265,0.4732551168639584,-0.06557057936322996,0.006549590523300841,-0.1509062908752059,-0.0033472950585320405,0.08213341604720736,Early ISI,-0.3827253966615291,0.9150125569107944,0.5267448831360416
1952,0.06216417651356704,0.8736404340219729,0.19632270351778713,1.1501617349961444,0.17069138847541754,0.36244067704357485,-0.06364158719888247,0.025527429040439892,0.1815338927742967,-0.0039291181708343,-0.26677379084278496,Early ISI,0.17693867905545346,0.9038125374181024,0.6375593229564251
