[2026-02-25 15:16:55] === 41_vecm_selected_inference started ===
[2026-02-25 15:16:55] SPEC_TAG= Q2 | DLR= const DSR= none | r= 1 | BOOT= wild | B= 1999
[2026-02-25 15:16:55] Window: fordism P_VECM= 1 range: -Inf-1973
[2026-02-25 15:16:55] FAIL beta normalization: fordism raw
[2026-02-25 15:16:55] FAIL beta normalization: fordism ortho
[2026-02-25 15:16:55] === 41_vecm_selected_inference completed ===
[2026-02-25 15:40:43] === 41_vecm_selected_inference started ===
[2026-02-25 15:40:43] SPEC_TAG= Q2 | DLR= const DSR= none | r= 1 | BOOT= wild | B= 1999
[2026-02-25 15:40:43] Window: fordism P_VECM= 1 range: -Inf-1973
[2026-02-25 16:02:14] === 41_vecm_selected_inference started ===
[2026-02-25 16:02:14] SPEC_TAG= Q2 | DLR= const DSR= none | r= 1 | BOOT= wild | B= 1999
[2026-02-25 16:02:14] Window: fordism P_VECM= 1 range: 1925-1973
[2026-02-25 16:02:36] Boot: fordism raw b= 1250 fail_share= 0
[2026-02-25 16:02:38] Boot: fordism raw b= 1275 fail_share= 0
[2026-02-25 16:02:38] Boot: fordism raw b= 1300 fail_share= 0
[2026-02-25 16:02:39] Boot: fordism raw b= 1325 fail_share= 0
[2026-02-25 16:02:39] Boot: fordism raw b= 1350 fail_share= 0
[2026-02-25 16:02:40] Boot: fordism raw b= 1375 fail_share= 0
[2026-02-25 16:02:40] Boot: fordism raw b= 1400 fail_share= 0
[2026-02-25 16:02:42] Boot: fordism raw b= 1425 fail_share= 0
[2026-02-25 16:02:42] Boot: fordism raw b= 1450 fail_share= 0
[2026-02-25 16:02:43] Boot: fordism raw b= 1475 fail_share= 0
[2026-02-25 16:02:43] Boot: fordism raw b= 1500 fail_share= 0
[2026-02-25 16:02:43] Boot: fordism raw b= 1525 fail_share= 0
[2026-02-25 16:02:44] Boot: fordism raw b= 1550 fail_share= 0
[2026-02-25 16:02:45] Boot: fordism raw b= 1575 fail_share= 0
[2026-02-25 16:02:46] Boot: fordism raw b= 1600 fail_share= 0
[2026-02-25 16:02:46] Boot: fordism raw b= 1625 fail_share= 0
[2026-02-25 16:02:51] === 41_vecm_selected_inference started ===
[2026-02-25 16:02:51] SPEC_TAG= Q2 | DLR= const DSR= none | r= 1 | BOOT= wild | B= 199
[2026-02-25 16:02:52] Window: fordism P_VECM= 1 range: 1925-1973
[2026-02-25 16:02:52] Boot: fordism raw b= 25 fail_share= 0
[2026-02-25 16:02:52] Boot: fordism raw b= 50 fail_share= 0
[2026-02-25 16:02:52] Boot: fordism raw b= 75 fail_share= 0
[2026-02-25 16:02:52] Boot: fordism raw b= 100 fail_share= 0
[2026-02-25 16:02:52] Boot: fordism raw b= 125 fail_share= 0
[2026-02-25 16:02:53] Boot: fordism raw b= 150 fail_share= 0
[2026-02-25 16:02:53] Boot: fordism raw b= 175 fail_share= 0
[2026-02-25 16:02:53] EXPORT OK: fordism raw B_eff= 199 fail_share= 0
[2026-02-25 16:02:54] Boot: fordism ortho b= 25 fail_share= 0
[2026-02-25 16:02:54] Boot: fordism ortho b= 50 fail_share= 0
[2026-02-25 16:02:54] Boot: fordism ortho b= 75 fail_share= 0
[2026-02-25 16:02:54] Boot: fordism ortho b= 100 fail_share= 0
[2026-02-25 16:02:54] Boot: fordism ortho b= 125 fail_share= 0
[2026-02-25 16:02:54] Boot: fordism ortho b= 150 fail_share= 0
[2026-02-25 16:02:55] Boot: fordism ortho b= 175 fail_share= 0
[2026-02-25 16:02:55] EXPORT OK: fordism ortho B_eff= 199 fail_share= 0
[2026-02-25 16:02:55] === 41_vecm_selected_inference completed ===
