object_id,candidate_path,exists,role,selected,reason,sha256_if_exists,notes
s34_integration,output/S34_pre_regression/us_s34_variable_menu_integration_ledger.csv,True,required_input,True,required by S34R gate,0c9b96ed255b2abb60e18a048debf01c00875b9a513a06d9bacfd2bfeeedfb78,
s34_interaction,output/S34_pre_regression/us_s34_interaction_i2_risk_ledger.csv,True,required_input,True,required by S34R gate,39bac113c8b678b588e0ba1995401244d52b3045924d4927611b9076d56f7f11,
s34_relation,output/S34_pre_regression/us_s34_candidate_level_relation_ledger.csv,True,required_input,True,required by S34R gate,64d3fbbca1f4fd95b69a624d47d4252e0d0f124f2878489f9befb9385a8615b8,
s34_design,output/S34_pre_regression/us_s34_collinearity_design_ledger.csv,True,required_input,True,required by S34R gate,e26c97e4effbcc53f78e50f4c3dcbb9b3e04af6e24a4bebecdd183bfce226603,
s34_memo,output/S34_pre_regression/us_s34_pre_regression_admissibility_memo.md,True,required_input,True,required by S34R gate,07aaa18adead72884f49ce96a3d92f6b136e4bdc6628a7b1a7bc3a9feeaa5e32,
s31i_panel,data/processed/us_s31i/us_s31i_candidate_audit_panel.csv,True,required_input,True,required by S34R gate,21bc430730319764f5aed3fb767e13b7651575f58719e4d250610269ca6d992a,
d06_capacity,output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv,True,required_input,True,required by S34R gate,55b77b461888d33bf533010d45fa5d6faf0cc71ca9fb5a077a60e26ca1e4d2b1,
d06_asset,output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_asset_refrozen_gpim_panel.csv,True,required_input,True,required by S34R gate,fa29d5e2083c907802f0f7bed9d8e911f926a67a62a15a29675230923e07c160,
d06_investment,output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_real_investment_guardian_panel.csv,True,required_input,True,required by S34R gate,ad5f20c19951f38f2344769f4dabef07aaf4bdbd81872ea5d9df7c7a54370a3e,
d06_checks,output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_validation_checks.csv,True,required_input,True,required by S34R gate,15659f3130bea9d1f654e893154b083ec78581240304fb62a1bb3229449956f2,
d06_report,output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/reports/D06_decision_report.md,True,required_input,True,required by S34R gate,30603eb84059300484cf918d0ae2af41539e958cdcb0bcb03783204279754ce9,
d07_wide,output/US/D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION/csv/D07_level_accounting_panel_wide.csv,True,required_input,True,required by S34R gate,2f9165980499ddd2221a0b0f478188f900bd102e20d527e0cf70aff8d075188e,
d07_long,output/US/D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION/csv/D07_level_accounting_panel_long.csv,True,required_input,True,required by S34R gate,a3959bff8e569d873015d875a56d138fc5267395087a7aa5360719d2ad337332,
d07_dictionary,output/US/D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION/csv/D07_variable_dictionary.csv,True,required_input,True,required by S34R gate,49c3957282e5087e829fb66df074392e88e692f6df4cfa9327c2b9c70be6e371,
d07_checks,output/US/D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION/csv/D07_validation_checks.csv,True,required_input,True,required by S34R gate,8e49105a70a481682b4d175ae10685e858b23700a3d4950f8d76581d9b9ce316,
d07_report,output/US/D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION/reports/D07_decision_report.md,True,required_input,True,required by S34R gate,ec3a3962718054df1e612051c7919fc0f88806babdc555b776c8dbf7db846e06,
s35_review,output/S35_specification_review/us_s35_specification_review_ledger.csv,True,optional_context,False,optional S35 context,4b9ee9ae71e1ae9ce58d67910c0f8d399b08517c5409fd52b475409b48a537be,
s35_design,output/S35_specification_review/us_s35_design_diagnostics_ledger.csv,True,optional_context,False,optional S35 context,f57de0e69dde9e5605d8d55196643c146c98173517f54e5037e8d622f2457e61,
d07_csv_directory,output/US/D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION/csv,True,required_input_directory,True,D07 consumption directory required by S34R,,7 csv files
real_output_y_source,output/US/D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION/csv/D07_level_accounting_panel_wide.csv,True,repaired_candidate_panel_source,True,D07 column `Y_REAL_NFC_GVA_BASELINE` is the repaired source object.,2f9165980499ddd2221a0b0f478188f900bd102e20d527e0cf70aff8d075188e,Y_REAL_NFC_GVA_BASELINE
omega_NFC_source,output/US/D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION/csv/D07_level_accounting_panel_wide.csv,True,repaired_candidate_panel_source,True,D07 column `NFC_COMPENSATION_SHARE_GVA` is the repaired source object.,2f9165980499ddd2221a0b0f478188f900bd102e20d527e0cf70aff8d075188e,NFC_COMPENSATION_SHARE_GVA
omega_CORP_source,output/US/D07_LEVEL_ACCOUNTING_PANEL_CONSUMPTION/csv/D07_level_accounting_panel_wide.csv,True,repaired_candidate_panel_source,True,D07 column `CORP_COMPENSATION_SHARE_GVA` is the repaired source object.,2f9165980499ddd2221a0b0f478188f900bd102e20d527e0cf70aff8d075188e,CORP_COMPENSATION_SHARE_GVA
