"model_id","lhs","rhs","test_type","lag","eg_statistic","p_value","n_obs","package","package_version","model_order_status","eg_classification","notes"
"EG0","y_t","k_Kcap","type1",3,-0.151167007763125,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"EG0","y_t","k_Kcap","type2",3,1.82548470136077,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"EG0","y_t","k_Kcap","type3",3,-3.80333253255388,0.0653732228290091,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"EG1","y_t","k_ME + k_NRC","type1",3,-2.65649772113624,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"EG1","y_t","k_ME + k_NRC","type2",3,0.744060165907721,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"EG1","y_t","k_ME + k_NRC","type3",3,-0.905660032013719,0.1,94,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"EG2","y_t","k_Kcap + Q_MEshare","type1",3,-0.0658137140496494,0.1,93,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"EG2","y_t","k_Kcap + Q_MEshare","type2",3,1.85818177959039,0.1,93,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"EG2","y_t","k_Kcap + Q_MEshare","type3",3,-2.93859659764094,0.1,93,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"EG3","y_t","k_Kcap + Q_omega","type1",3,-2.45344390104441,0.1,93,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"EG3","y_t","k_Kcap + Q_omega","type2",3,0.855341072377994,0.1,93,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"EG3","y_t","k_Kcap + Q_omega","type3",3,-1.8951185651741,0.1,93,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"EG4","y_t","k_Kcap + Q_MEshare + Q_omega","type1",3,-2.3955956090175,0.1,93,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"EG4","y_t","k_Kcap + Q_MEshare + Q_omega","type2",3,0.885473169613071,0.1,93,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"EG4","y_t","k_Kcap + Q_MEshare + Q_omega","type3",3,-1.90097574973875,0.1,93,"aTSA","3.1.2.1","PURE_I1_CORE","EG_PASS_WEAK","aTSA coint.test completed."
"EGD1","y_t","k_Kcap + Q_MEshare + omega_NFC","type1",3,-2.1834526286157,0.1,93,"aTSA","3.1.2.1","MIXED_ORDER_CONTROL","EG_MIXED_ORDER_CONTROL_DIAGNOSTIC","aTSA coint.test completed."
"EGD1","y_t","k_Kcap + Q_MEshare + omega_NFC","type2",3,1.05336668463529,0.1,93,"aTSA","3.1.2.1","MIXED_ORDER_CONTROL","EG_MIXED_ORDER_CONTROL_DIAGNOSTIC","aTSA coint.test completed."
"EGD1","y_t","k_Kcap + Q_MEshare + omega_NFC","type3",3,-2.16795179652191,0.1,93,"aTSA","3.1.2.1","MIXED_ORDER_CONTROL","EG_MIXED_ORDER_CONTROL_DIAGNOSTIC","aTSA coint.test completed."
"EGD2","y_t","k_Kcap + Q_omega + omega_NFC","type1",3,-3.16039985599603,0.1,93,"aTSA","3.1.2.1","MIXED_ORDER_CONTROL","EG_MIXED_ORDER_CONTROL_DIAGNOSTIC","aTSA coint.test completed."
"EGD2","y_t","k_Kcap + Q_omega + omega_NFC","type2",3,0.704023939440033,0.1,93,"aTSA","3.1.2.1","MIXED_ORDER_CONTROL","EG_MIXED_ORDER_CONTROL_DIAGNOSTIC","aTSA coint.test completed."
"EGD2","y_t","k_Kcap + Q_omega + omega_NFC","type3",3,-1.68360761629302,0.1,93,"aTSA","3.1.2.1","MIXED_ORDER_CONTROL","EG_MIXED_ORDER_CONTROL_DIAGNOSTIC","aTSA coint.test completed."
