year,y_t,K_ME_repaired,K_NRC_repaired,K_cap_repaired,k_ME,k_NRC,k_Kcap,g_K_ME,g_K_NRC,g_Kcap,ME_share,NRC_share,omega_NFC,omega_CORP,Q_omega,Q_MEshare,Q_q_if_retained,q_proxy_if_retained
1925,,,,,,,,,,,,,,,,,,
1926,,,,,,,,,,,,,,,,,,
1927,,,,,,,,,,,,,,,,,,
1928,,,,,,,,,,,,,,,,,,
1929,12.846657305523054,,,,,,,,,,,,0.632503689129365,0.624785607415246,,,,
1930,12.775004900102946,,,,,,,,,,,,0.636138668552111,0.639461995101499,,,,
1931,12.674152550604521,15.40538214889,78075.2476109589,78090.6529931078,2.734716938549776,11.265428353596253,11.265625648679741,,,,0.0001972756220933338,0.9998027243779066,0.663881911320595,0.670321830576547,,,,
1932,12.510626584202145,17.827921412213,116633.491116931,116651.319038343,2.880765846964486,11.666791742504111,11.666944585043964,0.14604890841471008,0.4013633889078587,0.40131893636422333,0.0001528308600295636,0.9998471691399704,0.677734147194899,0.68242345931589,0.26642838252262885,7.91704428290872e-05,,-4.44447620637702e-05
1933,12.484983866269708,20.3854719997967,126177.140667191,126197.526139191,3.014822490273296,11.745442076923004,11.745603626196568,0.13405664330880995,0.07865033441889224,0.07865904115260314,0.00016153622518172303,0.9998384637748183,0.664517937219731,0.669816937044203,0.3197383006973568,9.119197173754038e-05,-3.4959823681917548e-06,8.705365152159424e-06
1934,12.615582894346947,23.3843313809032,144140.820530433,144164.204861813,3.1520661989753482,11.87854602105577,11.878708240437131,0.13724370870205238,0.13310394413276683,0.13310461424056363,0.00016220622451542562,0.9998377937754847,0.622061999745903,0.628208955223881,0.4081887043869242,0.00011269318867623046,-2.337258097790329e-06,6.699993337025846e-07
1935,12.699893504330326,27.2489183307013,164451.479820732,164478.728739063,3.305013826035223,12.010370850182566,12.010536532249365,0.15294762705987486,0.1318248291267956,0.13182829181223354,0.0001656683422810882,0.9998343316577188,0.616558357905585,0.620669233047083,0.49019407521472863,0.00013407655817541066,-2.248933230112983e-06,3.4621177656625935e-06
1936,12.8333150387024,32.1645930081474,190875.631437173,190907.796030181,3.4708662515308477,12.159377350634246,12.159545847173227,0.16585242549562462,0.14900650045168007,0.1490093149238625,0.00016848234423628468,0.9998315176557637,0.61320426040215,0.614970508379365,0.5820670137368215,0.00015876268436328757,-1.7330454336658665e-06,2.814001955196466e-06
1937,12.913354459832034,38.5634855982832,226871.067160055,226909.630645653,3.6523058598033886,12.332137149019289,12.332307114316963,0.1814396082725409,0.17275979838504263,0.17276126714373596,0.0001699508543932396,0.9998300491456068,0.629079145811021,0.63195349510747,0.6880049587818343,0.00018786990764489524,-1.2468948901411745e-06,1.4685101569549225e-06
1938,12.837894802799827,44.2363726303617,245889.131872974,245933.368245604,3.78954736086788,12.412636029882998,12.412815917434862,0.13724150106449118,0.08049888086370949,0.08050880311789932,0.00017987137307119914,0.9998201286269287,0.633989364345709,0.634093023255814,0.7386513678775101,0.00020155244752095933,-1.1286668950382552e-06,9.920518677959537e-06
1939,12.94844560964936,51.3096743735124,266013.433314059,266064.742988433,3.937879318675938,12.491302087669368,12.49149495284151,0.1483319578080584,0.07866605778636959,0.07867903540664756,0.00019284657484942733,0.9998071534251505,0.630537992484756,0.630053039748114,0.788533039522304,0.00021570455365147053,-3.481300547227683e-07,1.297520177822819e-05
1940,13.069224169840545,60.688337892049,295300.266520473,295360.954858365,4.105751552622333,12.595747970272999,12.595953463154228,0.16787223394639517,0.10444588260363119,0.10445851031271758,0.0002054717690127694,0.9997945282309872,0.607110693449235,0.607263654006099,0.8543980989128331,0.0002358490195791517,1.0072401940378727e-06,1.2625194163342084e-05
1941,13.254517321782453,70.395986360145,337681.083922172,337751.479908532,4.2541362496089965,12.729857190360528,12.730065637481335,0.14838469698666312,0.13410922008752912,0.13411217432710743,0.00020842539721575528,0.9997915746027842,0.594511097780444,0.594639411049961,0.935819034068548,0.0002634052852842914,2.7004324345855854e-06,2.9536282029858705e-06
1942,13.381110338079226,74.4882937974273,352064.125909297,352138.614203094,4.31064198280339,12.771568613866908,12.771780167414862,0.05650573319439367,0.041711423506379575,0.04171452993352709,0.00021153117208119214,0.9997884688279188,0.604405412159509,0.604140469603786,0.9606187850527245,0.0002720996527553553,2.8236416466715494e-06,3.1057748654368612e-06
1943,13.48757993765138,77.7312618111732,349583.290621392,349661.021883204,4.353257516368742,12.764497125915867,12.764719455252672,0.04261553356535153,-0.007071487951041178,-0.007060712162189731,0.000222304623467976,0.999777695376532,0.621900080256822,0.619827602868132,0.9563512524081965,0.00027060609203595937,2.8017126643061363e-06,1.0773451386783854e-05
1944,13.504730434266516,80.4073418592451,346320.399251678,346400.806593537,4.387105488673086,12.755119634955571,12.755351784170989,0.03384797230434433,-0.009377490960295276,-0.009367671081683682,0.00023212227087448484,0.9997678777291256,0.627959009724536,0.62530531575709,0.9505254970106779,0.00026852361544337384,2.7007905153002364e-06,9.817647406508846e-06
1945,13.428879961620815,84.1568751894496,348720.378718208,348804.535593398,4.432682618897158,12.76202567293545,12.762266974353857,0.04557713022407217,0.006906037979879542,0.006915190182867903,0.0002412723075583843,0.9997587276924416,0.638440192180252,0.63547276857004,0.9548679529899685,0.0002701287850921501,2.7686814142645847e-06,9.150036683899468e-06
1946,13.397830652031807,98.1300746469518,383743.749378331,383841.879452978,4.586293890912618,12.857730289485954,12.857985974510518,0.15361127201545965,0.09570461655050266,0.09571900015666124,0.0002556523399343481,0.9997443476600656,0.663415069811751,0.660202066025877,1.0159788098452889,0.0002932231291371291,3.6445137770442137e-06,1.4380032375963816e-05
1947,13.46439726220545,115.768902979168,413306.628612868,413422.397515847,4.751595988308251,12.931945038631236,12.93222510356201,0.1653020973956334,0.07421474914528225,0.07423912905149166,0.0002800257162524205,0.9997199742837476,0.644483720777999,0.644188764185941,1.0652301668277477,0.000312202536193831,4.71207485636802e-06,2.4373376318072358e-05
1948,13.539171904972918,135.530662312505,444500.973896121,444636.504558433,4.9091979048491945,13.004707524926093,13.00501238366087,0.15760191654094324,0.07276248629485771,0.07278728009886137,0.0003048122700746307,0.9996951877299254,0.624581372598025,0.623778780389284,1.1121403839311723,0.0003325848464375802,6.4861466253865076e-06,2.478655382221021e-05
1949,13.530015425747827,160.673380093393,474206.67241494,474367.345795034,5.079373609323179,13.069398523402132,13.069737291655418,0.17017570447398445,0.06469099847603843,0.06472490799454711,0.00033871087779894826,0.999661289122201,0.622946489496739,0.620869516577869,1.1525663558076875,0.00035231379257376973,8.090454041030953e-06,3.389860772431757e-05
