source_sheet,original_variable_name,standardized_entity,raw_entity_label,total_obs_post_1900,nonmissing_obs_post_1900,missing_obs_post_1900,missingness_share,min_year_available,max_year_available,constant_series_yes_no,plotted_variable_yes_no
C1f,New series on imports in goods + services (% GDP) (MER $),Chile,CL,124,124,0,0.0,1900,2023,no,yes
C1f,New series on imports in goods + services (% GDP) (MER $),Latin America,Latin America,124,124,0,0.0,1900,2023,no,yes
C1f,New series on imports in goods + services (% GDP) (MER $),United Kingdom,GB,124,124,0,0.0,1900,2023,no,yes
C1f,New series on imports in goods + services (% GDP) (MER $),United States,US,124,124,0,0.0,1900,2023,no,yes
D1a,Data series on net income balance (% GDP),Chile,CL,126,126,0,0.0,1900,2025,no,yes
D1a,Data series on net income balance (% GDP),Latin America,Latin America,126,126,0,0.0,1900,2025,no,yes
D1a,Data series on net income balance (% GDP),United Kingdom,GB,126,126,0,0.0,1900,2025,no,yes
D1a,Data series on net income balance (% GDP),United States,US,126,126,0,0.0,1900,2025,no,yes
D1b,Data series on foreign income inflows (% GDP),Chile,CL,126,126,0,0.0,1900,2025,no,yes
D1b,Data series on foreign income inflows (% GDP),Latin America,Latin America,126,126,0,0.0,1900,2025,no,yes
D1b,Data series on foreign income inflows (% GDP),United Kingdom,GB,126,126,0,0.0,1900,2025,no,yes
D1b,Data series on foreign income inflows (% GDP),United States,US,126,126,0,0.0,1900,2025,no,yes
D1c,Data series on foreign income outflows (% GDP),Chile,CL,126,126,0,0.0,1900,2025,no,yes
D1c,Data series on foreign income outflows (% GDP),Latin America,Latin America,126,126,0,0.0,1900,2025,no,yes
D1c,Data series on foreign income outflows (% GDP),United Kingdom,GB,126,126,0,0.0,1900,2025,no,yes
D1c,Data series on foreign income outflows (% GDP),United States,US,126,126,0,0.0,1900,2025,no,yes
E1a,Data series on net transfer balance (% GDP),Chile,CL,126,126,0,0.0,1900,2025,no,yes
E1a,Data series on net transfer balance (% GDP),Latin America,Latin America,126,126,0,0.0,1900,2025,no,yes
E1a,Data series on net transfer balance (% GDP),United Kingdom,GB,126,126,0,0.0,1900,2025,no,yes
E1a,Data series on net transfer balance (% GDP),United States,US,126,126,0,0.0,1900,2025,no,yes
E1b,Data series on foreign transfer inflows (% GDP),Chile,CL,126,126,0,0.0,1900,2025,no,yes
E1b,Data series on foreign transfer inflows (% GDP),Latin America,Latin America,126,126,0,0.0,1900,2025,no,yes
E1b,Data series on foreign transfer inflows (% GDP),United Kingdom,GB,126,126,0,0.0,1900,2025,no,yes
E1b,Data series on foreign transfer inflows (% GDP),United States,US,126,126,0,0.0,1900,2025,no,yes
E1c,Data series on foreign transfer outflows (% GDP),Chile,CL,126,126,0,0.0,1900,2025,no,yes
E1c,Data series on foreign transfer outflows (% GDP),Latin America,Latin America,126,126,0,0.0,1900,2025,no,yes
E1c,Data series on foreign transfer outflows (% GDP),United Kingdom,GB,126,126,0,0.0,1900,2025,no,yes
E1c,Data series on foreign transfer outflows (% GDP),United States,US,126,126,0,0.0,1900,2025,no,yes
F1,Data series on net current account (% GDP),Chile,CL,126,126,0,0.0,1900,2025,no,yes
F1,Data series on net current account (% GDP),Latin America,Latin America,126,126,0,0.0,1900,2025,no,yes
F1,Data series on net current account (% GDP),United Kingdom,GB,126,126,0,0.0,1900,2025,no,yes
F1,Data series on net current account (% GDP),United States,US,126,126,0,0.0,1900,2025,no,yes
G1a,Data series on foreign wealth across world regions (% GDP),Chile,CL,126,126,0,0.0,1900,2025,no,yes
G1a,Data series on foreign wealth across world regions (% GDP),Latin America,Latin America,126,126,0,0.0,1900,2025,no,yes
G1a,Data series on foreign wealth across world regions (% GDP),United Kingdom,GB,126,126,0,0.0,1900,2025,no,yes
G1a,Data series on foreign wealth across world regions (% GDP),United States,US,126,126,0,0.0,1900,2025,no,yes
G1b,Data series on gross foreign assets (% GDP),Chile,CL,126,126,0,0.0,1900,2025,no,yes
G1b,Data series on gross foreign assets (% GDP),Latin America,Latin America,126,126,0,0.0,1900,2025,no,yes
G1b,Data series on gross foreign assets (% GDP),United Kingdom,GB,126,126,0,0.0,1900,2025,no,yes
G1b,Data series on gross foreign assets (% GDP),United States,US,126,126,0,0.0,1900,2025,no,yes
G1c,Data series on gross foreign liabilities (% GDP),Chile,CL,126,126,0,0.0,1900,2025,no,yes
G1c,Data series on gross foreign liabilities (% GDP),Latin America,Latin America,126,126,0,0.0,1900,2025,no,yes
G1c,Data series on gross foreign liabilities (% GDP),United Kingdom,GB,126,126,0,0.0,1900,2025,no,yes
G1c,Data series on gross foreign liabilities (% GDP),United States,US,126,126,0,0.0,1900,2025,no,yes
