"asset_block","year","variable_id","value","unit","object_role","downstream_consumption_status","construction_stage","source_table","notes"
"ME",1901,"I_NOMINAL_DIRECT_ME",563,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1902,"I_NOMINAL_DIRECT_ME",634,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1903,"I_NOMINAL_DIRECT_ME",721,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1904,"I_NOMINAL_DIRECT_ME",621,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1905,"I_NOMINAL_DIRECT_ME",765,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1906,"I_NOMINAL_DIRECT_ME",999,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1907,"I_NOMINAL_DIRECT_ME",1143,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1908,"I_NOMINAL_DIRECT_ME",637,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1909,"I_NOMINAL_DIRECT_ME",779,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1910,"I_NOMINAL_DIRECT_ME",958,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1911,"I_NOMINAL_DIRECT_ME",871,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1912,"I_NOMINAL_DIRECT_ME",1247,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1913,"I_NOMINAL_DIRECT_ME",1462,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1914,"I_NOMINAL_DIRECT_ME",1079,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1915,"I_NOMINAL_DIRECT_ME",1142,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1916,"I_NOMINAL_DIRECT_ME",1863,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1917,"I_NOMINAL_DIRECT_ME",2787,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1918,"I_NOMINAL_DIRECT_ME",3575,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1919,"I_NOMINAL_DIRECT_ME",3592,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1920,"I_NOMINAL_DIRECT_ME",3963,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1921,"I_NOMINAL_DIRECT_ME",2947,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1922,"I_NOMINAL_DIRECT_ME",3010,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1923,"I_NOMINAL_DIRECT_ME",4195,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1924,"I_NOMINAL_DIRECT_ME",2987,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
"ME",1925,"I_NOMINAL_DIRECT_ME",3723,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction."
