"p","q_tag","r","best_BIC","best_AIC"
1,"E_only",0,-869.662924468467,-888.050385878978
1,"E_only",1,-848.994735222982,-877.597452972666
1,"E_only",2,-843.457218513504,-878.189090066692
1,"E_short",0,-845.40461686146,-876.050385878978
1,"E_short",1,-866.948547217487,-907.809572574178
1,"E_short",2,-860.817636292171,-907.807815452365
1,"K_only",0,-869.662924468467,-888.050385878978
1,"K_only",1,-851.880621882635,-880.483339632319
1,"K_only",2,-848.241240537271,-882.973112090459
1,"K_short",0,-845.40461686146,-876.050385878978
1,"K_short",1,-866.948547217487,-907.809572574178
1,"K_short",2,-860.817636292171,-907.807815452365
1,"Y_only",0,-869.662924468467,-888.050385878978
1,"Y_only",1,-859.776585857978,-888.379303607662
1,"Y_only",2,-851.481401146701,-886.213272699889
1,"Y_short",0,-845.40461686146,-876.050385878978
1,"Y_short",1,-866.948547217487,-907.809572574178
1,"Y_short",2,-860.817636292171,-907.807815452365
1,"sym",0,-845.40461686146,-876.050385878978
1,"sym",1,-866.948547217487,-907.809572574178
1,"sym",2,-860.817636292171,-907.807815452365
2,"E_only",0,-874.705717926842,-899.222333140857
2,"E_only",1,-840.341536940013,-875.0734084932
2,"E_only",2,-834.880066299867,-875.741091656558
2,"E_short",0,-838.318256516331,-881.222333140857
2,"E_short",1,-850.931054393705,-904.050387357404
2,"E_short",2,-845.448670631643,-904.697157398845
2,"K_only",0,-874.705717926842,-899.222333140857
2,"K_only",1,-827.723125787376,-862.454997340563
2,"K_only",2,-828.122162497152,-868.983187853843
2,"K_short",0,-838.318256516331,-881.222333140857
2,"K_short",1,-849.098794257271,-902.21812722097
2,"K_short",2,-843.011488143133,-902.259974910335
2,"Y_only",0,-874.705717926842,-899.222333140857
2,"Y_only",1,-843.351918149271,-878.083789702458
2,"Y_only",2,-837.839297904094,-878.700323260785
2,"Y_short",0,-838.318256516331,-881.222333140857
2,"Y_short",1,-854.931370102858,-908.050703066557
2,"Y_short",2,-848.656462166937,-907.904948934139
2,"sym",0,-826.189102712827,-875.222333140857
2,"sym",1,-843.728390393784,-902.976877160986
2,"sym",2,-837.535967753487,-902.913608324192
3,"E_only",0,-889.082033737249,-919.727802754767
3,"E_only",1,-830.280014056638,-871.141039413329
3,"E_only",2,-825.225008972302,-872.215188132497
3,"E_short",0,-840.565418523235,-895.727802754767
3,"E_short",1,-836.576086392572,-901.953726963278
3,"E_short",2,-829.505187852632,-901.011982226841
3,"K_only",0,-889.082033737249,-919.727802754767
3,"K_only",1,-812.981151726104,-853.842177082795
3,"K_only",2,-806.493912566035,-853.48409172623
3,"K_short",0,-840.565418523235,-895.727802754767
3,"K_short",1,-827.497037107306,-892.874677678012
3,"K_short",2,-817.607989760966,-889.114784135175
3,"Y_only",0,-889.082033737249,-919.727802754767
3,"Y_only",1,-834.631587101957,-875.492612458648
3,"Y_only",2,-826.059573344611,-873.049752504805
3,"Y_short",0,-840.565418523235,-895.727802754767
3,"Y_short",1,-830.681790557937,-896.059431128642
3,"Y_short",2,-826.475622403953,-897.982416778162
3,"sym",0,-816.307110916227,-883.727802754767
3,"sym",1,-816.425155942214,-894.061104119927
3,"sym",2,-811.155321992457,-894.920423973674
4,"E_only",0,-874.709864804436,-911.484787625458
4,"E_only",1,-801.444212505871,-848.434391666066
4,"E_only",2,-796.414243581507,-849.533576545205
4,"E_short",0,-814.064095786918,-881.484787625458
4,"E_short",1,-805.6547321862,-883.290680363913
4,"E_short",2,-798.001265552921,-881.766367534137
4,"K_only",0,-874.709864804436,-911.484787625458
4,"K_only",1,-792.268956968411,-839.259136128606
4,"K_only",2,-785.926897770316,-839.046230734014
4,"K_short",0,-814.064095786918,-881.484787625458
4,"K_short",1,-795.693937107261,-873.329885284974
4,"K_short",2,-785.491912734725,-869.257014715941
4,"Y_only",0,-874.709864804436,-911.484787625458
4,"Y_only",1,-800.798836816006,-847.789015976201
4,"Y_only",2,-797.641993536708,-850.761326500406
4,"Y_short",0,-814.064095786918,-881.484787625458
4,"Y_short",1,-803.574977427756,-881.210925605469
4,"Y_short",2,-797.094672242768,-880.859774223984
4,"sym",0,-777.676634376407,-863.484787625458
4,"sym",1,-776.00329495419,-872.026704542414
4,"sym",2,-769.353808741189,-871.506372132916
5,"E_only",0,-851.075591314791,-893.979667939316
5,"E_only",1,-774.085047427066,-827.204380390764
5,"E_only",2,-776.585875391705,-835.834362158907
5,"E_short",0,-778.300668493769,-857.979667939316
5,"E_short",1,-764.619529121268,-854.513784905988
5,"E_short",2,-758.083959666111,-854.107369254335
5,"K_only",0,-851.075591314791,-893.979667939316
5,"K_only",1,-767.806620924971,-820.925953888669
5,"K_only",2,-763.235324158515,-822.483810925717
5,"K_short",0,-778.300668493769,-857.979667939316
5,"K_short",1,-754.327638881322,-844.221894666042
5,"K_short",2,-751.022627017498,-847.046036605722
5,"Y_only",0,-851.075591314791,-893.979667939316
5,"Y_only",1,-764.508984283436,-817.628317247134
5,"Y_only",2,-774.210702380343,-833.459189147545
5,"Y_short",0,-778.300668493769,-857.979667939316
5,"Y_short",1,-768.353610386285,-858.247866171006
5,"Y_short",2,-763.029749369712,-859.053158957936
5,"sym",0,-729.784053279754,-833.979667939316
5,"sym",1,-727.833409652587,-842.244280651322
5,"sym",2,-723.771635267533,-844.311660069771
6,"E_only",0,-825.995705012174,-875.028935440203
6,"E_only",1,-734.361357816134,-793.609844583336
6,"E_only",2,-749.625282007712,-815.002922578418
6,"E_short",0,-741.091628387649,-833.028935440203
6,"E_short",1,-723.177605831564,-825.330169223291
6,"E_short",2,-719.739427546802,-828.021144742033
6,"K_only",0,-825.995705012174,-875.028935440203
6,"K_only",1,-738.640116366944,-797.888603134146
6,"K_only",2,-737.145079187054,-802.522719757759
6,"K_short",0,-741.091628387649,-833.028935440203
6,"K_short",1,-712.97411048545,-815.126673877177
6,"K_short",2,-713.97591417248,-822.257631367711
6,"Y_only",0,-825.995705012174,-875.028935440203
6,"Y_only",1,-739.254115404486,-798.502602171688
6,"Y_only",2,-748.818894994298,-814.196535565004
6,"Y_short",0,-741.091628387649,-833.028935440203
6,"Y_short",1,-729.135520557972,-831.2880839497
6,"Y_short",2,-727.616023469432,-835.897740664663
6,"sym",0,-680.44585937013,-803.028935440203
6,"sym",1,-680.135692695641,-812.934025104887
6,"sym",2,-679.180840531007,-818.108326743756
7,"E_only",0,-820.824033947295,-875.986418178828
7,"E_only",1,-655.938367154137,-721.316007724843
7,"E_only",2,-723.452348762961,-794.95914313717
7,"E_short",0,-723.790803519266,-827.986418178828
7,"E_short",1,-701.465206194216,-815.876077192951
7,"E_short",2,-701.29261064743,-821.832635449668
7,"K_only",0,-820.824033947295,-875.986418178828
7,"K_only",1,-716.46984103831,-781.847481609015
7,"K_only",2,-714.771909356014,-786.278703730223
7,"K_short",0,-723.790803519266,-827.986418178828
7,"K_short",1,-678.809753946709,-793.220624945444
7,"K_short",2,-681.432281121889,-801.972305924128
7,"Y_only",0,-820.824033947295,-875.986418178828
7,"Y_only",1,-721.675304028489,-787.052944599195
7,"Y_only",2,-725.615370626784,-797.122165000994
7,"Y_short",0,-723.790803519266,-827.986418178828
7,"Y_short",1,-715.822873351081,-830.233744349816
7,"Y_short",2,-715.214722300121,-835.75474710236
7,"sym",0,-651.015880698244,-791.986418178828
7,"sym",1,-668.198726753568,-819.384520573324
7,"sym",2,-667.072746705431,-824.387694328692
