sample,spec,order,statistic,p_value,sig_code,sig_label
FULL,S1_A,1,39.39958139902237,3.4537100015964883e-10,3,99
FULL,S1_B,1,26.456253075202934,2.6957441742259043e-7,3,99
FULL,S1_C,1,34.3350387038295,4.6395324868772366e-9,3,99
FULL,S1_D,1,26.163285385815218,3.1373114496779577e-7,3,99
PRE1974,S1_A,1,2.87078868246348,0.09020065752402683,1,90
PRE1974,S1_B,1,2.8550959295479443,0.09108480595760719,1,90
PRE1974,S1_C,1,2.4470460275639137,0.11774626649960511,0,0
PRE1974,S1_D,1,1.7673321306004233,0.18371259379370763,0,0
ISI1931_1973,S1_A,1,2.87078868246348,0.09020065752402683,1,90
ISI1931_1973,S1_B,1,2.8550959295479443,0.09108480595760719,1,90
ISI1931_1973,S1_C,1,2.4470460275639137,0.11774626649960511,0,0
ISI1931_1973,S1_D,1,1.7673321306004233,0.18371259379370763,0,0
POST1974,S1_A,1,21.933364336688257,2.822832574049953e-6,3,99
POST1974,S1_B,1,10.271637969653986,0.0013509081611279507,3,99
POST1974,S1_C,1,18.098087726515015,2.0981203913928113e-5,3,99
POST1974,S1_D,1,10.63910841205804,0.001107210395888207,3,99
