"r1","variable","sample","spec","lag","rank"
1,"log_M","FULL","S1_B",1,1
-0.66292088578637,"log_KME","FULL","S1_B",1,1
-0.502380739275633,"log_NRS_proxy","FULL","S1_B",1,1
1,"log_M","PRE1974","S1_B",1,1
-1.04014810982898,"log_KME","PRE1974","S1_B",1,1
-0.0659526054173262,"log_NRS_proxy","PRE1974","S1_B",1,1
1,"log_M","ISI1931_1973","S1_B",1,1
-1.04014810982898,"log_KME","ISI1931_1973","S1_B",1,1
-0.0659526054173262,"log_NRS_proxy","ISI1931_1973","S1_B",1,1
1,"log_M","POST1974","S1_B",1,1
-0.456341326079119,"log_KME","POST1974","S1_B",1,1
-0.815875188854945,"log_NRS_proxy","POST1974","S1_B",1,1
