sample,spec,lag,rank,equation,term_raw,term,estimate,std_error,z_stat,p_value,stars_printed,sig_code,sig_label
FULL,S1_A,1,1,log_M,ECT,ECT,-0.2444,0.1128,-2.166666666666667,0.03026028002047162,*,2,95
FULL,S1_A,1,1,log_M,Intercept,Intercept,-1.023,0.4964,-2.060838033843674,0.0393184946189457,*,2,95
FULL,S1_A,1,1,log_M,log_M -1,log_M_lag1,0.1917,0.1453,1.3193392980041294,0.1870557054639434,,0,0
FULL,S1_A,1,1,log_M,log_KME -1,log_KME_lag1,0.3263,0.3897,0.8373107518604054,0.4024179171950738,,0,0
FULL,S1_A,1,1,log_KME 0.0003(0.0163),ECT,ECT,0.0091,0.0719,0.12656467315716272,0.8992849587668594,,0,0
FULL,S1_A,1,1,log_KME 0.0003(0.0163),Intercept,Intercept,NA,NA,NA,NA,NA,NA,NA
FULL,S1_A,1,1,log_KME 0.0003(0.0163),log_M -1,log_M_lag1,0.8491,0.0565,15.028318584070796,4.7901062563815644e-51,***,3,99
FULL,S1_A,1,1,log_KME 0.0003(0.0163),log_KME -1,log_KME_lag1,NA,NA,NA,NA,NA,NA,NA
FULL,S1_A,2,1,log_M,ECT,ECT,-0.1989,0.1291,-1.5406661502711076,0.12339805918770021,,0,0
FULL,S1_A,2,1,log_M,Intercept,Intercept,-0.7442,0.5161,-1.4419686107343537,0.14931122890398885,,0,0
FULL,S1_A,2,1,log_M,log_M -1,log_M_lag1,0.2787,0.1911,1.45839874411303,0.14473066664415377,,0,0
FULL,S1_A,2,1,log_M,log_KME -1,log_KME_lag1,-0.761,1.2773,-0.5957879902920222,0.551316867746636,,0,0
FULL,S1_A,2,1,log_M,log_M -2,log_M_-2,-0.0455,0.1542,-0.29507133592736706,0.7679393859734753,,0,0
FULL,S1_A,2,1,log_KME 0.0077(0.0186),ECT,ECT,0.0389,0.0745,0.5221476510067113,0.6015675311829404,,0,0
FULL,S1_A,2,1,log_KME 0.0077(0.0186),Intercept,Intercept,NA,NA,NA,NA,NA,NA,NA
FULL,S1_A,2,1,log_KME 0.0077(0.0186),log_M -1,log_M_lag1,0.7483,0.1844,4.058026030368763,4.9489252788064834e-5,***,3,99
