sample,spec,test,ecdet,K,rank_index,statistic,cv_10pct,cv_5pct,cv_1pct
FULL,S1_A,trace,const,2,1,5.639704443396932,7.52,9.24,12.97
FULL,S1_A,trace,const,2,2,16.78792973350279,17.85,19.96,24.6
FULL,S1_A,eigen,const,2,1,5.639704443396932,7.52,9.24,12.97
FULL,S1_A,eigen,const,2,2,11.14822529010586,13.75,15.67,20.2
FULL,S1_A,trace,const,3,1,6.143119461041104,7.52,9.24,12.97
FULL,S1_A,trace,const,3,2,14.170551980541207,17.85,19.96,24.6
FULL,S1_A,eigen,const,3,1,6.143119461041104,7.52,9.24,12.97
FULL,S1_A,eigen,const,3,2,8.027432519500103,13.75,15.67,20.2
FULL,S1_B,trace,const,2,1,6.266947214450057,7.52,9.24,12.97
FULL,S1_B,trace,const,2,2,14.262886713541006,17.85,19.96,24.6
FULL,S1_B,trace,const,2,3,34.460767493659496,32,34.91,41.07
FULL,S1_B,eigen,const,2,1,6.266947214450057,7.52,9.24,12.97
FULL,S1_B,eigen,const,2,2,7.995939499090949,13.75,15.67,20.2
FULL,S1_B,eigen,const,2,3,20.197880780118492,19.77,22,26.81
FULL,S1_B,trace,const,3,1,4.044569352437998,7.52,9.24,12.97
FULL,S1_B,trace,const,3,2,11.610327113190174,17.85,19.96,24.6
FULL,S1_B,trace,const,3,3,30.00302038420905,32,34.91,41.07
FULL,S1_B,eigen,const,3,1,4.044569352437991,7.52,9.24,12.97
FULL,S1_B,eigen,const,3,2,7.565757760752176,13.75,15.67,20.2
FULL,S1_B,eigen,const,3,3,18.392693271018878,19.77,22,26.81
FULL,S1_C,trace,const,2,1,6.1372554774114665,7.52,9.24,12.97
FULL,S1_C,trace,const,2,2,17.647402124554816,17.85,19.96,24.6
FULL,S1_C,trace,const,2,3,39.96087563884339,32,34.91,41.07
FULL,S1_C,eigen,const,2,1,6.1372554774114585,7.52,9.24,12.97
FULL,S1_C,eigen,const,2,2,11.510146647143351,13.75,15.67,20.2
FULL,S1_C,eigen,const,2,3,22.313473514288575,19.77,22,26.81
FULL,S1_C,trace,const,3,1,5.888491030310859,7.52,9.24,12.97
FULL,S1_C,trace,const,3,2,15.591024061571844,17.85,19.96,24.6
FULL,S1_C,trace,const,3,3,34.379558135465956,32,34.91,41.07
FULL,S1_C,eigen,const,3,1,5.888491030310859,7.52,9.24,12.97
FULL,S1_C,eigen,const,3,2,9.702533031260984,13.75,15.67,20.2
FULL,S1_C,eigen,const,3,3,18.788534073894112,19.77,22,26.81
FULL,S1_D,trace,const,2,1,3.0159592404986832,7.52,9.24,12.97
FULL,S1_D,trace,const,2,2,10.808486565938368,17.85,19.96,24.6
FULL,S1_D,trace,const,2,3,32.19678003409317,32,34.91,41.07
FULL,S1_D,trace,const,2,4,57.41556176786505,49.65,53.12,60.16
FULL,S1_D,eigen,const,2,1,3.0159592404986526,7.52,9.24,12.97
FULL,S1_D,eigen,const,2,2,7.792527325439684,13.75,15.67,20.2
FULL,S1_D,eigen,const,2,3,21.388293468154806,19.77,22,26.81
FULL,S1_D,eigen,const,2,4,25.21878173377188,25.56,28.14,33.24
FULL,S1_D,trace,const,3,1,2.94626829857929,7.52,9.24,12.97
FULL,S1_D,trace,const,3,2,11.905976047868261,17.85,19.96,24.6
FULL,S1_D,trace,const,3,3,30.18079886298902,32,34.91,41.07
FULL,S1_D,trace,const,3,4,50.73662114005582,49.65,53.12,60.16
FULL,S1_D,eigen,const,3,1,2.9462682985793203,7.52,9.24,12.97
FULL,S1_D,eigen,const,3,2,8.95970774928897,13.75,15.67,20.2
FULL,S1_D,eigen,const,3,3,18.274822815120757,19.77,22,26.81
FULL,S1_D,eigen,const,3,4,20.555822277066802,25.56,28.14,33.24
PRE1974,S1_A,trace,const,2,1,5.281012451696671,7.52,9.24,12.97
PRE1974,S1_A,trace,const,2,2,25.545021957599396,17.85,19.96,24.6
PRE1974,S1_A,eigen,const,2,1,5.281012451696685,7.52,9.24,12.97
PRE1974,S1_A,eigen,const,2,2,20.264009505902724,13.75,15.67,20.2
PRE1974,S1_A,trace,const,3,1,7.57820303706613,7.52,9.24,12.97
PRE1974,S1_A,trace,const,3,2,17.24575973077926,17.85,19.96,24.6
PRE1974,S1_A,eigen,const,3,1,7.578203037066095,7.52,9.24,12.97
PRE1974,S1_A,eigen,const,3,2,9.667556693713129,13.75,15.67,20.2
PRE1974,S1_B,trace,const,2,1,5.510165380970888,7.52,9.24,12.97
PRE1974,S1_B,trace,const,2,2,14.221602451079882,17.85,19.96,24.6
PRE1974,S1_B,trace,const,2,3,36.96456216140112,32,34.91,41.07
PRE1974,S1_B,eigen,const,2,1,5.510165380970885,7.52,9.24,12.97
PRE1974,S1_B,eigen,const,2,2,8.711437070108992,13.75,15.67,20.2
PRE1974,S1_B,eigen,const,2,3,22.742959710321237,19.77,22,26.81
PRE1974,S1_B,trace,const,3,1,3.3000304115016146,7.52,9.24,12.97
PRE1974,S1_B,trace,const,3,2,11.468499572275956,17.85,19.96,24.6
PRE1974,S1_B,trace,const,3,3,23.16995457595858,32,34.91,41.07
PRE1974,S1_B,eigen,const,3,1,3.3000304115015973,7.52,9.24,12.97
PRE1974,S1_B,eigen,const,3,2,8.168469160774341,13.75,15.67,20.2
PRE1974,S1_B,eigen,const,3,3,11.701455003682625,19.77,22,26.81
PRE1974,S1_C,trace,const,2,1,4.712435854640358,7.52,9.24,12.97
