"sample","log_M_beta","log_KME_beta","log_NRS_beta","alpha_log_M","alpha_log_KME","alpha_log_NRS"
"FULL",1,-0.66292088578637,-0.502380739275633,-0.380026950227563,-0.0283221840227867,0.457279621922323
"PRE1974",1,-1.04014810982898,-0.0659526054173262,-0.752349065208818,-0.0129014713929392,1.25952360951194
"ISI1931_1973",1,-1.04014810982898,-0.0659526054173262,-0.752349065208818,-0.0129014713929392,1.25952360951194
"POST1974",1,-0.456341326079119,-0.815875188854945,-0.721245667738687,-0.075901002260315,-0.186422905384449
