"year","ECT","sample","spec","lag","rank"
1940,-4.5342305683165,"FULL","S1_B",1,1
1941,-4.51777038316913,"FULL","S1_B",1,1
1942,-4.73071291089562,"FULL","S1_B",1,1
1943,-4.79038699073709,"FULL","S1_B",1,1
1944,-4.68925276863153,"FULL","S1_B",1,1
1945,-4.70044160855216,"FULL","S1_B",1,1
1946,-4.70667950062216,"FULL","S1_B",1,1
1947,-4.23170553773477,"FULL","S1_B",1,1
1948,-4.69311381799607,"FULL","S1_B",1,1
1949,-4.60776645791053,"FULL","S1_B",1,1
1950,-4.79769220061536,"FULL","S1_B",1,1
1951,-4.71182379942343,"FULL","S1_B",1,1
1952,-4.54804555387173,"FULL","S1_B",1,1
1953,-4.98357258523823,"FULL","S1_B",1,1
1954,-5.01648516006096,"FULL","S1_B",1,1
1955,-4.90000689812807,"FULL","S1_B",1,1
1956,-4.86581651399991,"FULL","S1_B",1,1
1957,-4.77750358514155,"FULL","S1_B",1,1
1958,-5.07223303362381,"FULL","S1_B",1,1
1959,-4.8836577251031,"FULL","S1_B",1,1
1960,-4.54164701250799,"FULL","S1_B",1,1
1961,-4.32819507482893,"FULL","S1_B",1,1
1962,-4.64278697242079,"FULL","S1_B",1,1
1963,-4.80667773084558,"FULL","S1_B",1,1
1964,-4.53361697719174,"FULL","S1_B",1,1
1965,-4.68122902820296,"FULL","S1_B",1,1
1966,-4.70364611956448,"FULL","S1_B",1,1
1967,-4.78880269811896,"FULL","S1_B",1,1
1968,-4.80348909304897,"FULL","S1_B",1,1
1969,-4.75133398598447,"FULL","S1_B",1,1
1970,-4.79259753680361,"FULL","S1_B",1,1
1971,-4.82562503949644,"FULL","S1_B",1,1
1972,-4.54110492268402,"FULL","S1_B",1,1
1973,-4.6934652509675,"FULL","S1_B",1,1
1974,-4.86034473976174,"FULL","S1_B",1,1
1975,-5.07509001931547,"FULL","S1_B",1,1
1976,-5.09960103464435,"FULL","S1_B",1,1
1977,-4.91838118552793,"FULL","S1_B",1,1
1978,-4.77795117282697,"FULL","S1_B",1,1
1979,-4.71126903556958,"FULL","S1_B",1,1
1980,-4.61152557742405,"FULL","S1_B",1,1
1981,-4.40358275486876,"FULL","S1_B",1,1
1982,-4.76883565769178,"FULL","S1_B",1,1
1983,-4.98846026878296,"FULL","S1_B",1,1
1984,-4.85481882891803,"FULL","S1_B",1,1
1985,-5.08558503694839,"FULL","S1_B",1,1
1986,-4.9800391528105,"FULL","S1_B",1,1
1987,-4.88966050925981,"FULL","S1_B",1,1
1988,-4.84739271379142,"FULL","S1_B",1,1
1989,-4.65446494538487,"FULL","S1_B",1,1
1990,-4.63115231585944,"FULL","S1_B",1,1
1991,-4.68237279058624,"FULL","S1_B",1,1
1992,-4.57012262723306,"FULL","S1_B",1,1
1993,-4.54168123374586,"FULL","S1_B",1,1
1994,-4.58332667269719,"FULL","S1_B",1,1
1995,-4.51819981922224,"FULL","S1_B",1,1
1996,-4.4559851979657,"FULL","S1_B",1,1
1997,-4.48113899382895,"FULL","S1_B",1,1
1998,-4.51545540161121,"FULL","S1_B",1,1
1999,-4.76083497141895,"FULL","S1_B",1,1
2000,-4.70774537850419,"FULL","S1_B",1,1
2001,-4.77604425262771,"FULL","S1_B",1,1
2002,-4.82488616642839,"FULL","S1_B",1,1
2003,-4.80490200496564,"FULL","S1_B",1,1
2004,-4.74216701066289,"FULL","S1_B",1,1
2005,-4.63410362022579,"FULL","S1_B",1,1
2006,-4.66975027995529,"FULL","S1_B",1,1
2007,-4.61307425242822,"FULL","S1_B",1,1
2008,-4.49188095408945,"FULL","S1_B",1,1
