r1,variable,sample,spec,lag,rank
1,log_M,FULL,S1_A,1,1
-1.0819775933389537,log_KME,FULL,S1_A,1,1
1,log_M,FULL,S1_A,2,1
-1.0581011725818146,log_KME,FULL,S1_A,2,1
1,log_M,FULL,S1_B,1,1
-0.6629208857863695,log_KME,FULL,S1_B,1,1
-0.5023807392756328,log_NRS_proxy,FULL,S1_B,1,1
1,log_M,FULL,S1_B,2,1
-0.6622686438708849,log_KME,FULL,S1_B,2,1
-0.4882221094942827,log_NRS_proxy,FULL,S1_B,2,1
1,log_M,FULL,S1_C,1,1
-0.6340293436513939,log_KME,FULL,S1_C,1,1
8.984655414700716,omega,FULL,S1_C,1,1
1,log_M,FULL,S1_C,2,1
-0.7196899829120506,log_KME,FULL,S1_C,2,1
7.1244373241092855,omega,FULL,S1_C,2,1
1,log_M,FULL,S1_D,1,1
-0.49084181006506855,log_KME,FULL,S1_D,1,1
1.2280372593285187,log_NRS_proxy,FULL,S1_D,1,1
31.104138139937294,omega,FULL,S1_D,1,1
1,log_M,FULL,S1_D,2,1
-0.7064440555556635,log_KME,FULL,S1_D,2,1
-0.5924363311665358,log_NRS_proxy,FULL,S1_D,2,1
-2.298385649478382,omega,FULL,S1_D,2,1
1,log_M,PRE1974,S1_A,1,1
-1.0938570462152206,log_KME,PRE1974,S1_A,1,1
1,log_M,PRE1974,S1_A,2,1
-1.0703247096099746,log_KME,PRE1974,S1_A,2,1
1,log_M,PRE1974,S1_B,1,1
-1.0401481098289829,log_KME,PRE1974,S1_B,1,1
-0.06595260541732624,log_NRS_proxy,PRE1974,S1_B,1,1
1,log_M,PRE1974,S1_B,2,1
-0.9214396095407537,log_KME,PRE1974,S1_B,2,1
-0.18302379267951735,log_NRS_proxy,PRE1974,S1_B,2,1
1,log_M,PRE1974,S1_C,1,1
-1.0870846897087008,log_KME,PRE1974,S1_C,1,1
0.08076021756131314,omega,PRE1974,S1_C,1,1
1,log_M,PRE1974,S1_C,2,1
-1.0815031208664112,log_KME,PRE1974,S1_C,2,1
0.7074364254071124,omega,PRE1974,S1_C,2,1
1,log_M,PRE1974,S1_D,1,1
-0.6735257264845863,log_KME,PRE1974,S1_D,1,1
-0.526630204483135,log_NRS_proxy,PRE1974,S1_D,1,1
-2.1999051893516435,omega,PRE1974,S1_D,1,1
1,log_M,PRE1974,S1_D,2,1
-0.3317635723866784,log_KME,PRE1974,S1_D,2,1
-0.9411802549798153,log_NRS_proxy,PRE1974,S1_D,2,1
-4.051801571960528,omega,PRE1974,S1_D,2,1
1,log_M,ISI1931_1973,S1_A,1,1
-1.0938570462152206,log_KME,ISI1931_1973,S1_A,1,1
1,log_M,ISI1931_1973,S1_A,2,1
-1.0703247096099746,log_KME,ISI1931_1973,S1_A,2,1
1,log_M,ISI1931_1973,S1_B,1,1
-1.0401481098289829,log_KME,ISI1931_1973,S1_B,1,1
-0.06595260541732624,log_NRS_proxy,ISI1931_1973,S1_B,1,1
1,log_M,ISI1931_1973,S1_B,2,1
-0.9214396095407537,log_KME,ISI1931_1973,S1_B,2,1
-0.18302379267951735,log_NRS_proxy,ISI1931_1973,S1_B,2,1
1,log_M,ISI1931_1973,S1_C,1,1
-1.0870846897087008,log_KME,ISI1931_1973,S1_C,1,1
0.08076021756131314,omega,ISI1931_1973,S1_C,1,1
1,log_M,ISI1931_1973,S1_C,2,1
-1.0815031208664112,log_KME,ISI1931_1973,S1_C,2,1
0.7074364254071124,omega,ISI1931_1973,S1_C,2,1
1,log_M,ISI1931_1973,S1_D,1,1
-0.6735257264845863,log_KME,ISI1931_1973,S1_D,1,1
-0.526630204483135,log_NRS_proxy,ISI1931_1973,S1_D,1,1
-2.1999051893516435,omega,ISI1931_1973,S1_D,1,1
1,log_M,ISI1931_1973,S1_D,2,1
-0.3317635723866784,log_KME,ISI1931_1973,S1_D,2,1
-0.9411802549798153,log_NRS_proxy,ISI1931_1973,S1_D,2,1
-4.051801571960528,omega,ISI1931_1973,S1_D,2,1
1,log_M,POST1974,S1_A,1,1
-0.8029240334909431,log_KME,POST1974,S1_A,1,1
1,log_M,POST1974,S1_A,2,1
-0.8016690395954167,log_KME,POST1974,S1_A,2,1
1,log_M,POST1974,S1_B,1,1
-0.45634132607911865,log_KME,POST1974,S1_B,1,1
-0.8158751888549449,log_NRS_proxy,POST1974,S1_B,1,1
1,log_M,POST1974,S1_B,2,1
-0.6317829028865714,log_KME,POST1974,S1_B,2,1
-0.4100248453717701,log_NRS_proxy,POST1974,S1_B,2,1
1,log_M,POST1974,S1_C,1,1
-0.5866656754631291,log_KME,POST1974,S1_C,1,1
8.688545883070041,omega,POST1974,S1_C,1,1
1,log_M,POST1974,S1_C,2,1
-0.5604291261321851,log_KME,POST1974,S1_C,2,1
8.800982349642117,omega,POST1974,S1_C,2,1
1,log_M,POST1974,S1_D,1,1
-0.3709363124006323,log_KME,POST1974,S1_D,1,1
-0.39797926649349175,log_NRS_proxy,POST1974,S1_D,1,1
4.872128623952055,omega,POST1974,S1_D,1,1
1,log_M,POST1974,S1_D,2,1
-4.133064921460963,log_KME,POST1974,S1_D,2,1
3.450510832474357,log_NRS_proxy,POST1974,S1_D,2,1
-16.696707457289698,omega,POST1974,S1_D,2,1
