sample,spec,variable,vif
FULL,S1_A,log_KME,NA
FULL,S1_B,log_KME,8.803661545525017
FULL,S1_B,log_NRS_proxy,8.803661545524982
FULL,S1_C,log_KME,2.119479204157115
FULL,S1_C,omega,2.1194792041571135
FULL,S1_D,log_KME,12.854228592969315
FULL,S1_D,log_NRS_proxy,25.080912810890695
FULL,S1_D,omega,6.03822316987888
PRE1974,S1_A,log_KME,NA
PRE1974,S1_B,log_KME,2.634032454035904
PRE1974,S1_B,log_NRS_proxy,2.6340324540358906
PRE1974,S1_C,log_KME,1.0038147433466447
PRE1974,S1_C,omega,1.0038147433466447
PRE1974,S1_D,log_KME,10.41131974185158
PRE1974,S1_D,log_NRS_proxy,16.60386951449899
PRE1974,S1_D,omega,6.327639961201064
ISI1931_1973,S1_A,log_KME,NA
ISI1931_1973,S1_B,log_KME,2.634032454035904
ISI1931_1973,S1_B,log_NRS_proxy,2.6340324540358906
ISI1931_1973,S1_C,log_KME,1.0038147433466447
ISI1931_1973,S1_C,omega,1.0038147433466447
ISI1931_1973,S1_D,log_KME,10.41131974185158
ISI1931_1973,S1_D,log_NRS_proxy,16.60386951449899
ISI1931_1973,S1_D,omega,6.327639961201064
POST1974,S1_A,log_KME,NA
POST1974,S1_B,log_KME,7.209113285371532
POST1974,S1_B,log_NRS_proxy,7.209113285371503
POST1974,S1_C,log_KME,1.6971508528992836
POST1974,S1_C,omega,1.6971508528992862
POST1974,S1_D,log_KME,11.054313308881643
POST1974,S1_D,log_NRS_proxy,20.344792831499497
POST1974,S1_D,omega,4.789518646641606
